C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:30:19

Vmag< 11&dec >=0&rah >=18.5&rah< 18.75
--------------------------------------

Number of objects : 6698

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
1   |BD+47 2675                                                            |Spectroscopic Binary           |18 40 17.1076654728 +47 20 24.722002248|076.3051210067489 +21.3868440664166|   3.878 34.605   |10.08    |F8              |    ~     ~    
2   |BD+47 2679                                                            |Star                           |18 41 54.6845056128 +47 17 16.351600452|076.3403023696382 +21.1081983807365|  24.041 19.646   |9.84     |F5IV            |    ~     ~    
3   |HD 172379                                                             |Star                           |18 37 34.8531546288 +46 08 59.836704576|074.9362943927848 +21.4747616138630| -21.555 34.710   |7.39     |F2              |    ~     ~    
4   |BD+46 2518                                                            |Star                           |18 37 48.5836850328 +46 21 35.557292988|075.1643307380027 +21.4994312130483|   1.466 33.293   |9.22     |K0              |    ~     ~    
5   |HD 172469                                                             |Star                           |18 38 01.0310742504 +46 48 36.679733460|075.6381374134171 +21.5986503773902|   -1.416 1.388   |8.41     |K2              |    ~     ~    
6   |BD+46 2525                                                            |Star                           |18 39 34.6959615480 +46 14 15.615564324|075.1374955089407 +21.1713749618332|  -0.120 -0.215   |8.95     |K0              |    ~     ~    
7   |BD+46 2529                                                            |Star                           |18 40 38.7862350336 +46 21 26.446517532|075.3197629132486 +21.0319176982122|   -3.058 3.699   |9.81     |A2              |    ~     ~    
8   |BD+46 2530                                                            |Star                           |18 40 54.1541268336 +47 06 43.018876800|076.1050192523849 +21.2185254504379|-15.194 -10.264   |9.80     |F0              |    ~     ~    
9   |AG+46 1374                                                            |Long-Period Variable Candidate |18 41 48.7923100248 +46 35 28.686725268|075.6240655690616 +20.9121230051329|   -4.038 3.676   |9.09     |~               |    ~     ~    
10  |BD+46 2534                                                            |Star                           |18 41 48.4950145512 +46 35 35.413847880|075.6256906017859 +20.9135058171810|  -2.227 -5.656   |9.13     |G5              |    ~     ~    
11  |BD+46 2536                                                            |Star                           |18 42 04.5556506624 +47 00 57.651054588|076.0718280537194 +20.9990447159680|  -6.054 -3.573   |8.950    |K0              |    ~     ~    
