C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:33:34

Vmag< 11&dec >=0&rah >=18.75&rah< 19.0
--------------------------------------

Number of objects : 7133

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------
1   |BD+44 3027                                                                                               |Double or Multiple Star        |18 58 15.718680 +44 23 16.27908        |074.445212159 +17.459494169        |      14.9 24.9    |9.40     |F3V            |    ~     ~    
2   |BD+44 3029                                                                                               |Spectroscopic Binary           |18 58 49.9487720952 +44 19 12.063661320|074.4176175996774 +17.3398742605514|-35.396 -26.815    |9.57     |F7V            |    ~     ~    
3   |BD+44 3033                                                                                               |Star                           |18 59 54.8783328288 +44 58 56.407620468|075.1374775267129 +17.4006497674778| -6.656 -11.444    |10.40    |K4             |    ~     ~    
4   |IRAS 18576+4425                                                                                          |Long-Period Variable Candidate |18 59 08.0505143976 +44 30 01.510114716|074.6142190750316 +17.3551022256877|   -0.868 3.299    |10.67    |~              |    ~     ~    
5   |HD 176625                                                                                                |Star                           |18 59 04.6479799344 +45 27 23.596952148|075.5457884560214 +17.7089792145368|   6.287 11.881    |8.76     |F8             |    ~     ~    
6   |BD+45 2812                                                                                               |Star                           |18 59 58.8308496120 +45 40 35.772067920|075.8208624080533 +17.6403444711357| -7.821 -12.672    |10.31    |G              |    ~     ~    
7   |BD+44 3032                                                                                               |Horizontal Branch Star         |18 59 29.1710361672 +45 07 57.583590132|075.2557396112632 +17.5255370716153|-13.056 -16.611    |9.34     |K0             |    ~     ~    
8   |BD+43 3126                                                                                               |Spectroscopic Binary           |18 57 59.0779917744 +44 06 33.959127456|074.1542935749404 +17.4052006580546| -5.388 -15.711    |9.41     |K2             |    ~     ~    
9   |CCDM J18580+4407BC                                                                                       |Double or Multiple Star        |18 57 55.97952 +44 06 59.4180          |074.15769121 +17.41639974          |            ~ ~    |10.1     |~              |    ~     ~    
10  |TYC 3131-759-1                                                                                           |Spectroscopic Binary           |18 59 10.4997973752 +44 57 01.677181068|075.0567500893734 +17.5111086426843|-19.441 -19.202    |10.07    |G0.5IV         |    ~     ~    
11  |TYC 3131-760-1                                                                                           |Horizontal Branch Star         |18 59 14.9313016992 +44 59 36.160611828|075.1036596499476 +17.5144004238728|   -5.411 1.114    |10.88    |K2III-IV       |    ~     ~    
12  |TYC 3131-841-1                                                                                           |Star                           |18 59 25.6845867576 +44 56 32.360586072|075.0657361542882 +17.4664079869505|   -1.583 3.222    |10.13    |K6III          |    ~     ~    
13  |TYC 3131-949-1                                                                                           |Horizontal Branch Star         |18 59 45.6037014576 +44 22 16.489617780|074.5307740910448 +17.2040409612748| -1.104 -11.072    |10.96    |G6V            |    ~     ~    
14  |TYC 3131-1027-1                                                                                          |Star                           |18 59 54.1911420432 +44 33 27.611599968|074.7222639490299 +17.2482343002581|    1.528 7.110    |10.79    |F2V            |    ~     ~    
15  |TYC 3131-1043-1                                                                                          |Star                           |18 57 59.5041443184 +44 20 44.714596488|074.3857787156342 +17.4893494543026|  18.497 42.314    |10.79    |G6V            |    ~     ~    
16  |TYC 3131-1049-1                                                                                          |Star                           |18 58 17.5528421472 +44 29 16.352522304|074.5450722938862 +17.4904946138629|   -2.727 5.758    |10.37    |~              |    ~     ~    
17  |TYC 3131-1077-1                                                                                          |Rotating Variable              |18 59 02.3476137312 +44 31 40.274775984|074.6345734624755 +17.3808389871982|  20.287 -3.903    |10.68    |~              |    ~     ~    
18  |TYC 3131-1263-1                                                                                          |Horizontal Branch Star         |18 57 17.6179410912 +44 27 34.845072156|074.4502890206564 +17.6466504876531|    2.713 1.932    |10.04    |~              |    ~     ~    
19  |TYC 3131-1313-1                                                                                          |Horizontal Branch Star         |18 57 25.9819934328 +44 19 47.890651152|074.3326306861625 +17.5768758587302| -0.770 -18.736    |10.32    |~              |    ~     ~    
20  |TYC 3131-1317-1                                                                                          |Red Giant Branch star          |18 59 18.9974337576 +44 15 59.790358980|074.3984905776494 +17.2397515545690|   6.311 11.670    |10.59    |G6V            |    ~     ~    
21  |TYC 3131-1445-1                                                                                          |Rotating Variable              |18 58 29.9055001344 +44 29 34.983790116|074.5640233351640 +17.4581197402654|   -0.629 1.183    |10.99    |B9III          |    ~     ~    
22  |TYC 3131-2052-1                                                                                          |Star                           |18 57 16.9334128416 +44 08 22.175785608|074.1360197284711 +17.5336101810263|   4.218 -8.851    |10.97    |F9V            |    ~     ~    
