C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:09:08

dec >=0&rah >=19.0&rah< 19.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 7376

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+45 2855                                                                                               |Star                                  |19 13 25.2188332128 +45 20 39.850749132|076.4264379044865 +15.3346105908107|  -2.936 36.725   |10.20    |F8                   |    ~     ~    |    1|  174.046   pc  |  -0.3423     +0.3423  |paral   |2020yCat.1350....0G
2   |HD 180239                                                                                                |Star                                  |19 13 41.2519522128 +45 34 50.825887896|076.6708320682198 +15.3849489124149|    4.947 2.439   |9.83     |kA3hA5mF3(IV)Am      |    ~     ~    |    1|  432.620   pc  | -12.2402    +12.2402  |paral   |2020yCat.1350....0G
3   |BD+45 2858                                                                                               |Star                                  |19 14 10.5209542752 +45 43 16.549285296|076.8396059382902 +15.3621655795540|   8.310 22.814   |9.66     |A9III                |    ~     ~    |    1|  332.745   pc  |  -1.6608     +1.6608  |paral   |2020yCat.1350....0G
4   |HD 180428                                                                                                |Horizontal Branch Star                |19 14 24.4937242032 +45 37 32.111798160|076.7652221119398 +15.2869156497540|   9.496 -4.344   |8.34     |G5                   |    ~     ~    |    1|  330.480   pc  |  -1.7147     +1.7147  |paral   |2020yCat.1350....0G
5   |BD+44 3076                                                                                               |Star                                  |19 12 03.5585863464 +44 27 15.525238248|075.4801601376657 +15.2041860517833|    6.733 1.599   |9.58     |K0                   |    ~     ~    |    1|  657.549   pc  | -13.8358    +13.8358  |paral   |2020yCat.1350....0G
6   |HD 179960A                                                                                               |Star                                  |19 12 29.4556831872 +44 47 18.216157380|075.8296807660669 +15.2656648353275|   -0.512 8.956   |9.81     |~                    |    ~     ~    |    1|  358.128   pc  |  -1.5647     +1.5647  |paral   |2020yCat.1350....0G
7   |HD 179960B                                                                                               |Star                                  |19 12 29.3341993728 +44 47 27.535023528|075.8319986384770 +15.2670175039297|   -0.790 9.478   |10.11    |~                    |    ~     ~    |    1|  357.003   pc  |  -3.1735     +3.1735  |paral   |2020yCat.1350....0G
8   |BD+44 3080                                                                                               |Star                                  |19 13 10.5805287600 +44 56 54.018446892|076.0317284561846 +15.2174060651775|  0.068 -26.654   |9.38     |F2                   |    ~     ~    |    1|  227.905   pc  |  -0.6025     +0.6025  |paral   |2020yCat.1350....0G
9   |BD+44 3082                                                                                               |Star                                  |19 13 25.0403253600 +44 43 04.040859288|075.8300666784547 +15.0866792488701|       0.5 -2.5   |9.09     |G0                   |    ~     ~    |    0|                |                       |        |                   
10  |CCDM J19134+4442BC                                                                                       |Double or Multiple Star               |19 13 22.1 +44 41 33                   |075.8024 +15.0846                  |            ~ ~   |8.8      |~                    |    ~     ~    |    0|                |                       |        |                   
