C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:40:01

Vmag< 11&dec >=0&rah >=19.25&rah< 19.5
--------------------------------------

Number of objects : 7704

 #  |                                                                 identifier                                                                 |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type     |      ang. size      
----|--------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-------------------|---------------------
1   |BD+45 2909                                                                                                                                  |Star                           |19 29 35.3525562480 +45 30 46.667322072|077.7993832751076 +12.8244015390286|  10.746 36.812    |9.22     |F2                 |    ~     ~          
2   |BD+44 3130                                                                                                                                  |Chemically Peculiar Star       |19 25 10.9187724288 +44 26 36.152250900|076.4642000551871 +13.0655321827590|   0.330 -3.438    |9.82     |A9V                |    ~     ~          
3   |HD 183124                                                                                                                                   |Eruptive Variable              |19 25 56.6279878704 +44 55 50.611841040|076.9759263516687 +13.1518466495126|-42.882 -75.470    |6.682    |G8II               |    ~     ~          
4   |BD+44 3134                                                                                                                                  |delta Sct Variable             |19 25 59.7721709856 +44 44 45.269144448|076.8085761212845 +13.0642218010919|    5.967 0.127    |9.32     |A9V                |    ~     ~          
5   |V* V2079 Cyg                                                                                                                                |alpha2 CVn Variable            |19 26 01.2150107160 +45 00 47.115500184|077.0583077797880 +13.1749032141558|    2.661 5.692    |7.07     |B8V                |    ~     ~          
6   |BD+44 3140                                                                                                                                  |High Proper Motion Star        |19 26 40.9975362624 +44 30 26.340441984|076.6415600714174 +12.8511981586825|  5.343 -78.729    |9.28     |G1V                |    ~     ~          
7   |BD+44 3143                                                                                                                                  |Star                           |19 28 12.7156084656 +44 39 12.692314512|076.8975831229645 +12.6692125724984|   4.501 10.844    |9.27     |K5                 |    ~     ~          
8   |BD+44 3144                                                                                                                                  |Star                           |19 28 26.0275386576 +45 11 03.554760696|077.4053112062835 +12.8643722178815|    6.367 4.505    |10.47    |F0                 |    ~     ~          
9   |BD+44 3145                                                                                                                                  |Star                           |19 28 29.0576555016 +45 10 45.550008012|077.4046490682864 +12.8541843764850|-17.140 -38.004    |9.38     |K3III              |    ~     ~          
10  |HD 183648                                                                                                                                   |Eclipsing Binary               |19 28 33.4598543904 +44 40 21.821592216|076.9427266079747 +12.6222248122385|   -4.324 3.372    |8.48     |A5IV               |    ~     ~          
11  |BD+44 3149                                                                                                                                  |Red Giant Branch star          |19 29 08.4405017304 +44 38 28.452855300|076.9600611817239 +12.5151989055053|   10.594 5.738    |10.08    |G9.5IV             |    ~     ~          
12  |HD 183955                                                                                                                                   |Star                           |19 29 56.6911193 +44 41 22.745269      |077.0687951281 +12.4078825500      |   -0.27 -40.43    |7.81     |F3V                |    ~     ~          
13  |BD+43 3248                                                                                                                                  |Horizontal Branch Star         |19 27 30.6363423696 +44 12 14.652187524|076.4270080520038 +12.5865715026625|   0.838 -3.409    |10.34    |G6V                |    ~     ~          
14  |BD+43 3250                                                                                                                                  |Star                           |19 27 48.2656553928 +44 11 36.391605576|076.4406712968515 +12.5345292475703|-10.759 -13.530    |9.30     |K2                 |    ~     ~          
