C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:16:06

dec >=0&rah >=19.5&rah< 19.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 9885

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+42 3434                                                                                               |Red Giant Branch star                 |19 44 21.4307555040 +42 26 15.124101396|076.2554109246639 +09.0544249374398|  14.996 29.675   |10.14    |K0               |    ~     ~          |    1|    0.570   kpc |                       |        |2021A&A...645A..85M
2   |HD 186744                                                                                                |Star                                  |19 44 31.2956734800 +42 26 15.887513688|076.2703475550142 +09.0279169923415|    1.306 3.380   |9.03     |A9V              |    ~     ~          |    1|  457.582   pc  |  -3.0779     +3.0779  |paral   |2020yCat.1350....0G
3   |BD+41 3459                                                                                               |Star                                  |19 42 03.2046726120 +42 19 07.540950684|075.9439356255308 +09.3715823905267|   3.824 -0.806   |9.71     |A1V              |    ~     ~          |    1|  322.269   pc  |  -1.3501     +1.3501  |paral   |2020yCat.1350....0G
4   |BD+41 3471                                                                                               |Star                                  |19 44 19.0 +42 06 12                   |075.9550 +08.9005                  |            ~ ~   |9.3      |~                |    ~     ~          |    0|                |                       |        |                   
5   |TYC 3144-1242-1                                                                                          |Star                                  |19 44 58.4184033768 +43 03 37.690810524|076.8639647244510 +09.2541547913101|  0.881 -15.884   |10.66    |K4III:           |    ~     ~          |    1| 1097.213   pc  | -13.8446    +13.8446  |paral   |2020yCat.1350....0G
6   |TYC 3144-1244-1                                                                                          |Rotating Variable                     |19 44 49.7967671064 +42 33 49.078197792|076.4097867945610 +09.0385716688300|  -1.795 -0.733   |10.30    |B9IV             |    ~     ~          |    1|  898.634   pc  | -20.1078    +20.1078  |paral   |2020yCat.1350....0G
7   |TYC 3144-1316-1                                                                                          |Red Giant Branch star                 |19 43 59.0392219080 +42 46 39.205512768|076.5243967919995 +09.2776139094400| -4.145 -15.740   |9.88     |K1III            |    ~     ~          |    1|  725.531   pc  |  -6.8431     +6.8431  |paral   |2020yCat.1350....0G
8   |TYC 3144-1320-1                                                                                          |Red Giant Branch star                 |19 44 33.9106869624 +42 43 56.377988940|076.5359536990703 +09.1622982520306|  -4.425 -3.631   |9.91     |K1.5III          |    ~     ~          |    1| 1073.422   pc  | -14.8638    +14.8638  |paral   |2020yCat.1350....0G
9   |TYC 3144-1656-1                                                                                          |gamma Dor Variable                    |19 44 11.6403789960 +42 45 09.503269632|076.5209213362657 +09.2318437771190|   4.061 -4.951   |10.46    |F5IV             |    ~     ~          |    1|  418.008   pc  |  -9.5402     +9.5402  |paral   |2020yCat.1350....0G
10  |TYC 3144-1906-1                                                                                          |Star                                  |19 43 13.6705225536 +42 31 26.917983480|076.2315187896826 +09.2787046007000|    2.085 2.692   |10.04    |K4III            |    ~     ~          |    1|  974.469   pc  | -11.5850    +11.5850  |paral   |2020yCat.1350....0G
11  |TYC 3144-1928-1                                                                                          |Star                                  |19 44 52.6067647320 +42 03 52.250090436|075.9711711990149 +08.7907185800202| -10.249 12.224   |10.36    |~                |    ~     ~          |    1|  287.183   pc  |  -1.1134     +1.1134  |paral   |2020yCat.1350....0G
12  |TYC 3144-2060-1                                                                                          |High Proper Motion Star               |19 44 53.9672883312 +42 26 57.498917640|076.3145410899549 +08.9723491011567|-29.551 -41.945   |10.27    |G0V              |    ~     ~          |    1|  170.454   pc  |  -1.5079     +1.5079  |paral   |2020yCat.1350....0G
13  |TYC 3144-2118-1                                                                                          |Star                                  |19 43 12.4093151160 +42 15 53.519633784|075.9988289241371 +09.1583517252331|    0.415 0.500   |10.57    |~                |    ~     ~          |    1|  859.328   pc  |  -6.9414     +6.9414  |paral   |2020yCat.1350....0G
