C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:46:59

Vmag< 11&dec >=0&rah >=19.75&rah< 20.0
--------------------------------------

Number of objects : 10261

  #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |      spec. type       |   ang. size   
-----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------------|---------------
1    |BD+42 3545                                                            |Star                           |19 58 36.7492125168 +42 23 23.501929668|077.5334595654535 +06.7474995167676|   1.792 -0.114  |8.84     |A0                     |    ~     ~    
2    |HD 226774                                                             |Star                           |19 57 11.9642129208 +42 11 35.522953476|077.2285559034785 +06.8712199137412|  -46.420 0.049  |8.969    |F8                     |    ~     ~    
3    |HD 189377                                                             |Eclipsing Binary               |19 57 56.11352 +42 15 38.7774          |077.35720450 +06.78873104          |    -6.03 -9.77  |6.450    |A3V                    |    ~     ~    
4    |HD 226597                                                             |Rotating Variable              |19 55 29.1893092344 +41 34 59.773095516|076.5363445820169 +06.8350593219662|   27.335 9.860  |8.92     |F2                     |    ~     ~    
5    |HD 226616                                                             |Star                           |19 55 41.9090151744 +41 35 48.292084896|076.5683115136122 +06.8077575549915|  11.613 -1.403  |9.71     |F2V                    |    ~     ~    
6    |HD 226668                                                             |Star                           |19 56 05.8793157 +41 27 51.850026      |076.4918685636 +06.6760670197      |       1.6 -1.8  |10.90    |A7III-IV               |    ~     ~    
7    |HD 226696                                                             |Star                           |19 56 31.2901681272 +41 28 20.836449084|076.5395545306219 +06.6119134708642|    5.362 3.119  |10.18    |~                      |    ~     ~    
8    |HD 226724                                                             |Variable Star                  |19 56 39.5144280600 +41 52 19.940753604|076.8989111697373 +06.7937882409413|  -1.350 -5.984  |9.07     |M2                     |    ~     ~    
9    |HD 189147                                                             |Star                           |19 56 53.4511910088 +42 02 29.695383492|077.0678201176475 +06.8430329974043|  18.908 -1.072  |8.21     |A0                     |    ~     ~    
10   |HD 226754                                                             |Star                           |19 57 02.0175488016 +41 34 26.895447300|076.6768396513648 +06.5814320510345|   20.744 2.198  |8.22     |K2                     |    ~     ~    
11   |HD 226755                                                             |delta Sct Variable             |19 57 03.8782896648 +41 26 50.873285796|076.5702547407620 +06.5116679129061| -8.004 -18.962  |9.015    |A7III                  |    ~     ~    
12   |HD 226792                                                             |Star                           |19 57 30.7547034168 +42 01 52.077074196|077.1181721419611 +06.7384569272364|   1.730 -0.373  |10.63    |~                      |    ~     ~    
13   |BD+41 3550                                                            |Star                           |19 58 01.3047579696 +41 39 13.999619988|076.8410110165999 +06.4636797979228|    5.219 4.872  |8.81     |B8                     |    ~     ~    
