C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:27:26

dec >=0&rah >=2.0&rah< 2.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4782

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+42 420                                                                                                |Double or Multiple Star           |02 00 13.7465744689 +43 31 39.353439374|135.9291259397903 -17.6012640815930|       6.3 -4.1     |10.10    |F0                 |    ~     ~    |    0|                |                       |        |                   
2   |BD+42 425                                                                                                |High Proper Motion Star           |02 01 25.3790881704 +43 27 49.106609568|136.1659781063044 -17.6024164366058| 94.011 -29.922     |9.52     |G0                 |    ~     ~    |    1|  131.139   pc  |  -0.3044     +0.3044  |paral   |2020yCat.1350....0G
3   |HD 12375                                                                                                 |Star                              |02 02 25.1579457096 +42 50 57.236162604|136.5318243430624 -18.1402584416213|   5.107 -7.012     |7.53     |K0                 |    ~     ~    |    1|  252.685   pc  |  -2.1837     +2.1837  |paral   |2020yCat.1350....0G
4   |BD+42 436                                                                                                |Star                              |02 04 03.0681977328 +42 58 16.924528524|136.7956599080175 -17.9371264737796| 36.212 -18.245     |9.07     |A2                 |    ~     ~    |    1|  195.817   pc  |  -0.7362     +0.7362  |paral   |2020yCat.1350....0G
5   |BD+42 441                                                                                                |Star                              |02 05 26.3918836368 +43 15 41.182416756|136.9605228972952 -17.5853908696821|   5.494 -6.422     |8.80     |K0                 |    ~     ~    |    1|  491.497   pc  |  -4.3966     +4.3966  |paral   |2020yCat.1350....0G
6   |HD 12803                                                                                                 |Star                              |02 06 36.5438496600 +42 42 46.539080100|137.3470486753306 -18.0449191048063|  -3.272 -4.530     |9.11     |A0                 |    ~     ~    |    1|  532.510   pc  |  -7.2026     +7.2026  |paral   |2020yCat.1350....0G
7   |HD 12811                                                                                                 |Star                              |02 06 46.4503260840 +43 05 23.918219700|137.2578834072260 -17.6763024879760|  5.132 -11.475     |9.11     |A0                 |    ~     ~    |    1|  267.816   pc  |  -1.4632     +1.4632  |paral   |2020yCat.1350....0G
8   |BD+42 446                                                                                                |Star                              |02 07 30.4961337168 +43 01 29.938124100|137.4126854441412 -17.6976130996932| 24.529 -13.528     |9.67     |F2                 |    ~     ~    |    1|  219.188   pc  |  -0.9224     +0.9224  |paral   |2020yCat.1350....0G
9   |HD 13040                                                                                                 |Star                              |02 08 43.0335364152 +43 01 36.803436384|137.6327790232895 -17.6280356591698| 41.858 -14.351     |8.74     |A2                 |    ~     ~    |    1|  212.422   pc  |  -3.0955     +3.0955  |paral   |2020yCat.1350....0G
10  |HD 13128                                                                                                 |Star                              |02 09 25.4821201920 +42 58 26.037833664|137.7790632372049 -17.6382690981231| -12.331 -0.904     |9.04     |A2                 |    ~     ~    |    1|  250.119   pc  |  -1.3263     +1.3263  |paral   |2020yCat.1350....0G
11  |BD+41 387                                                                                                |Star                              |02 00 30.0955425096 +42 18 56.252659824|136.3335676346227 -18.7517927066422|   4.966 -6.020     |9.30     |A2                 |    ~     ~    |    1|  553.679   pc  |  -6.2845     +6.2845  |paral   |2020yCat.1350....0G
12  |BD+41 389                                                                                                |Star                              |02 01 35.5766397552 +42 25 53.334982452|136.5033961587904 -18.5839724818483|    3.266 1.239     |9.37     |K0                 |    ~     ~    |    1|  266.248   pc  |  -1.1484     +1.1484  |paral   |2020yCat.1350....0G
13  |* gam02 And                                                                                              |Double or Multiple Star           |02 03 54.7580291496 +42 19 51.281119488|136.9667244042748 -18.5571582157933| 16.645 -47.746     |5.82     |B8V+A0V            |0.0033  0.0    |    1|   82.834   pc  |  -6.5554     +6.5554  |paral   |2020yCat.1350....0G
14  |HD 12570                                                                                                 |Star                              |02 04 15.3827766648 +42 34 30.776761848|136.9553392322319 -18.3049909795396| -17.174 -4.928     |8.83     |A3                 |    ~     ~    |    1|  248.985   pc  |  -1.7916     +1.7916  |paral   |2020yCat.1350....0G
15  |BD+41 400                                                                                                |High Proper Motion Star           |02 05 14.0625618480 +42 19 54.580027260|137.2126387423558 -18.4843516419443| 41.807 -60.815     |9.44     |F8                 |    ~     ~    |    1|  139.313   pc  |  -0.4056     +0.4056  |paral   |2020yCat.1350....0G
16  |BD+41 405                                                                                                |Star                              |02 07 46.8302412888 +42 37 24.516876360|137.5914160855833 -18.0647176885927| -2.397 -11.802     |9.59     |K0                 |    ~     ~    |    1|  572.475   pc  |  -7.4394     +7.4394  |paral   |2020yCat.1350....0G
17  |HD 13015                                                                                                 |Star                              |02 08 29.7280736016 +42 30 59.190638976|137.7578176642521 -18.1260839230902| 13.862 -11.980     |8.88     |K0                 |    ~     ~    |    1|  395.4288  pc  | -15.7302    +15.7302  |paral   |2018yCat.1345....0G
18  |BD+41 413                                                                                                |High Proper Motion Star           |02 09 47.5795183320 +42 41 13.830867744|137.9405351292950 -17.8895138228249| 70.424 -30.816     |9.18     |F8                 |    ~     ~    |    1|  214.698   pc  |  -0.8251     +0.8251  |paral   |2020yCat.1350....0G
19  |HD 13339                                                                                                 |Star                              |02 11 25.9319225208 +42 38 51.927158976|138.2539428631260 -17.8314910196573|   5.458 -6.683     |8.44     |A3                 |    ~     ~    |    1|  173.974   pc  | -17.0644    +17.0644  |paral   |2020yCat.1350....0G
20  |HD 13340                                                                                                 |High Proper Motion Star           |02 11 29.1049589184 +42 19 58.012168152|138.3696535867346 -18.1267737644621|-11.602 -123.426    |9.10     |K0                 |    ~     ~    |    1|   71.546   pc  |  -0.0927     +0.0927  |paral   |2020yCat.1350....0G
21  |BD+41 420                                                                                                |Star                              |02 11 54.9337441368 +42 17 17.426576328|138.4640406879251 -18.1434435890789|   0.078 -1.616     |9.29     |K0                 |    ~     ~    |    1| 1076.426   pc  | -20.0454    +20.0454  |paral   |2020yCat.1350....0G
22  |NAME Almach                        * gam01 And                                                           |Spectroscopic Binary              |02 03 53.95229 +42 19 47.0223          |136.96458468 -18.55901423          |   42.32 -49.30     |2.10     |K2+IIb             |0.163  0.0     |    0|                |                       |        |                   
23  |BD+41 392                                                                                                |Star                              |02 02 30.4201409760 +42 01 04.111288932|136.7992183213306 -18.9322526641604|  -6.285 -2.027     |8.63     |K5                 |    ~     ~    |    1|  606.870   pc  |  -9.5756     +9.5756  |paral   |2020yCat.1350....0G
