C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:50:21

Vmag< 11&dec >=0&rah >=20.0&rah< 20.25
--------------------------------------

Number of objects : 10230

  #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |      spec. type       |   ang. size   
-----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------------|---------------
1    |HD 228407                                                                                                |Star                           |20 13 20.7562 +42 13 24.762            |078.8455584 +04.3513300            |    9.429 6.113    |10.12    |~                      |    ~     ~    
2    |HD 228494                                                                                                |Double or Multiple Star        |20 14 13.0955509944 +42 16 14.532301560|078.9740258115973 +04.2423630444583| -4.063 -17.286    |9.861    |~                      |    ~     ~    
3    |BD+41 3669                                                                                               |Star                           |20 14 25.1968992192 +42 22 17.929844112|079.0791051709776 +04.2668301957845|    4.085 1.726    |9.03     |A0                     |    ~     ~    
4    |BD+41 3671                                                                                               |Star                           |20 14 58.1065294656 +42 11 15.723638808|078.9813732775878 +04.0807440444293|  -5.108 -3.586    |10.58    |OB-                    |    ~     ~    
5    |BD+41 3672                                                                                               |Star                           |20 14 57.8089357968 +42 22 05.592104400|079.1317554375142 +04.1811956435710|   5.803 10.246    |10.12    |A2                     |    ~     ~    
6    |BD+41 3674                                                                                               |High Proper Motion Star        |20 14 59.7857262840 +42 20 39.003013212|079.1150189629970 +04.1628396104317|-16.799 -78.736    |9.90     |G0                     |    ~     ~    
7    |HD 227937                                                                                                |Star                           |20 08 37.8217520568 +41 20 13.501758012|077.6199670843711 +04.6075896164754|   0.956 -3.513    |10.75    |~                      |    ~     ~    
8    |HD 227980                                                                                                |Star                           |20 09 09.3391449456 +41 15 15.431682168|077.6033579138199 +04.4798558916050| -3.752 -10.005    |10.60    |~                      |    ~     ~    
9    |V* AY Cyg                                                                                                |Carbon Star                    |20 09 44.2272771936 +41 29 36.448110204|077.8643600627621 +04.5172644504223|   0.080 -5.140    |10.08    |C6,3e                  |0.0033  0.0    
10   |HD 228090A                                                                                               |Star                           |20 10 10.5885676128 +41 29 56.533580268|077.9137335726390 +04.4511094053053|   13.029 7.998    |9.51     |~                      |    ~     ~    
11   |HD 228169                                                                                                |Star                           |20 10 52.8401523816 +41 41 30.781801680|078.1478651402243 +04.4451329316519|-19.726 -28.339    |10.04    |~                      |    ~     ~    
12   |HD 228170                                                                                                |Star                           |20 10 56.3466554400 +41 28 18.855090120|077.9686145245330 +04.3164193742916|   5.950 -0.886    |10.52    |A2                     |    ~     ~    
13   |HD 228180                                                                                                |Star                           |20 11 01.2945964008 +41 27 19.165878504|077.9630828375808 +04.2944383320109| -4.382 -12.278    |8.905    |K2                     |    ~     ~    
14   |HD 228241                                                                                                |Star                           |20 11 43.0940806176 +41 26 23.230474872|078.0213064498903 +04.1764872501555|   1.237 -3.078    |9.25     |K                      |    ~     ~    
