C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:26:25

dec >=0&rah >=20.25&rah< 20.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 9715

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |      spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|----------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 195377                                                                                                |Star                              |20 29 28.2592547304 +38 57 05.578766604|077.8911158958727 -00.0257767183878|    9.102 6.557  |8.44     |A0                    |    ~     ~    |    1|  463.392   pc  |  -4.8529     +4.8529  |paral   |2020yCat.1350....0G
2   |HD 195393                                                                                                |Star                              |20 29 33.8867982240 +38 56 29.778493020|077.8937647958364 -00.0463786870165|  -1.442 -4.462  |8.56     |B8                    |    ~     ~    |    1|  859.623   pc  | -41.0119    +41.0119  |paral   |2020yCat.1350....0G
3   |UCAC2 45558758                                                                                           |Star                              |20 29 35.9609303352 +39 01 12.706673880|077.9613371559546 -00.0056886334522|  -2.972 -2.163  |10.2     |~                     |    ~     ~    |    1| 1176.609   pc  | -18.5511    +18.5511  |paral   |2020yCat.1350....0G
4   |BD+38 4109                                                                                               |Star                              |20 28 58.9366210896 +39 11 15.307145376|078.0267502250282 +00.1894299837100|    5.787 2.095  |9.22     |A0                    |    ~     ~    |    1|  348.238   pc  |  -2.3890     +2.3890  |paral   |2020yCat.1350....0G
5   |V* V456 Cyg                                                                                              |Spectroscopic Binary              |20 28 50.8468852872 +39 09 13.744831572|077.9840754710535 +00.1908457785297|    2.446 0.371  |10.85    |A2hA7mA4V+F3V         |    ~     ~    |    1|  587.510   pc  |  -4.3491     +4.3491  |paral   |2020yCat.1350....0G
6   |HD 194988                                                                                                |Star                              |20 27 11.4633408624 +38 52 54.333198732|077.5754014855292 +00.2933954228719|    7.157 2.885  |8.44     |K2                    |    ~     ~    |    1|  383.936   pc  |  -2.5354     +2.5354  |paral   |2020yCat.1350....0G
7   |BD+38 4096                                                                                               |Star                              |20 27 18.9457162032 +38 54 25.342425756|077.6100804117774 +00.2883672877349|   6.668 -0.846  |9.56     |F5                    |    ~     ~    |    1|  417.851   pc  | -17.0758    +17.0758  |paral   |2020yCat.1350....0G
8   |BD+38 4098                                                                                               |Star                              |20 27 33.0099928536 +38 46 19.599580668|077.5269483307568 +00.1727025644321|  -0.191 -2.878  |8.99     |B9Ib                  |    ~     ~    |    1| 1624.695   pc  | -32.2035    +32.2035  |paral   |2020yCat.1350....0G
9   |BD+38 4113                                                                                               |Star                              |20 29 32.0732150376 +38 34 51.097631520|077.5982185940703 -00.2533196962266|-19.773 -25.881  |9.43     |K                     |    ~     ~    |    1|  903.751   pc  | -10.8630    +10.8630  |paral   |2020yCat.1350....0G
10  |HD 195394                                                                                                |Star                              |20 29 34.1152979400 +38 36 27.579128076|077.6238214156428 -00.2429758200242|   2.165 -1.684  |8.46     |A0                    |    ~     ~    |    1|  498.231   pc  |  -6.4044     +6.4044  |paral   |2020yCat.1350....0G
11  |BD+38 4118                                                                                               |Star                              |20 29 55.0880933136 +38 37 19.160019912|077.6755195677912 -00.2898251150246| -14.617 -2.815  |10.09    |K2                    |    ~     ~    |    1|  808.016   pc  |  -7.8347     +7.8347  |paral   |2020yCat.1350....0G
12  |BD+38 4119                                                                                               |Star                              |20 29 58.9814657880 +38 32 23.258365728|077.6164733175910 -00.3483953413029|    9.495 7.920  |9.00     |F0                    |    ~     ~    |    1|  336.632   pc  |  -1.4958     +1.4958  |paral   |2020yCat.1350....0G
13  |V* V1388 Cyg                                                                                             |Long-Period Variable              |20 27 36.7878087504 +38 50 46.124496780|077.5942707606738 +00.2058586970090|  -0.181 -3.081  |9.45     |M1                    |    ~     ~    |    1| 1759.634   pc  | -56.9721    +56.9721  |paral   |2020yCat.1350....0G
14  |TYC 3152-365-1                                                                                           |Star                              |20 29 09.0611038872 +39 07 25.062143448|077.9940786095554 +00.1254523643514|  14.876 12.808  |10.63    |~                     |    ~     ~    |    1|  567.215   pc  |  -3.9895     +3.9895  |paral   |2020yCat.1350....0G
15  |TYC 3152-793-1                                                                                           |Star                              |20 29 20.6478457200 +38 54 34.363651032|077.8426255950745 -00.0304339028897|  -0.564 -1.100  |10.89    |~                     |    ~     ~    |    1|  629.723   pc  | -11.0638    +11.0638  |paral   |2020yCat.1350....0G
16  |TYC 3152-811-1                                                                                           |Star                              |20 28 27.9674135664 +39 01 00.236155224|077.8296027715574 +00.1706852545428|    6.536 6.302  |10.66    |~                     |    ~     ~    |    1|  659.587   pc  | -46.3334    +46.3334  |paral   |2020yCat.1350....0G
17  |TYC 3152-1443-1                                                                                          |Star                              |20 29 33.9902386560 +38 31 54.150103200|077.5620863567115 -00.2872230070948|   8.775 -1.386  |10.90    |~                     |    ~     ~    |    1|  766.930   pc  | -12.8812    +12.8812  |paral   |2020yCat.1350....0G
18  |BD+38 4093                                                                                               |Emission-line Star                |20 27 10.2125997360 +38 54 01.565207640|077.5882343141547 +00.3075570881541|  -2.320 -6.096  |10.78    |Be                    |    ~     ~    |    1| 1802.776   pc  | -41.9250    +41.9250  |paral   |2020yCat.1350....0G
19  |[NH52] 52                                                                                                |Star                              |20 28 11.7568121208 +38 40 22.710403560|077.5198677129117 +00.0125684978719|  -2.078 -5.684  |10.97    |B0Ib                  |    ~     ~    |    1| 1631.588   pc  | -37.2691    +37.2691  |paral   |2020yCat.1350....0G
