C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:56:34

Vmag< 11&dec >=0&rah >=20.5&rah< 20.75
--------------------------------------

Number of objects : 8539

 #  |                                                                                  identifier                                                                                   |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type      |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------------|---------------
1   |BD+37 4038                                                                                                                                                                     |Star                           |20 44 31.2643691664 +38 20 38.013988200|079.1800206147618 -02.7355304966623| 18.405 -18.299   |9.53     |F8                    |    ~     ~    
2   |BD+37 4022                                                                                                                                                                     |Star                           |20 40 31.8168882264 +37 54 04.112221572|078.3472185033116 -02.3892919211626|   0.750 -3.566   |9.53     |G0                    |    ~     ~    
3   |HD 197273                                                                                                                                                                      |Star                           |20 41 27.9920135400 +37 48 34.159139208|078.3878393907627 -02.5915472471895| -4.145 -34.543   |8.67     |K0                    |    ~     ~    
4   |HD 197810                                                                                                                                                                      |Star                           |20 44 45.3142615824 +37 40 35.021315136|078.6841901883633 -03.1855196286962|   0.802 -3.654   |9.36     |F5                    |    ~     ~    
5   |BD+37 4043                                                                                                                                                                     |Star                           |20 44 53.1304890096 +38 06 59.063997420|079.0457901184714 -02.9327568932131|  -1.877 -2.488   |9.24     |G5                    |    ~     ~    
6   |BD+36 4209                                                                                                                                                                     |Star                           |20 43 40.8537383160 +37 27 43.556947668|078.3836600966448 -03.1508756048692|   9.218 -4.511   |9.12     |K0                    |    ~     ~    
7   |BD+36 4212                                                                                                                                                                     |Star                           |20 44 05.1625682880 +37 28 58.249592400|078.4497493128197 -03.2012539897846| -3.893 -25.334   |9.35     |K2                    |    ~     ~    
8   |HD 197838                                                                                                                                                                      |Star                           |20 44 55.2709426680 +37 20 25.504255716|078.4406012256801 -03.4196669517372|-25.500 -27.435   |8.60     |F1Vn                  |    ~     ~    
9   |V* DR Cyg                                                                                                                                                                      |Mira Variable                  |20 43 41.0050154232 +38 09 56.228451732|078.9379433150232 -02.7166903278412|   2.065 -4.436   |9.87     |M6e                   |    ~     ~    
10  |IRAS 20428+3711                                                                                                                                                                |Star                           |20 44 45.0621623016 +37 22 08.422557276|078.4420727235093 -03.3754131653508|   0.144 -2.750   |9.91     |~                     |    ~     ~    
