C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:32:14

dec >=0&rah >=20.75&rah< 21.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 7691

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+37 4133                                                            |Double or Multiple Star           |20 59 42.347 +37 52 28.77              |080.723022 -05.337860              |      4.7 -10.0   |9.7      |A0                |    ~     ~    |    0|                |                       |        |                   
2   |HD 198960                                                             |Double or Multiple Star           |20 52 36.5022 +36 54 45.308            |079.0722572 -04.8804432            |        7.4 0.2   |8.55     |A0                |    ~     ~    |    0|                |                       |        |                   
3   |BD+36 4301                                                            |Spectroscopic Binary              |20 53 35.3742539280 +36 41 49.294761000|079.0312233934926 -05.1691828778758|  1.286 -35.282   |9.37     |G1V               |    ~     ~    |    1|   93.523   pc  |  -1.2735     +1.2735  |paral   |2020yCat.1350....0G
4   |BD+36 4307                                                            |Star                              |20 53 59.7913910880 +36 53 47.407404948|079.2375505187977 -05.1043907611951|-13.630 -19.807   |9.06     |K0                |    ~     ~    |    1|  411.269   pc  |  -2.3511     +2.3511  |paral   |2020yCat.1350....0G
5   |BD+36 4308                                                            |Star                              |20 54 05.6873293152 +37 01 17.319900432|079.3465967846860 -05.0395361628864|   0.359 -6.969   |9.81     |OB-e              |    ~     ~    |    1| 1868.111   pc  | -69.7968    +69.7968  |paral   |2020yCat.1350....0G
6   |BD+36 4310                                                            |High Proper Motion Star           |20 54 18.2325929784 +36 57 42.829136172|079.3274650518014 -05.1097489541630|  50.287 -4.082   |9.01     |K0                |    ~     ~    |    1|   61.049   pc  |  -0.0485     +0.0485  |paral   |2020yCat.1350....0G
7   |BD+36 4315                                                            |Double or Multiple Star           |20 54 42.4609039512 +37 13 53.168563020|079.5869995379698 -04.9988465179311|   0.070 -1.163   |10.392   |K                 |    ~     ~    |    1| 1184.553   pc  | -15.8558    +15.8558  |paral   |2020yCat.1350....0G
8   |BD+36 4324                                                            |Star                              |20 55 47.6287154760 +36 37 39.730394856|079.2622711862763 -05.5529669459495|   10.750 4.533   |9.37     |K0                |    ~     ~    |    1|  527.927   pc  |  -3.4838     +3.4838  |paral   |2020yCat.1350....0G
9   |BD+36 4326                                                            |Star                              |20 56 21.8856037032 +36 45 47.365506000|079.4404388578474 -05.5533323973454|  -1.789 -6.398   |9.32     |K5                |    ~     ~    |    1|  841.397   pc  |  -9.6281     +9.6281  |paral   |2020yCat.1350....0G
10  |BD+36 4330                                                            |Emission-line Star                |20 56 42.4844151336 +37 22 00.215521572|079.9480141321080 -05.2162516378682|   1.846 -0.479   |9.17     |B9II              |    ~     ~    |    1| 1253.604   pc  | -21.2156    +21.2156  |paral   |2020yCat.1350....0G
