C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:34:47

dec >=0&rah >=21.0&rah< 21.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 7139

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 200207                                                                                                |Star                              |21 00 53.3791316928 +37 39 11.189914848|080.7083903094947 -05.6597543349024|   19.017 3.950   |8.11     |G5                |    ~     ~          |    1|  293.393   pc  |  -1.6785     +1.6785  |paral   |2020yCat.1350....0G
2   |BD+37 4147                                                                                               |Star                              |21 01 52.6234664520 +37 41 31.936138440|080.8669139056543 -05.7815097847840|  -0.883 -3.495   |9.92     |F2                |    ~     ~          |    1|  563.793   pc  |  -4.0051     +4.0051  |paral   |2020yCat.1350....0G
3   |HD 200104                                                                                                |Spectroscopic Binary              |21 00 13.5455598120 +36 57 47.055319668|080.0969473342078 -06.0112966055150|  -3.701 -7.122   |7.81     |K5                |    ~     ~          |    1|  974.089   pc  | -12.9992    +12.9992  |paral   |2020yCat.1350....0G
4   |HD 200208                                                                                                |Pulsating Variable                |21 00 55.4615106456 +37 21 52.337691396|080.4937950570501 -05.8540024341194|  18.507 11.013   |8.06     |A3                |    ~     ~          |    1|  256.562   pc  |  -1.1651     +1.1651  |paral   |2020yCat.1350....0G
5   |BD+36 4368                                                                                               |Star                              |21 01 01.5767453184 +37 29 40.652533608|080.6059062361235 -05.7840564757947|  16.249 11.484   |9.71     |F2                |    ~     ~          |    1|  311.187   pc  |  -2.1595     +2.1595  |paral   |2020yCat.1350....0G
6   |BD+36 4370                                                                                               |Pulsating Variable                |21 01 17.6620424304 +36 56 32.238873240|080.2216056330564 -06.1863551541475|   19.097 0.760   |9.27     |F2                |    ~     ~          |    1|  200.912   pc  |  -0.4804     +0.4804  |paral   |2020yCat.1350....0G
7   |HD 200371                                                                                                |Star                              |21 01 58.4529440688 +36 42 03.791575656|080.1282078294867 -06.4472918804502|  12.076 24.493   |8.00     |K5                |    ~     ~          |    1|  367.904   pc  |  -2.1250     +2.1250  |paral   |2020yCat.1350....0G
8   |BD+35 4351                                                                                               |Star                              |21 00 37.5404477808 +36 19 17.577845004|079.6609795773015 -06.4910588591727|  17.570 17.674   |10.33    |K0                |    ~     ~          |    1|  265.358   pc  |  -1.6336     +1.6336  |paral   |2020yCat.1350....0G
9   |BD+35 4359                                                                                               |Star                              |21 01 26.8184653440 +36 31 56.729938620|079.9302699612627 -06.4780384377163|    0.183 2.298   |9.74     |K0                |    ~     ~          |    1|  662.647   pc  |  -5.0936     +5.0936  |paral   |2020yCat.1350....0G
10  |BD+35 4364                                                                                               |Star                              |21 01 45.2258896104 +36 29 47.501147436|079.9436593846451 -06.5481197973677|  -4.760 -4.741   |9.53     |A2                |    ~     ~          |    1|  513.031   pc  |  -4.1849     +4.1849  |paral   |2020yCat.1350....0G
