C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:04:20

Vmag< 11&dec >=0&rah >=21.25&rah< 21.5
--------------------------------------

Number of objects : 7064

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
1   |HD 202600                                                             |Star                           |21 15 44.9178805128 +38 20 01.420573812|083.1953595178659 -07.3706900957006|  -3.204 -5.560   |9.00     |A                 |    ~     ~    
2   |HD 202599                                                             |Star                           |21 15 44.5795313568 +38 28 03.389208240|083.2924851752829 -07.2777113716280| -6.044 -12.708   |8.44     |K5                |    ~     ~    
3   |BD+37 4253                                                            |Star                           |21 16 51.9176294136 +38 14 50.402310036|083.2846533130598 -07.5889452353997|  -5.532 -9.608   |9.03     |K2                |    ~     ~    
4   |BD+37 4259                                                            |Star                           |21 17 26.5683298008 +38 13 45.957398196|083.3507092365215 -07.6832521863412| -16.961 -1.871   |9.36     |K0                |    ~     ~    
5   |BD+37 4247                                                            |Star                           |21 15 56.3934859512 +37 52 28.488874872|082.8855291849444 -07.7140435549485|  16.526 -1.444   |8.97     |G5                |    ~     ~    
6   |BD+37 4248                                                            |Double or Multiple Star        |21 16 03.5695406616 +37 47 09.437651988|082.8370572142322 -07.7921806165470| -2.978 -19.676   |9.24     |G0                |    ~     ~    
7   |BD+37 4261                                                            |Spectroscopic Binary           |21 17 49.3858602816 +38 03 15.460665912|083.2754047531862 -07.8584585729804|  21.129 -6.373   |9.14     |G0                |    ~     ~    
8   |BD+37 4264                                                            |Star                           |21 18 41.5341770856 +37 39 05.456113740|083.1023821139609 -08.2613445781301| 22.138 -10.841   |9.81     |F8                |    ~     ~    
9   |BD+37 4269                                                            |Star                           |21 19 12.8584618080 +38 09 47.895719652|083.5464306177898 -07.9797633072370|    9.287 1.967   |8.86     |K5                |    ~     ~    
10  |BD+36 4490                                                            |Star                           |21 15 27.1766772792 +37 18 02.880722448|082.3978936248754 -08.0383992520724|   2.407 -1.938   |9.48     |B8                |    ~     ~    
