C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:06:36

Vmag< 11&dec >=0&rah >=21.5&rah< 21.75
--------------------------------------

Number of objects : 6851

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------
1   |BD+38 4512                                                                                               |Pulsating Variable             |21 30 21.2575743888 +38 58 46.638051168|085.6883385035757 -08.9381269675165|  -1.412 -4.625   |9.56     |A0               |    ~     ~    
2   |BD+38 4512B                                                                                              |Star                           |21 30 21.8792320656 +38 59 22.261427340|085.6967485334391 -08.9323867459021|  16.487 14.215   |10.64    |~                |    ~     ~    
3   |BD+38 4518                                                                                               |Star                           |21 31 11.5694658576 +38 45 30.360047652|085.6526214915232 -09.2107435912182|-11.534 -12.786   |8.09     |K2               |    ~     ~    
4   |BD+38 4521                                                                                               |Star                           |21 32 12.9033404136 +38 41 51.135313704|085.7562240460311 -09.3924091968725|    0.194 1.794   |8.97     |K0               |    ~     ~    
5   |BD+38 4526                                                                                               |Spectroscopic Binary           |21 32 45.9879853416 +38 52 59.942312364|085.9648206799967 -09.3315973193456|  40.898 15.711   |9.10     |F5               |    ~     ~    
6   |TYC 3183-6-1                                                                                             |Star                           |21 31 16.0677820848 +38 59 47.248131012|085.8298992936879 -09.0487794433667|   4.733 -0.920   |10.81    |~                |    ~     ~    
7   |TYC 3183-472-1                                                                                           |Star                           |21 30 52.9208834160 +39 12 12.970290348|085.9200550700045 -08.8473357322667|  -4.218 -1.672   |10.79    |~                |    ~     ~    
8   |GSC 03183-00660                                                                                          |Double or Multiple Star        |21 31 43.1061914328 +38 50 01.416624108|085.7803365889929 -09.2270231527644| -3.406 -29.268   |10.728   |~                |    ~     ~    
9   |TYC 3183-876-1                                                                                           |Star                           |21 30 41.2240084272 +39 02 38.235309612|085.7806437977788 -08.9364765328698|   -3.831 0.347   |10.67    |~                |    ~     ~    
10  |TYC 3183-981-1                                                                                           |Star                           |21 30 54.5830423680 +39 04 22.107578304|085.8324447425885 -08.9455408385949|   0.439 -1.175   |10.66    |~                |    ~     ~    
11  |TYC 3183-1585-1                                                                                          |Star                           |21 31 00.2029004112 +39 03 38.559413052|085.8372748828831 -08.9668503938026|  -2.313 -5.195   |10.97    |~                |    ~     ~    
12  |TYC 3183-1605-1                                                                                          |Star                           |21 30 36.7072559664 +38 46 25.654743588|085.5805608987377 -09.1212855432621| -0.931 -20.472   |9.88     |~                |    ~     ~    
13  |TYC 3183-1753-1                                                                                          |Star                           |21 33 24.7689836064 +38 46 46.605529632|085.9853476941151 -09.4934281864432|    2.130 1.412   |9.75     |~                |    ~     ~    
14  |TYC 3183-2271-1                                                                                          |Star                           |21 32 49.9432022688 +38 49 44.751531468|085.9364868607564 -09.3797935668212|  -7.436 -9.169   |10.93    |~                |    ~     ~    
15  |BD+38 4522A                                                                                              |Star                           |21 32 13.0207668696 +38 49 10.145118036|085.8416536695592 -09.3042865190582|   3.883 -0.035   |10.231   |~                |    ~     ~    
16  |TYC 3183-2882-1                                                                                          |Star                           |21 30 37.4765571240 +38 37 31.303058628|085.4782413300384 -09.2300741053113|   38.393 9.097   |10.17    |~                |    ~     ~    
