C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:44:25

dec >=0&rah >=22.0&rah< 22.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 7006

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 209125                                                                                                |Star                               |22 00 11.0739505368 +42 35 00.955226544|092.4028078065795 -09.9130712604478|  34.533 -6.764   |7.57     |A2                  |    ~     ~    |    1|  151.561   pc  |  -0.4962     +0.4962  |paral   |2020yCat.1350....0G
2   |BD+41 4345                                                                                               |Star                               |22 00 13.6140140088 +42 41 13.027682724|092.4734474052118 -09.8362639413621|   -3.799 6.281   |9.83     |G0                  |    ~     ~    |    1|  320.605   pc  |  -1.2848     +1.2848  |paral   |2020yCat.1350....0G
3   |BD+41 4347                                                                                               |Star                               |22 00 42.4990985880 +42 17 44.577565944|092.3009255924336 -10.1996902039710|    5.268 7.978   |9.38     |F5                  |    ~     ~    |    1|  289.620   pc  |  -1.4763     +1.4763  |paral   |2020yCat.1350....0G
4   |BD+41 4350                                                                                               |Star                               |22 01 37.4869337232 +42 40 54.269759208|092.6764858988465 -09.9975728727420|   13.496 1.048   |9.26     |F5                  |    ~     ~    |    1|  257.759   pc  |  -1.5746     +1.5746  |paral   |2020yCat.1350....0G
5   |HD 209438                                                                                                |Star                               |22 02 25.4221700784 +42 25 31.551456468|092.6364258684444 -10.2904675548477|   13.855 3.999   |8.40     |K0                  |    ~     ~    |    1|  404.351   pc  |  -2.9593     +2.9593  |paral   |2020yCat.1350....0G
6   |BD+41 4349                                                                                               |Star                               |22 01 24.3882401520 +42 01 30.409501800|092.2364741489607 -10.4928532043865|  -0.505 -5.344   |9.16     |K0                  |    ~     ~    |    1|  432.096   pc  |  -2.3712     +2.3712  |paral   |2020yCat.1350....0G
7   |BD+41 4353                                                                                               |High Proper Motion Star            |22 01 50.4653142672 +42 01 25.905317556|092.3006849191207 -10.5431605720533|  38.064 39.765   |9.68     |F5                  |    ~     ~    |    1|  135.110   pc  |  -0.2154     +0.2154  |paral   |2020yCat.1350....0G
8   |BD+41 4354                                                                                               |Star                               |22 02 01.7079267072 +41 42 39.799162728|092.1344969480609 -10.8122238713072|-13.593 -24.352   |10.18    |K0                  |    ~     ~    |    1|  656.039   pc  |  -4.8203     +4.8203  |paral   |2020yCat.1350....0G
9   |BD+41 4357                                                                                               |Star                               |22 02 28.0483580592 +42 04 59.185045884|092.4311833812647 -10.5670668459959|   10.725 1.220   |10.29    |K0                  |    ~     ~    |    1|  769.527   pc  |  -6.9284     +6.9284  |paral   |2020yCat.1350....0G
10  |AG+41 2136                                                                                               |Long-Period Variable Candidate     |22 03 41.2502292504 +41 54 10.880333100|092.5032319491770 -10.8477921384279|   2.901 -4.215   |9.02     |M0                  |    ~     ~    |    1| 1142.47    pc  | -26.3656    +26.3656  |paral   |2020yCat.1350....0G
11  |BD+41 4363                                                                                               |Pulsating Variable                 |22 03 52.8369114432 +42 00 34.869503088|092.5980557666930 -10.7846163437927|  -2.231 -3.636   |9.22     |F0                  |    ~     ~    |    1|  463.499   pc  |  -3.3729     +3.3729  |paral   |2020yCat.1350....0G
12  |BD+40 4697                                                                                               |Pulsating Variable                 |22 00 52.3499514024 +41 16 59.665018728|091.6934324025048 -11.0179265857767|   1.950 -2.581   |9.75     |B9III-IVSi          |    ~     ~    |    1|  600.889   pc  |  -7.1130     +7.1130  |paral   |2020yCat.1350....0G
13  |HD 209270                                                                                                |Star                               |22 01 08.8145805480 +41 04 43.048287948|091.6069275965424 -11.2111325217995|   7.045 -5.522   |8.67     |A0                  |    ~     ~    |    1|  314.297   pc  |  -2.1930     +2.1930  |paral   |2020yCat.1350....0G
14  |HD 209342                                                                                                |Star                               |22 01 42.9951541344 +41 32 20.929297020|091.9805682226426 -10.9127066899866|-10.847 -12.251   |6.980    |K2                  |    ~     ~    |    1|  329.402   pc  |  -1.7578     +1.7578  |paral   |2020yCat.1350....0G
15  |BD+40 4705                                                                                               |Star                               |22 02 26.7970230096 +41 12 20.261776824|091.8834756348371 -11.2604336669257|  33.623 14.751   |9.25     |F2                  |    ~     ~    |    1|  256.489   pc  |  -0.9736     +0.9736  |paral   |2020yCat.1350....0G
