C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:46:34

dec >=0&rah >=22.25&rah< 22.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 6501

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+41 4443                                                                                               |Star                                  |22 16 31.1181350424 +42 25 13.713325824|094.7756146800366 -11.8259362484707|-25.524 -14.011   |9.01     |G5                 |    ~     ~    |    1|  185.818   pc  |  -1.5469     +1.5469  |paral   |2020yCat.1350....0G
2   |IRAS 22130+4241                                                                                          |Star                                  |22 15 10.3151187672 +42 56 34.438128864|094.8722611449082 -11.2556589910804|  -6.599 -8.506   |10.02    |~                  |    ~     ~    |    1| 1024.800   pc  | -18.0637    +18.0637  |paral   |2020yCat.1350....0G
3   |BD+41 4446                                                                                               |High Proper Motion Star               |22 16 53.3835368736 +42 01 44.822819748|094.6058436026167 -12.1869156034786|-61.747 -44.167   |9.67     |F8                 |    ~     ~    |    1|  191.512   pc  |  -0.4805     +0.4805  |paral   |2020yCat.1350....0G
4   |IRAS 22136+4144                                                                                          |Star                                  |22 15 43.7093117040 +41 59 37.573325988|094.4039737007837 -12.0929581852700|  -4.970 -3.416   |9.92     |~                  |    ~     ~    |    1| 1886.081   pc  | -60.4741    +60.4741  |paral   |2020yCat.1350....0G
5   |TYC 3207-355-1                                                                                           |Star                                  |22 16 13.8360 +42 29 13.128            |094.7696656 -11.7410148            |    -13.2 -12.1   |10.57    |~                  |    ~     ~    |    0|                |                       |        |                   
6   |TYC 3207-457-1                                                                                           |High Proper Motion Star               |22 17 45.1355292384 +42 11 46.339540872|094.8375550266328 -12.1400135575758|-15.415 -73.430   |10.55    |~                  |    ~     ~    |    1|  195.806   pc  |  -0.6633     +0.6633  |paral   |2020yCat.1350....0G
7   |TYC 3207-593-1                                                                                           |High Proper Motion Star               |22 15 12.4328679744 +42 52 24.994313436|094.8372595023844 -11.3161955573504| 45.767 -21.660   |10.45    |~                  |    ~     ~    |    1|   83.036   pc  |  -0.0793     +0.0793  |paral   |2020yCat.1350....0G
8   |TYC 3207-1124-1                                                                                          |Star                                  |22 15 11.1528038520 +42 05 51.754333380|094.3803820973500 -11.9500638294373| -10.186 -6.573   |10.40    |~                  |    ~     ~    |    1|  576.070   pc  |  -9.7566     +9.7566  |paral   |2020yCat.1350....0G
9   |TYC 3207-1275-1                                                                                          |Star                                  |22 17 33.3567969912 +42 21 51.697861920|094.9042413572994 -11.9808227804891|   2.363 -3.452   |10.59    |~                  |    ~     ~    |    1|  353.732   pc  |  -7.1948     +7.1948  |paral   |2020yCat.1350....0G
10  |TYC 3207-1340-1                                                                                          |Star                                  |22 16 21.6542197200 +42 04 56.420452740|094.5542786545011 -12.0872820026165|   8.557 -0.598   |10.96    |~                  |    ~     ~    |    1|  639.427   pc  |  -4.5384     +4.5384  |paral   |2020yCat.1350....0G
11  |TYC 3207-1552-1                                                                                          |Star                                  |22 16 28.4273321016 +42 13 03.781695864|094.6507140429817 -11.9879355555908| -3.146 -16.131   |10.55    |~                  |    ~     ~    |    1|  597.086   pc  | -10.2319    +10.2319  |paral   |2020yCat.1350....0G
12  |TYC 3207-1566-1                                                                                          |Star                                  |22 15 23.1478 +41 55 11.280            |094.3072394 -12.1171375            |   20.816 9.681   |10.97    |~                  |    ~     ~    |    0|                |                       |        |                   
13  |TYC 3207-1607-1                                                                                          |Star                                  |22 16 43.3182401808 +42 34 58.194415020|094.9013856027354 -11.7136694261264|   5.903 -1.955   |10.41    |~                  |    ~     ~    |    1|  922.339   pc  |  -9.9533     +9.9533  |paral   |2020yCat.1350....0G
14  |TYC 3207-1727-1                                                                                          |Star                                  |22 16 10.7126610144 +42 40 26.236055352|094.8703542697131 -11.5818693790582|  -1.705 -4.758   |10.74    |~                  |    ~     ~    |    1| 1489.425   pc  | -57.6781    +57.6781  |paral   |2020yCat.1350....0G
15  |TYC 3207-2033-1                                                                                          |Star                                  |22 15 11.3111203608 +42 35 52.970929368|094.6735333156787 -11.5402321665519|  -2.108 -7.178   |10.70    |~                  |    ~     ~    |    1|  899.442   pc  | -10.1934    +10.1934  |paral   |2020yCat.1350....0G
16  |BD+43 4166                                                                                               |Star                                  |22 16 07.2621755280 +44 17 54.683790108|095.8017467526674 -10.2391252102001|  11.911 -2.822   |9.38     |K0                 |    ~     ~    |    1|  469.462   pc  |  -3.1296     +3.1296  |paral   |2020yCat.1350....0G
17  |HD 211661                                                                                                |Star                                  |22 17 34.9221477672 +44 42 08.948126052|096.2518893942806 -10.0528172310841|   25.564 6.591   |9.31     |F2                 |    ~     ~    |    1|  270.827   pc  |  -1.2029     +1.2029  |paral   |2020yCat.1350....0G
18  |BD+43 4168                                                                                               |Star                                  |22 19 19.3283779224 +44 18 10.013368536|096.2856700853471 -10.5577167441214|  -4.303 -4.966   |10.03    |K0                 |    ~     ~    |    1|  794.534   pc  |  -8.2698     +8.2698  |paral   |2020yCat.1350....0G
19  |BD+43 4177                                                                                               |High Proper Motion Star               |22 21 29.1174181656 +44 27 39.683603304|096.7021638756352 -10.6403094458168|-61.689 -20.356   |9.53     |F8                 |    ~     ~    |    1|  150.736   pc  |  -0.3658     +0.3658  |paral   |2020yCat.1350....0G
20  |BD+43 4180                                                                                               |Spectroscopic Binary                  |22 22 12.3365033616 +44 20 58.295280084|096.7490766593282 -10.8041928495803|  3.990 -12.555   |9.70     |F8                 |    ~     ~    |    1|  190.931   pc  |  -0.7874     +0.7874  |paral   |2020yCat.1350....0G
