C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:53:05

Vmag< 11&dec >=0&rah >=2.25&rah< 2.5
------------------------------------

Number of objects : 4895

 #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
1   |BD+41 429                                                                                                |Star                          |02 15 43.3171350072 +42 16 04.059729768|139.1702763914736 -17.9308745829863| 28.776 -18.410   |9.79     |G5                |    ~     ~    
2   |BD+41 430                                                                                                |Star                          |02 15 45.3381497832 +42 28 05.760557292|139.1056319656164 -17.7399792254116|  -9.320 -2.504   |7.83     |K5                |    ~     ~    
3   |BD+40 466                                                                                                |Star                          |02 15 26.9784196104 +41 06 45.937603260|139.5300630262947 -19.0355265900235|   -4.439 0.492   |9.52     |A0                |    ~     ~    
4   |BD+40 467                                                                                                |Star                          |02 15 29.9041848864 +41 08 02.810888952|139.5315833564933 -19.0123264815147|-43.363 -13.402   |8.60     |K2                |    ~     ~    
5   |HD 13844                                                                                                 |Double or Multiple Star       |02 15 57.1995025872 +40 46 04.514406492|139.7484859426590 -19.3277663621734| 23.338 -21.098   |9.08     |G5                |    ~     ~    
6   |HD 14065                                                                                                 |Star                          |02 17 40.0781975160 +40 48 24.179047128|140.0573029257121 -19.1799691193397| 42.323 -23.327   |8.67     |F5                |    ~     ~    
7   |BD+40 474                                                                                                |Star                          |02 17 54.8452650048 +41 34 09.146545572|139.8245297146121 -18.4485394000672|  -6.254 -6.446   |10.09    |K0                |    ~     ~    
8   |BD+40 475                                                                                                |Star                          |02 18 02.9495849760 +40 52 08.176116900|140.1060356162971 -19.0966018926785|  2.514 -11.328   |9.30     |A2                |    ~     ~    
9   |HD 14105                                                                                                 |Star                          |02 17 52.3346742624 +40 33 01.806623208|140.1899485614103 -19.4068431254059|   -8.681 0.416   |7.39     |K0                |    ~     ~    
10  |HD 14136                                                                                                 |Star                          |02 18 19.4824031208 +41 55 46.607360232|139.7688482683744 -18.0838998391197| 30.147 -24.322   |9.53     |G5                |    ~     ~    
11  |HD 14251                                                                                                 |Star                          |02 19 27.7483584384 +42 07 07.672433268|139.9077640592028 -17.8329502741791|  -2.376 -2.928   |9.43     |B8IV-V            |    ~     ~    
12  |BD+41 447                                                                                                |Star                          |02 20 58.6113603672 +42 00 31.670815428|140.2248054325189 -17.8365931916100|  10.562 -9.681   |9.45     |K2                |    ~     ~    
13  |BD+41 451                                                                                                |Star                          |02 23 27.8790080904 +41 44 32.185491540|140.7796653978722 -17.9180688598638|  -0.905 -3.438   |8.65     |K5                |    ~     ~    
14  |HD 14137                                                                                                 |Double or Multiple Star       |02 18 17.3035290336 +41 19 33.333898908|139.9828676781984 -18.6524319189002|  -7.919 -3.560   |8.09     |A2                |0.0017  0.0    
15  |BD+40 487                                                                                                |Star                          |02 21 24.2032680144 +41 23 46.605558012|140.5333574197461 -18.3802018632761|   6.805 -5.595   |9.48     |K0                |    ~     ~    
16  |HD 14478                                                                                                 |Star                          |02 21 25.3707709296 +41 05 32.969975784|140.6520050216801 -18.6624138138502| 24.434 -10.536   |9.08     |A3                |    ~     ~    
17  |BD+40 493                                                                                                |Star                          |02 21 50.9153342808 +41 19 39.052895016|140.6415654522893 -18.4143225375390| -19.887 -3.456   |9.38     |F0                |    ~     ~    
18  |HD 14573                                                                                                 |Star                          |02 22 21.1305483528 +41 10 30.820971720|140.7926588429925 -18.5220811229974| 34.838 -27.052   |8.51     |F5                |    ~     ~    
19  |BD+40 497                                                                                                |Star                          |02 22 37.2175507272 +41 29 33.116344008|140.7207738179413 -18.2081373964229| 18.745 -17.299   |9.97     |F8                |    ~     ~    
20  |HD 14622                                                                                                 |High Proper Motion Star       |02 22 50.3034199104 +41 23 46.657521456|140.7976985463551 -18.2829369737077|-75.147 -98.755   |5.795    |F0III-IV          |    ~     ~    
21  |TYC 2839-77-1                                                                                            |Star                          |02 22 54.8948341944 +41 27 04.182029424|140.7907333787078 -18.2266118843426|   -8.281 1.626   |10.40    |~                 |    ~     ~    
22  |HD 14633                                                                                                 |Spectroscopic Binary          |02 22 54.2923246536 +41 28 47.724359448|140.7778643740574 -18.2005092864202|  -0.621 -7.069   |8.73     |ON8.5V            |    ~     ~    
23  |BD+40 503                                                                                                |Star                          |02 24 04.3958503344 +41 36 11.051887068|140.9444896099145 -18.0058813693642|  -6.077 -0.878   |10.74    |~                 |    ~     ~    
24  |BD+39 507                                                                                                |Star                          |02 15 14.3016483840 +39 47 39.709951152|139.9635974100050 -20.2897681262497|  14.997 -3.540   |9.20     |K0                |    ~     ~    
25  |TYC 2834-84-1                                                                                            |Star                          |02 15 41.7205914456 +41 08 50.601357096|139.5637469704322 -18.9873023132228|  -3.492 -0.631   |10.23    |~                 |    ~     ~    
26  |TYC 2834-376-1                                                                                           |Star                          |02 17 25.8360388152 +40 46 38.659460376|140.0233979289603 -19.2230084824686|   1.119 -3.917   |10.73    |~                 |    ~     ~    
27  |TYC 2834-460-1                                                                                           |Star                          |02 18 07.7207013696 +40 51 18.843273144|140.1259956312024 -19.1042234077655|  -12.312 1.646   |9.90     |~                 |    ~     ~    
