C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:48:36

dec >=0&rah >=22.5&rah< 22.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5857

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 213369                                                                                                |Star                                |22 30 05.5852249992 +45 12 33.592491828|098.4211852175530 -10.8299568414400|-17.964 -38.722   |8.37     |F0                   |    ~     ~          |    1|  206.996   pc  |  -0.7584     +0.7584  |paral   |2020yCat.1350....0G
2   |BD+44 4152                                                                                               |Spectroscopic Binary                |22 30 28.9402075848 +45 19 59.770061436|098.5466276968154 -10.7601937498606|  58.117 23.359   |9.02     |F2                   |    ~     ~          |    1|  170.826   pc  |  -0.3940     +0.3940  |paral   |2020yCat.1350....0G
3   |HD 213390                                                                                                |Star                                |22 30 12.3296784456 +44 26 18.096506916|098.0263117435605 -11.4968265741967|   0.145 -2.222   |8.89     |B9                   |    ~     ~          |    1|  728.544   pc  |  -8.8640     +8.8640  |paral   |2020yCat.1350....0G
4   |BD+44 4161                                                                                               |Star                                |22 32 43.4387048640 +45 19 32.252106324|098.8854386185405 -10.9713061577414|   7.487 -0.751   |9.24     |A2                   |    ~     ~          |    1|  276.472   pc  |  -1.2001     +1.2001  |paral   |2020yCat.1350....0G
5   |HD 213778                                                                                                |Star                                |22 33 09.1682132760 +44 54 56.714874444|098.7361665939983 -11.3615247078529|   2.600 -2.207   |9.51     |K5                   |    ~     ~          |    1|  987.947   pc  | -14.4454    +14.4454  |paral   |2020yCat.1350....0G
6   |HD 213813                                                                                                |Star                                |22 33 26.1867540336 +45 08 11.235350076|098.8957744226281 -11.1980609268731|  17.100 -4.976   |9.57     |F2                   |    ~     ~          |    1|  301.550   pc  |  -1.1094     +1.1094  |paral   |2020yCat.1350....0G
7   |HD 213932                                                                                                |Star                                |22 34 10.2904234128 +44 29 45.317646852|098.6744578782186 -11.8146994845516|  17.566 -3.727   |10.22    |F2                   |    ~     ~          |    1|  418.270   pc  |  -3.3415     +3.3415  |paral   |2020yCat.1350....0G
8   |HD 214008                                                                                                |Star                                |22 34 37.1466877176 +45 00 17.932886100|099.0100045345297 -11.4179236228903|  12.360 -0.173   |7.52     |A0                   |    ~     ~          |    1|  469.616   pc  |  -5.6017     +5.6017  |paral   |2020yCat.1350....0G
9   |HD 214097                                                                                                |Star                                |22 35 15.6609160176 +45 09 12.255959700|099.1865883942706 -11.3479034958337|  -5.353 -7.292   |6.97     |K5                   |    ~     ~          |    1|  439.387   pc  |  -3.1276     +3.1276  |paral   |2020yCat.1350....0G
10  |BD+43 4223                                                                                               |Star                                |22 32 32.1022032336 +44 27 17.413246008|098.3972710769464 -11.6995196975936|   4.316 -8.918   |9.16     |M0                   |    ~     ~          |    1|  908.926   pc  | -19.7449    +19.7449  |paral   |2020yCat.1350....0G
