C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:50:36

dec >=0&rah >=22.75&rah< 23.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5727

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 215507                                                                                                |Star                                |22 45 02.9975236488 +46 13 58.847397636|101.2457066255180 -11.2489258253843|   0.292 -1.974    |9.87     |A0                  |    ~     ~    |    1|  710.833   pc  | -10.3583    +10.3583  |paral   |2020yCat.1350....0G
2   |HD 215564                                                                                                |High Proper Motion Star             |22 45 23.1265889712 +45 47 07.642418892|101.0809881007422 -11.6703986812220|  50.983 -5.319    |10.12    |G5                  |    ~     ~    |    1|  120.224   pc  |  -0.2067     +0.2067  |paral   |2020yCat.1350....0G
3   |Ross 223                                                                                                 |Double or Multiple Star             |22 45 39.8570435088 +45 23 23.534017600|100.9329141611907 -12.0417039590609| 332.998 91.763    |10.435   |K6V                 |    ~     ~    |    1|   40.1702  pc  |  -0.3019     +0.3019  |paral   |2018yCat.1345....0G
4   |HD 215519                                                                                                |Star                                |22 45 05.6 +44 49 29                   |100.5669 -12.4907                  |            ~ ~    |8.6      |F8                  |    ~     ~    |    0|                |                       |        |                   
5   |HD 215535                                                                                                |Star                                |22 45 10.4315754288 +45 41 18.876138504|101.0007817910516 -11.7380767629295|   6.397 -7.809    |9.70     |G5                  |    ~     ~    |    1|  512.584   pc  |  -3.2055     +3.2055  |paral   |2020yCat.1350....0G
6   |HD 215565                                                                                                |Star                                |22 45 21.7335436896 +44 51 33.453404064|100.6267050048844 -12.4830856367361|  -8.003 -3.114    |9.34     |A0                  |    ~     ~    |    1|  741.950   pc  |  -8.7528     +8.7528  |paral   |2020yCat.1350....0G
7   |HD 215610                                                                                                |Star                                |22 45 41.9207345400 +45 09 43.302568212|100.8276974019004 -12.2450950866757|   7.593 -0.337    |10.59    |A                   |    ~     ~    |    1|  679.671   pc  | -10.9483    +10.9483  |paral   |2020yCat.1350....0G
8   |HD 215646                                                                                                |Star                                |22 45 55.1849415000 +45 36 21.723310548|101.0779660190936 -11.8726068758840|   0.522 -1.706    |8.96     |A0                  |    ~     ~    |    1|  590.423   pc  |  -7.1114     +7.1114  |paral   |2020yCat.1350....0G
9   |HD 215674                                                                                                |Star                                |22 46 12.1354058664 +45 29 23.721565128|101.0663461276248 -11.9983010688234| 26.391 -34.780    |9.32     |F8                  |    ~     ~    |    1|  163.854   pc  |  -0.3651     +0.3651  |paral   |2020yCat.1350....0G
10  |HD 215685                                                                                                |Star                                |22 46 13.6813672680 +45 42 47.978381952|101.1783053958195 -11.8035495342721|  -0.977 -1.073    |10.53    |A                   |    ~     ~    |    1|  744.934   pc  | -15.3715    +15.3715  |paral   |2020yCat.1350....0G
11  |HD 215759                                                                                                |Star                                |22 46 41.7110564136 +45 45 21.551687064|101.2722943013329 -11.8043753717475|  -0.441 -1.752    |9.62     |A0                  |    ~     ~    |    1|  684.978   pc  |  -8.9147     +8.9147  |paral   |2020yCat.1350....0G
12  |HD 215791                                                                                                |Double or Multiple Star             |22 46 59.36016 +44 46 22.6117          |100.84511827 -12.69588202          |     5.19 -3.44    |8.55     |A0                  |    ~     ~    |    0|                |                       |        |                   
13  |HD 215909                                                                                                |Star                                |22 47 54.4643016360 +45 23 36.469324104|101.2900146371772 -12.2240735260972| -5.111 -12.941    |8.28     |K2                  |    ~     ~    |    1|  474.091   pc  |  -7.0351     +7.0351  |paral   |2020yCat.1350....0G
14  |HD 215941                                                                                                |Star                                |22 48 08.8760217240 +45 08 10.299295680|101.2052189960595 -12.4712826280736|-17.004 -18.945    |10.00    |G0                  |    ~     ~    |    1|  374.855   pc  |  -1.9391     +1.9391  |paral   |2020yCat.1350....0G
15  |BD+44 4237                                                                                               |Star                                |22 48 15.7767942912 +45 22 46.748278920|101.3398548581714 -12.2654032147426|   2.652 -8.659    |10.11    |K2                  |    ~     ~    |    1|  555.001   pc  |  -3.8811     +3.8811  |paral   |2020yCat.1350....0G
16  |HD 215566                                                                                                |Variable Star                       |22 45 24.4810848936 +44 45 08.754058656|100.5818530551809 -12.5809030698191|  11.274 -7.718    |6.99     |B9                  |    ~     ~    |    1|  301.960   pc  |  -3.7110     +3.7110  |paral   |2020yCat.1350....0G
17  |HD 215576                                                                                                |Star                                |22 45 33.5468719032 +44 21 22.312746972|100.4124703365988 -12.9420611894724|  2.265 -17.661    |9.216    |G7III/IV            |    ~     ~    |    1|  420.875   pc  |  -2.3559     +2.3559  |paral   |2020yCat.1350....0G
18  |HD 215664                                                                                                |delta Sct Variable                  |22 46 10.2221219664 +44 32 45.797281332|100.6035324302678 -12.8269279796889| 142.689 32.352    |5.840    |F0III-IV            |    ~     ~    |    1|   55.993   pc  |  -0.0984     +0.0984  |paral   |2020yCat.1350....0G
19  |BD+43 4303                                                                                               |Star                                |22 46 32.0291413968 +44 17 32.790599700|100.5388014354468 -13.0809981584850|  7.424 -11.471    |9.87     |G8III               |    ~     ~    |    1|  572.050   pc  |  -4.5159     +4.5159  |paral   |2020yCat.1350....0G
20  |HD 215857                                                                                                |High Proper Motion Star             |22 47 31.6530717000 +44 33 11.132152920|100.8255826922919 -12.9349057479555|-57.673 -75.807    |9.59     |F8                  |    ~     ~    |    1|  106.223   pc  |  -0.1535     +0.1535  |paral   |2020yCat.1350....0G
21  |HD 216016                                                                                                |Star                                |22 48 38.8484530776 +44 41 13.931550564|101.0706686707898 -12.9096717169390|  -1.956 -4.991    |9.58     |K0                  |    ~     ~    |    1|  766.812   pc  |  -7.6440     +7.6440  |paral   |2020yCat.1350....0G
22  |HD 215508                                                                                                |Star                                |22 45 00.2632353024 +43 49 53.141551536|100.0650012965542 -13.3553613311798|  -7.797 -2.709    |10.32    |A2                  |    ~     ~    |    1|  753.636   pc  |  -9.2579     +9.2579  |paral   |2020yCat.1350....0G
