C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:52:28

dec >=0&rah >=23.0&rah< 23.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5341

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+44 4298                                                                                               |Star                                |23 00 04.1903752224 +45 03 53.063882928|103.1031671386438 -13.4763286265232| 17.570 -21.105  |10.70    |K0                  |    ~     ~    |    1|  779.423   pc  |  -8.0190     +8.0190  |paral   |2020yCat.1350....0G
2   |HD 217491                                                                                                |Star                                |23 00 34.3932651480 +45 22 29.301315672|103.3214424576729 -13.2336425293133|   3.443 -5.026  |6.490    |A3V                 |    ~     ~    |    1|  560.695   pc  |  -6.5705     +6.5705  |paral   |2020yCat.1350....0G
3   |BD+44 4309                                                                                               |Star                                |23 02 06.5445334224 +44 51 14.579953236|103.3473965088404 -13.8201298809593|    1.475 0.636  |8.88     |F0                  |    ~     ~    |    1|  186.525   pc  |  -0.6054     +0.6054  |paral   |2020yCat.1350....0G
4   |BD+43 4369                                                                                               |Star                                |23 00 39.5855780832 +44 33 17.430062616|102.9765232999177 -13.9821034976912| -4.504 -11.297  |9.66     |A2                  |    ~     ~    |    1|  364.219   pc  |  -2.3215     +2.3215  |paral   |2020yCat.1350....0G
5   |HD 217586                                                                                                |Double or Multiple Star             |23 01 16.3679127792 +44 29 48.146428932|103.0529737766780 -14.0811851679638|  -0.570 -4.880  |9.24     |A3                  |    ~     ~    |    1|  864.080   pc  | -53.1604    +53.1604  |paral   |2020yCat.1350....0G
6   |BD+43 4373                                                                                               |High Proper Motion Star             |23 01 46.8729330768 +44 26 56.785129836|103.1169169378608 -14.1627132178270| 38.759 -44.605  |9.48     |F8                  |    ~     ~    |    1|  128.571   pc  |  -0.2447     +0.2447  |paral   |2020yCat.1350....0G
7   |HD 217731                                                                                                |Star                                |23 02 11.3247325080 +44 34 22.292619384|103.2386709176712 -14.0811557829811| 10.261 -17.689  |6.43     |K0                  |    ~     ~    |    1|  122.459   pc  |  -0.4424     +0.4424  |paral   |2020yCat.1350....0G
8   |HD 217798                                                                                                |High Proper Motion Star             |23 02 42.0021971304 +44 34 57.319562100|103.3280733909835 -14.1105784541217|  50.915 25.345  |8.78     |F0                  |    ~     ~    |    1|  187.540   pc  |  -0.5170     +0.5170  |paral   |2020yCat.1350....0G
9   |HD 217587                                                                                                |Spectroscopic Binary                |23 01 15.3981494160 +44 11 55.106412216|102.9197339343942 -14.3498296327244| -10.250 -1.391  |7.34     |A3                  |    ~     ~    |    0|                |                       |        |                   
10  |HD 217674                                                                                                |Star                                |23 01 52.1403882816 +44 07 39.919258596|102.9914128628155 -14.4605805770551|   5.835 -6.002  |8.37     |G0                  |    ~     ~    |    1|  213.579   pc  |  -1.4552     +1.4552  |paral   |2020yCat.1350....0G
11  |BD+43 4379                                                                                               |Star                                |23 02 54.4632633600 +44 12 44.104389840|103.2026277926344 -14.4623566184339|   11.484 9.498  |9.66     |F0                  |    ~     ~    |    1|  277.093   pc  |  -1.0903     +1.0903  |paral   |2020yCat.1350....0G
12  |TYC 3228-98-1                                                                                            |Star                                |23 01 54.2196208128 +44 38 32.575436448|103.2214420527947 -13.9967243608168|    2.046 7.437  |10.61    |~                   |    ~     ~    |    1|  301.423   pc  |  -5.1424     +5.1424  |paral   |2020yCat.1350....0G
13  |TYC 3228-646-1                                                                                           |Star                                |23 00 07.7502582240 +44 49 52.275762804|103.0102102011391 -13.6919499716706|   5.877 -3.649  |10.62    |~                   |    ~     ~    |    1|  751.484   pc  | -12.5934    +12.5934  |paral   |2020yCat.1350....0G
14  |IRAS 22581+4440                                                                                          |Star                                |23 00 27.1665841752 +44 56 40.780096728|103.1134055059246 -13.6138117564489|  -9.510 -5.105  |9.17     |~                   |    ~     ~    |    1|  986.485   pc  | -18.2953    +18.2953  |paral   |2020yCat.1350....0G
15  |TYC 3228-991-1                                                                                           |Star                                |23 01 13.1492616696 +44 47 51.927508428|103.1756247691100 -13.8045039831648|   -3.235 4.770  |10.29    |~                   |    ~     ~    |    1| 1017.294   pc  | -18.5245    +18.5245  |paral   |2020yCat.1350....0G
16  |TYC 3228-1156-1                                                                                          |Star                                |23 01 02.6179547208 +44 49 19.557901956|103.1572305253850 -13.7692545349490|   -2.067 1.110  |10.30    |~                   |    ~     ~    |    1| 1662.510   pc  | -34.5493    +34.5493  |paral   |2020yCat.1350....0G
17  |TYC 3228-1791-1                                                                                          |Star                                |23 00 01.0220200344 +44 18 31.511673828|102.7611213161390 -14.1555061494029|   5.668 -7.118  |10.57    |~                   |    ~     ~    |    1|  675.813   pc  |  -5.7547     +5.7547  |paral   |2020yCat.1350....0G
18  |TYC 3622-291-1                                                                                           |Star                                |23 00 16.6938151032 +45 45 12.845546208|103.4388844520014 -12.8688995540205|  -0.523 -5.129  |10.91    |~                   |    ~     ~    |    1|  474.518   pc  | -21.5260    +21.5260  |paral   |2020yCat.1350....0G
