C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:20:27

Vmag< 11&dec >=0&rah >=23.25&rah< 23.5
--------------------------------------

Number of objects : 4862

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |     spec. type      |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|---------------------|---------------
1   |HD 219624                                                             |Star                           |23 16 45.8316566040 +46 49 08.829173784|106.5547809402760 -13.0200073187477|  -6.369 -4.245  |8.53     |B9                   |    ~     ~    
2   |BD+46 3995                                                            |Star                           |23 17 06.8102546304 +47 15 26.274255300|106.7760263762177 -12.6339853755483|  -4.022 -1.933  |9.96     |K0                   |    ~     ~    
3   |BD+46 3996                                                            |Star                           |23 17 07.7547152784 +46 50 01.242575016|106.6199491582106 -13.0293365312657|  27.149 11.610  |9.06     |F8                   |    ~     ~    
4   |HD 219397                                                             |Star                           |23 15 01.2205124304 +46 31 27.448040496|106.1574865816615 -13.1832425751038| -6.297 -18.268  |7.20     |A0                   |    ~     ~    
5   |BD+45 4182                                                            |Star                           |23 15 30.0019600104 +46 34 33.561849468|106.2558699700900 -13.1659782681981|  -13.654 7.598  |9.22     |K0                   |    ~     ~    
6   |BD+45 4183                                                            |Star                           |23 15 49.9377579432 +46 36 35.200710360|106.3231798846697 -13.1557727255492|  -0.720 -3.503  |9.55     |A0                   |    ~     ~    
7   |HD 219813B                                                            |Star                           |23 18 23.326 +47 15 41.45              |106.984275 -12.708513              |       3.0 -5.5  |10.45    |A0                   |    ~     ~    
8   |BD+46 4010                                                            |Star                           |23 20 24.2755059288 +46 55 19.729172820|107.1888324093826 -13.1479913297265|  -1.208 -4.106  |9.47     |A0                   |    ~     ~    
9   |BD+46 4013                                                            |Star                           |23 20 42.9375447024 +47 03 22.718167128|107.2883977225064 -13.0411788930395| -2.538 -41.466  |10.05    |K2                   |    ~     ~    
10  |HD 220210                                                             |Star                           |23 21 38.7057975072 +47 21 04.060966536|107.5460954404716 -12.8203688498455|   1.353 -2.817  |8.41     |B9                   |    ~     ~    
11  |BD+46 4021                                                            |Star                           |23 22 24.0550313784 +46 48 14.412644676|107.4747575344986 -13.3781103217670|  44.099 -4.513  |9.41     |F2                   |    ~     ~    
12  |BD+46 4023                                                            |Star                           |23 22 35.2620059328 +47 14 13.631731044|107.6593048633858 -12.9827416423749|   -1.682 2.040  |9.78     |G5                   |    ~     ~    
13  |BD+46 4028                                                            |Star                           |23 23 31.5450492504 +46 53 08.646991980|107.6892964368754 -13.3676301321132| 22.535 -34.052  |9.30     |G0                   |    ~     ~    
14  |HD 219814                                                             |Star                           |23 18 24.3246240864 +46 47 35.103317964|106.8136790063849 -13.1464492859688|  -0.895 -3.158  |8.96     |B9                   |    ~     ~    
15  |HD 219842                                                             |Star                           |23 18 33.2683374720 +46 45 18.431135316|106.8240647932818 -13.1910634285094|   2.335 -1.310  |8.72     |B9                   |    ~     ~    
16  |BD+45 4191                                                            |High Proper Motion Star        |23 18 33.6461734344 +46 41 55.272976620|106.8042047261634 -13.2440919714452|  65.318 -9.974  |9.02     |G                    |    ~     ~    
17  |BD+45 4194                                                            |Star                           |23 19 12.0314270304 +46 23 52.282251024|106.7985337451873 -13.5643541330829|  -6.872 26.470  |9.24     |F8                   |    ~     ~    
18  |BD+45 4204                                                            |Star                           |23 22 25.4696778216 +46 32 00.673045368|107.3822241014740 -13.6332223022226|  -0.793 -3.869  |9.57     |A0                   |    ~     ~    
19  |HD 220474                                                             |Star                           |23 23 39.8862140448 +46 22 05.650052844|107.5300259498984 -13.8620122743180|   4.047 -2.631  |7.78     |K2                   |    ~     ~    
20  |BD+45 4209                                                            |Star                           |23 23 55.3821378888 +46 23 32.297299620|107.5816161420002 -13.8546321729496|-17.971 -21.294  |9.62     |F2                   |    ~     ~    
21  |V* EU And                                                             |Carbon Star                    |23 19 58.8818386848 +47 14 34.575341784|107.2362569005934 -12.8224732319397|   1.839 -3.198  |10.38    |C-J5-                |    ~     ~    
22  |TYC 3636-560-1                                                        |Star                           |23 16 21.6629932608 +45 46 34.698227988|106.0934276823281 -13.9639597572177|   24.582 4.806  |10.67    |F0                   |    ~     ~    
23  |HD 219668                                                             |High Proper Motion Star        |23 17 16.6735839312 +45 09 51.000175260|106.0148803629476 -14.5922555666702|100.830 -62.171  |6.455    |K0IV                 |    ~     ~    
24  |BD+45 4195                                                            |Star                           |23 19 21.1804809504 +46 09 27.863965188|106.7352546813661 -13.7979558393891| -22.388 -8.687  |9.31     |F5                   |    ~     ~    
25  |BD+45 4197                                                            |Star                           |23 20 13.1048679984 +45 56 44.271531276|106.8017434897690 -14.0496905365864|  -6.946 -5.210  |9.48     |A2                   |    ~     ~    
26  |BD+45 4198                                                            |Spectroscopic Binary           |23 20 37.0060895208 +46 09 44.093163132|106.9475056330100 -13.8716749519647|-18.343 -26.811  |9.70     |K0                   |    ~     ~    
27  |BD+45 4200                                                            |Star                           |23 21 12.7566126312 +45 52 50.023277868|106.9447740642107 -14.1717400546839|   5.278 -3.641  |9.33     |G5                   |    ~     ~    
28  |HD 220551                                                             |Star                           |23 24 13.4600290560 +45 58 54.408379656|107.4876968912735 -14.2583021023826|   1.547 -2.108  |8.73     |A0                   |    ~     ~    
29  |BD+44 4374                                                            |Pulsating Variable             |23 18 37.3234164912 +45 25 31.484096004|106.3406619134988 -14.4352145543701|   1.560 -1.794  |9.10     |B8                   |    ~     ~    
30  |BD+44 4375                                                            |Star                           |23 18 46.1729137248 +45 43 42.403980792|106.4785737388725 -14.1620190146828|   3.910 -4.890  |9.90     |A5                   |    ~     ~    
31  |HD 219891                                                             |delta Sct Variable             |23 19 02.4129346656 +45 08 12.297468732|106.3036817719705 -14.7309442920129|  57.017 -8.954  |6.510    |A5Vn                 |    ~     ~    
32  |BD+44 4381                                                            |Long-Period Variable           |23 19 45.4076319624 +44 49 29.701389972|106.3098540042611 -15.0674866079991|    6.939 3.894  |10.63    |~                    |    ~     ~    
33  |BD+44 4388                                                            |Spectroscopic Binary           |23 21 32.6251119096 +45 34 26.626575072|106.8893414646233 -14.4789805656668|  -1.231 -5.469  |10.73    |G5                   |    ~     ~    
34  |BD+44 4390                                                            |Spectroscopic Binary           |23 21 47.9603238096 +45 18 39.579678720|106.8372723078358 -14.7410420721637|   4.224 -2.937  |9.42     |K2                   |    ~     ~    
35  |BD+44 4391                                                            |Star                           |23 22 06.6171182160 +45 14 17.687231160|106.8639058243308 -14.8283440388601|  6.050 -10.880  |9.41     |F5                   |    ~     ~    
36  |BD+44 4392                                                            |High Proper Motion Star        |23 22 17.0969449920 +45 18 48.678586992|106.9208910615886 -14.7685519525047|126.933 -48.370  |9.46     |G0                   |    ~     ~    
37  |HD 220395                                                             |Star                           |23 23 05.0448051576 +45 00 35.920251000|106.9482976552417 -15.1021406547893| -16.927 -2.745  |8.32     |A0                   |    ~     ~    
38  |BD+44 4397                                                            |Star                           |23 23 12.2018152296 +45 00 12.793810644|106.9664791182385 -15.1154710040357| -16.730 -2.759  |9.41     |F2                   |    ~     ~    
39  |BD+44 4403                                                            |Star                           |23 24 15.6722814288 +45 28 46.803201672|107.3169048242289 -14.7324499647209|  -6.039 -6.869  |9.76     |A2                   |    ~     ~    
40  |BD+44 4404                                                            |Star                           |23 24 27.0378924408 +45 46 02.807070384|107.4505178697190 -14.4732281897733|  1.905 -17.870  |9.28     |A5                   |    ~     ~    
41  |BD+44 4406                                                            |Star                           |23 24 45.1002230520 +45 28 08.276527452|107.3967246324253 -14.7718120527486|   3.772 -3.458  |9.44     |G5                   |    ~     ~    
42  |BD+44 4407                                                            |Star                           |23 24 44.5287432768 +45 03 07.704985392|107.2482999509298 -15.1632018081476|   0.939 -1.461  |9.64     |A2                   |    ~     ~    
43  |BD+44 4410                                                            |Star                           |23 25 10.1724171960 +45 15 12.586816152|107.3925249804841 -14.9994048249880| -21.090 -0.934  |9.03     |K2                   |    ~     ~    
44  |HD 220693                                                             |Pulsating Variable             |23 25 32.8837793832 +44 57 08.381823840|107.3521141722074 -15.3054147887793|  34.199 11.975  |8.85     |A0                   |    ~     ~    
45  |V* EV And                                                             |Carbon Star                    |23 23 14.1984143856 +45 24 58.985613828|107.1199294972157 -14.7301420020884|  -4.213 -4.460  |10.52    |C5,5                 |    ~     ~    
46  |IRAS 23189+4433                                                       |Star                           |23 21 21.6890805144 +44 49 27.679756224|106.5850707475494 -15.1693233594056| -1.449 -10.158  |9.73     |~                    |    ~     ~    
47  |V* ET And                                                             |alpha2 CVn Variable            |23 17 56.0115388728 +45 29 20.119357248|106.2483473665264 -14.3321813336464| 24.492 -11.022  |6.479    |A0VpSiSr             |    ~     ~    
48  |BD+44 4360                                                            |Star                           |23 15 03.8942731896 +45 03 46.149198624|105.6014437916523 -14.5413814590912|-18.554 -15.179  |9.41     |F2                   |    ~     ~    
49  |BD+44 4362                                                            |Pulsating Variable             |23 15 45.2912742768 +45 08 03.798868668|105.7457488817827 -14.5205514993234|   2.020 -2.054  |9.14     |A0                   |    ~     ~    
50  |BD+44 4363                                                            |Pulsating Variable             |23 16 05.9625091176 +44 56 06.125279964|105.7274227133312 -14.7282343826150|  -0.553 -3.619  |9.59     |A0                   |    ~     ~    
51  |BD+43 4430                                                            |Star                           |23 17 01.9055757264 +44 45 46.686382308|105.8203054441313 -14.9492671067236|  7.464 -14.498  |10.47    |K0                   |    ~     ~    
52  |BD+43 4434                                                            |Star                           |23 18 18.8727978240 +44 34 22.152477144|105.9678570031779 -15.2098003827185|    7.937 0.098  |9.70     |A2                   |    ~     ~    
53  |HD 220104                                                             |Star                           |23 20 42.1745755680 +44 34 50.375948376|106.3820890367278 -15.3556980587944| -13.727 -6.789  |7.58     |K2                   |    ~     ~    
54  |BD+43 4446                                                            |Star                           |23 22 18.3104538792 +44 44 45.481639452|106.7189825985073 -15.3015695729523|-21.998 -11.945  |9.84     |A2                   |    ~     ~    
55  |TYC 3229-29-1                                                         |Star                           |23 19 23.4015039408 +44 57 02.164044636|106.2938742028278 -14.9268508250432|-13.200 -19.913  |10.62    |~                    |    ~     ~    
56  |TYC 3229-143-1                                                        |High Proper Motion Star        |23 18 48.1651254672 +44 58 15.265213896|106.2012143178705 -14.8704007920890| 59.739 -51.891  |9.94     |K0V                  |    ~     ~    
57  |TYC 3229-308-1                                                        |Star                           |23 17 04.6541941248 +44 54 02.435161932|105.8806423916666 -14.8242503204834|  29.164 -4.990  |10.34    |~                    |    ~     ~    
58  |TYC 3229-602-1                                                        |Star                           |23 18 39.2313082512 +44 53 29.039013888|106.1459761221346 -14.9349488168517| -4.970 -14.493  |10.38    |~                    |    ~     ~    
59  |TYC 3229-1273-1                                                       |Star                           |23 17 02.8315459848 +44 29 58.206243084|105.7222668738872 -15.1951545233250|  -2.130 -0.330  |10.17    |~                    |    ~     ~    
60  |GSC 03229-01711                                                       |Double or Multiple Star        |23 15 10.1358039648 +44 36 26.684086536|105.4422743873995 -14.9703854193403|  -0.153 -3.421  |10.815   |~                    |    ~     ~    
61  |TYC 3229-1817-1                                                       |Star                           |23 16 21.1517988384 +44 52 43.964202576|105.7488893151188 -14.7970226093158|  16.522 10.421  |9.97     |~                    |    ~     ~    
62  |TYC 3229-1820-1                                                       |High Proper Motion Star        |23 17 17.8210966128 +44 39 01.345156560|105.8227205838141 -15.0713059214995|  67.873 27.652  |10.94    |~                    |    ~     ~    
63  |TYC 3229-1883-1                                                       |Star                           |23 16 40.3257437952 +44 38 49.692456348|105.7145170760538 -15.0332829510839|   6.019 -6.991  |10.55    |~                    |    ~     ~    
64  |TYC 3242-27-1                                                         |Star                           |23 20 13.8913711320 +44 59 03.976359396|106.4502359402005 -14.9486275442286|   40.088 9.355  |9.98     |~                    |    ~     ~    
65  |TYC 3242-49-1                                                         |Star                           |23 24 45.5349887760 +44 56 40.943638608|107.2132675220726 -15.2652216160155|   16.859 3.805  |10.33    |~                    |    ~     ~    
66  |TYC 3242-125-1                                                        |Star                           |23 20 39.9624133872 +44 59 20.784014628|106.5262668736700 -14.9716321130106|  -5.467 -7.862  |9.93     |~                    |    ~     ~    
67  |TYC 3242-279-1                                                        |Spectroscopic Binary           |23 21 06.5408308800 +44 42 55.491553224|106.5017033451819 -15.2553728073361|  -6.064 -5.081  |10.56    |~                    |    ~     ~    
68  |TYC 3242-331-1                                                        |Star                           |23 25 12.0650773800 +44 47 21.123567456|107.2348509172635 -15.4380999590223|  -5.836 -3.858  |10.70    |~                    |    ~     ~    
69  |TYC 3242-485-1                                                        |Star                           |23 20 00.6329012736 +44 55 43.718350296|106.3918623846673 -14.9866071513237|   8.937 -3.207  |10.93    |~                    |    ~     ~    
70  |TYC 3242-677-1                                                        |Star                           |23 23 25.8971678904 +44 52 33.914463528|106.9600635915802 -15.2490409654794|  10.730 -0.191  |10.41    |~                    |    ~     ~    
71  |TYC 3242-703-1                                                        |Star                           |23 23 26.3836380936 +44 38 59.082032940|106.8803098450323 -15.4619219229545|  -4.097 -9.049  |10.37    |~                    |    ~     ~    
72  |TYC 3242-839-1                                                        |Star                           |23 24 28.1636643576 +44 46 14.121458004|107.1016360083842 -15.4113710199828|   10.111 0.796  |9.53     |~                    |    ~     ~    
73  |TYC 3242-1216-1                                                       |Star                           |23 24 41.2322225064 +44 50 36.549035520|107.1651164219485 -15.3560514945672|-19.499 -21.073  |10.42    |~                    |    ~     ~    
74  |TYC 3242-1259-1                                                       |Star                           |23 24 04.5738752208 +44 50 45.621919572|107.0604926292571 -15.3166260636882|   9.345 -1.365  |10.04    |~                    |    ~     ~    
75  |TYC 3636-52-1                                                         |Spectroscopic Binary           |23 22 55.7723326560 +45 28 21.496628316|107.0878029086060 -14.6587263311535|   2.271 -3.986  |10.29    |~                    |    ~     ~    
76  |TYC 3636-185-1                                                        |High Proper Motion Star        |23 20 05.0583770640 +45 23 58.110513252|106.5783711740677 -14.5516711199756|-64.597 -65.541  |9.59     |~                    |    ~     ~    
77  |TYC 3636-212-1                                                        |Star                           |23 22 34.4131289784 +45 27 14.910404364|107.0206599018923 -14.6544025883582|  -1.015 -2.710  |9.95     |~                    |    ~     ~    
78  |TYC 3636-230-1                                                        |Star                           |23 23 46.0740455040 +45 22 34.942760184|107.1962149686148 -14.7998367376560|   18.204 1.667  |10.20    |~                    |    ~     ~    
79  |TYC 3636-259-1                                                        |Star                           |23 23 26.3902934280 +45 06 37.221907500|107.0452938664099 -15.0297068948312| -19.906 -5.871  |10.76    |~                    |    ~     ~    
80  |TYC 3636-265-1                                                        |Star                           |23 25 29.7286694088 +45 17 12.912515664|107.4600942589926 -14.9873360106775|  -8.348 -6.798  |10.87    |~                    |    ~     ~    
81  |TYC 3636-358-1                                                        |Star                           |23 23 04.2135018960 +45 07 14.599917768|106.9856665100923 -14.9974123567993|  -8.282 -4.029  |10.24    |~                    |    ~     ~    
82  |TYC 3636-398-1                                                        |Pulsating Variable             |23 19 24.2498631312 +45 35 58.132397040|106.5373863383637 -14.3222565936211| 11.193 -13.730  |10.53    |~                    |    ~     ~    
83  |TYC 3636-666-1                                                        |Star                           |23 18 57.2175290568 +45 37 41.037965004|106.4721411613670 -14.2672376773264| 10.362 -11.012  |9.59     |~                    |    ~     ~    
84  |TYC 3636-707-1                                                        |Star                           |23 16 29.2619430120 +45 41 48.272434620|106.0842954487301 -14.0460577332903|  -9.131 -3.575  |10.57    |~                    |    ~     ~    
85  |TYC 3636-743-1                                                        |Star                           |23 17 35.2038412968 +45 40 49.510515000|106.2621636556654 -14.1317478521033|   7.252 -8.913  |10.07    |~                    |    ~     ~    
86  |TYC 3636-799-1                                                        |Star                           |23 17 03.0070638072 +45 25 01.271284932|106.0723725981075 -14.3423746431718|   35.965 6.429  |10.53    |~                    |    ~     ~    
87  |TYC 3636-817-1                                                        |Star                           |23 17 09.3566803200 +45 21 38.116083420|106.0687971595358 -14.4016857225769|   0.521 -6.405  |10.18    |~                    |    ~     ~    
88  |TYC 3636-832-1                                                        |High Proper Motion Star        |23 17 50.6642276160 +45 42 39.824987436|106.3168920899122 -14.1196377906495|-77.628 -69.638  |10.59    |~                    |    ~     ~    
89  |TYC 3636-874-1                                                        |Star                           |23 17 25.9615653480 +45 12 38.105495568|106.0586976682080 -14.5590859042028| -4.079 -10.180  |10.23    |~                    |    ~     ~    
90  |TYC 3636-955-1                                                        |Star                           |23 15 12.8799116616 +45 51 03.839511384|105.9310092528041 -13.8203195044216| -9.816 -10.265  |10.96    |~                    |    ~     ~    
91  |TYC 3636-961-1                                                        |Star                           |23 18 01.2978756888 +45 54 06.234149736|106.4180814729584 -13.9532896166317|  -9.611 -6.157  |9.87     |~                    |    ~     ~    
92  |TYC 3636-1040-1                                                       |Pulsating Variable             |23 15 21.2227648632 +45 28 26.210316648|105.8090155432223 -14.1792034628146|  11.025 -2.130  |10.56    |~                    |    ~     ~    
93  |TYC 3636-1052-1                                                       |Star                           |23 18 56.8341734784 +45 52 44.429092788|106.5643445985318 -14.0327601341512|   2.516 11.214  |9.79     |~                    |    ~     ~    
94  |TYC 3636-1257-1                                                       |Star                           |23 15 17.7350769216 +45 11 24.886200840|105.6897376762743 -14.4384958747970|  17.853 -2.731  |10.38    |~                    |    ~     ~    
95  |TYC 3636-1276-1                                                       |Star                           |23 18 38.0424206592 +45 18 36.101662920|106.2995282847564 -14.5435281858277|  -7.174 -6.188  |10.28    |~                    |    ~     ~    
96  |TYC 3636-1337-1                                                       |Star                           |23 15 25.9850070600 +45 11 49.223087700|105.7155474577754 -14.4412879708198|  17.833 -2.896  |10.11    |~                    |    ~     ~    
97  |TYC 3636-1730-1                                                       |Star                           |23 16 52.5833670936 +45 04 16.564063224|105.9114786647944 -14.6525602057636|  -0.141 -3.307  |10.14    |~                    |    ~     ~    
