C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:56:16

dec >=0&rah >=23.5&rah< 23.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 4977

 #  |                                                                 identifier                                                                 |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type       |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+46 4059                                                                                                                                  |Spectroscopic Binary               |23 30 17.0718082920 +47 15 15.029769060|108.9309684146973 -13.3994147214892|    8.940 1.593   |9.98     |A2                     |    ~     ~    |    1|  344.056   pc  |  -1.9177     +1.9177  |paral   |2020yCat.1350....0G
2   |BD+46 4060                                                                                                                                  |Star                               |23 30 20.1118434216 +46 55 40.019053476|108.8328332267365 -13.7116720069915|-16.349 -10.708   |9.37     |F0                     |    ~     ~    |    1|  370.206   pc  |  -9.0455     +9.0455  |paral   |2020yCat.1350....0G
3   |BD+46 4063                                                                                                                                  |Star                               |23 30 42.1106393328 +47 01 42.615124824|108.9267138238095 -13.6359436676095|  20.971 -2.839   |9.09     |K0                     |    ~     ~    |    1|  489.021   pc  | -13.4159    +13.4159  |paral   |2020yCat.1350....0G
4   |BD+46 4064                                                                                                                                  |Star                               |23 30 43.7538175464 +46 53 42.332688996|108.8878815191917 -13.7639951253443|  -0.699 -3.848   |9.33     |A0                     |    ~     ~    |    1|  553.495   pc  | -26.6837    +26.6837  |paral   |2020yCat.1350....0G
5   |BD+46 4066                                                                                                                                  |Star                               |23 31 02.9374912152 +47 33 51.197731236|109.1576065318564 -13.1460404948788|  -9.035 -4.776   |10.78    |K7III                  |    ~     ~    |    1| 1092.777   pc  | -16.0018    +16.0018  |paral   |2020yCat.1350....0G
6   |BD+46 4068                                                                                                                                  |Star                               |23 31 24.7266926976 +47 25 01.257032388|109.1700475339197 -13.3050570352305|  12.001 -5.275   |9.98     |A5                     |    ~     ~    |    1|  589.067   pc  |  -6.4195     +6.4195  |paral   |2020yCat.1350....0G
7   |BD+46 4069                                                                                                                                  |Star                               |23 31 27.1702086312 +47 01 31.327344660|109.0507145241471 -13.6791828786997|  6.745 -16.176   |8.74     |K2                     |    ~     ~    |    1|  340.101   pc  |  -2.1977     +2.1977  |paral   |2020yCat.1350....0G
8   |BD+46 4070                                                                                                                                  |Double or Multiple Star            |23 31 53.0579310792 +47 32 51.938650860|109.2898200623759 -13.2057217313818|   2.792 -1.678   |9.78     |A2                     |0.0017  0.0    |    0|                |                       |        |                   
9   |HD 221573                                                                                                                                   |Star                               |23 32 53.5383027912 +47 00 44.211279420|109.2865930792061 -13.7678211586501|-27.731 -24.099   |7.84     |G5                     |    ~     ~    |    1|   53.744   pc  |  -0.0529     +0.0529  |paral   |2020yCat.1350....0G
10  |BD+46 4078                                                                                                                                  |Star                               |23 34 10.5493508496 +47 26 02.458875516|109.6325670817698 -13.4327518989627|  -0.684 -2.404   |10.59    |G8III                  |    ~     ~    |    1|  860.882   pc  | -10.5239    +10.5239  |paral   |2020yCat.1350....0G
