C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:58:05

dec >=0&rah >=23.75&rah< 24.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5410

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |V* KS And                                                                                                |Long-Period Variable                  |23 45 05.2477548192 +46 55 30.626619816|111.3169093404858 -14.4447347514844|-21.865 -20.018  |8.22     |M0               |    ~     ~    |    1|  458.863   pc  |  -4.3164     +4.3164  |paral   |2020yCat.1350....0G
2   |BD+46 4156                                                                                               |High Proper Motion Star               |23 45 16.3942423200 +47 36 25.310391588|111.5322326263936 -13.7948752973144| 90.986 -24.446  |10.47    |G5               |    ~     ~    |    1|  118.481   pc  |  -0.1558     +0.1558  |paral   |2020yCat.1350....0G
3   |BD+46 4158                                                                                               |Star                                  |23 45 55.1039156328 +47 03 09.613878804|111.4924698232796 -14.3585931417186|   0.680 -2.227  |10.64    |K0III            |    ~     ~    |    1|  792.707   pc  |  -8.9231     +8.9231  |paral   |2020yCat.1350....0G
4   |BD+46 4159                                                                                               |Star                                  |23 45 59.3818735824 +47 16 07.519254564|111.5622523270383 -14.1530080195059|  -0.476 -3.616  |9.830    |A2               |    ~     ~    |    1|  623.908   pc  |  -7.3570     +7.3570  |paral   |2020yCat.1350....0G
5   |BD+46 4162                                                                                               |Star                                  |23 46 21.2574272784 +47 29 28.591764252|111.6828506124653 -13.9539147549311|  -1.351 -0.054  |10.20    |K5III            |    ~     ~    |    1| 1161.575   pc  | -17.2705    +17.2705  |paral   |2020yCat.1350....0G
6   |BD+46 4164                                                                                               |Star                                  |23 46 39.2187290592 +47 30 50.260149792|111.7391962261551 -13.9449481347366|   1.518 -6.147  |9.66     |K0               |    ~     ~    |    1|  671.186   pc  |  -5.2257     +5.2257  |paral   |2020yCat.1350....0G
7   |BD+46 4165                                                                                               |Spectroscopic Binary                  |23 47 03.8031412992 +47 28 45.908617008|111.7990788017546 -13.9959976170962|  -6.816 -4.051  |10.13    |K7III            |    ~     ~    |    1| 1067.464   pc  | -21.9919    +21.9919  |paral   |2020yCat.1350....0G
8   |BD+46 4166                                                                                               |Star                                  |23 47 19.1345823336 +47 20 04.903082412|111.8043149908616 -14.1469556245016|  -4.767 -9.220  |10.04    |K7III            |    ~     ~    |    1|  923.446   pc  | -10.5741    +10.5741  |paral   |2020yCat.1350....0G
9   |BD+46 4168                                                                                               |Star                                  |23 47 34.1285083008 +46 56 08.832476256|111.7425043015470 -14.5436269900030|  -3.535 -2.069  |10.30    |~                |    ~     ~    |    1| 1766.784   pc  | -47.1351    +47.1351  |paral   |2020yCat.1350....0G
10  |HD 223229                                                                                                |Variable Star                         |23 47 33.0491881873 +46 49 57.221688449|111.7124425860183 -14.6427156120113|   0.708 -5.845  |6.13     |B3IV             |    ~     ~    |    1|  507.666   pc  | -19.6128    +19.6128  |paral   |2020yCat.1350....0G
11  |* psi And                                                                                                |Double or Multiple Star               |23 46 02.0470343064 +46 25 12.986458896|111.3428168535947 -14.9745139207107|   8.446 -7.143  |4.966    |G3Ib-II          |    ~     ~    |    1|  611.546   pc  | -60.8479    +60.8479  |paral   |2020yCat.1350....0G
12  |BD+45 4322                                                                                               |Star                                  |23 46 10.6130548896 +46 22 28.870828716|111.3552006851593 -15.0249226610913| 23.877 -29.192  |9.33     |K0               |    ~     ~    |    1|  306.993   pc  |  -1.1592     +1.1592  |paral   |2020yCat.1350....0G
13  |BD+45 4323A                                                                                              |Star                                  |23 46 46.8430243848 +46 39 59.350572720|111.5368277817550 -14.7697192525234|   0.762 -5.880  |9.78     |B8               |    ~     ~    |    1|  429.775   pc  |  -4.1744     +4.1744  |paral   |2020yCat.1350....0G
14  |BD+45 4323B                                                                                              |Star                                  |23 46 47.1937632696 +46 39 42.936253704|111.5366221711446 -14.7743835507375|   0.545 -5.238  |10.07    |~                |    ~     ~    |    1|  437.025   pc  |  -3.6670     +3.6670  |paral   |2020yCat.1350....0G
15  |HD 223153                                                                                                |Star                                  |23 46 56.5374599568 +46 13 04.813909968|111.4457399116169 -15.2103657475782|   15.941 5.555  |7.88     |K0               |    ~     ~    |    1|  473.395   pc  |  -4.4372     +4.4372  |paral   |2020yCat.1350....0G
16  |HD 223230                                                                                                |Star                                  |23 47 35.5231464360 +46 01 05.025265032|111.5057620116751 -15.4324108258051|   3.730 -3.229  |7.99     |K2               |    ~     ~    |    1|  439.155   pc  |  -5.7086     +5.7086  |paral   |2020yCat.1350....0G
17  |BD+45 4330                                                                                               |Star                                  |23 48 09.4464378816 +45 53 14.576020800|111.5701354301390 -15.5836952763812| -16.498 -9.238  |8.59     |K0               |    ~     ~    |    1|  398.819   pc  |  -8.9390     +8.9390  |paral   |2020yCat.1350....0G
18  |BD+44 4486                                                                                               |High Proper Motion Star               |23 46 30.5261920560 +45 39 39.416548608|111.2214538346770 -15.7292737581237|-65.879 -68.384  |9.85     |F8               |    ~     ~    |    1|  140.182   pc  |  -0.3419     +0.3419  |paral   |2020yCat.1350....0G
19  |BD+44 4492                                                                                               |Star                                  |23 47 28.7847511536 +45 22 08.352894504|111.3144292552287 -16.0551236039946|   4.438 -2.170  |10.29    |A2               |    ~     ~    |    1|  414.662   pc  | -14.8732    +14.8732  |paral   |2020yCat.1350....0G
20  |HD 223309                                                                                                |Pulsating Variable                    |23 48 24.3258659016 +45 26 18.389601924|111.4962871941855 -16.0290896727011|   4.482 -2.023  |9.05     |~                |    ~     ~    |    1|  493.608   pc  |  -4.4831     +4.4831  |paral   |2020yCat.1350....0G
21  |TYC 3244-142-1                                                                                           |Star                                  |23 47 14.6087358024 +44 59 44.750018688|111.1730793556760 -16.4052804362921|   34.882 3.072  |10.64    |~                |    ~     ~    |    1|  272.487   pc  |  -1.5964     +1.5964  |paral   |2020yCat.1350....0G
22  |TYC 3638-192-1                                                                                           |Star                                  |23 48 04.7248281552 +45 52 01.672852548|111.5510754743878 -15.5998401427217|  -4.057 -7.958  |10.60    |~                |    ~     ~    |    1|  544.188   pc  |  -4.1460     +4.1460  |paral   |2020yCat.1350....0G
23  |TYC 3638-205-1                                                                                           |Star                                  |23 46 08.6749840416 +46 52 03.394023564|111.4815178707187 -14.5473378097633|   -3.348 5.234  |10.05    |~                |    ~     ~    |    1|  262.909   pc  |  -0.9884     +0.9884  |paral   |2020yCat.1350....0G
