C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:39:41

Vmag< 11&dec< 0&rah >=0.0&rah< 0.25
-----------------------------------

Number of objects : 2411

 #  |                              identifier                              |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type      |   ang. size   
----|----------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------------|---------------
1   |HD 224833                                                             |Double or Multiple Star             |00 01 01.586 -42 34 16.20              |333.287399 -71.460453              |       27.0 2.9    |10.01    |F0V                  |    ~     ~    
2   |HD 224734                                                             |High Proper Motion Star             |00 00 14.7308391024 -43 36 25.428190500|331.7234411947944 -70.5469954864777| 51.231 -22.565    |9.36     |G8/K0IV(CNIII)       |    ~     ~    
3   |HD 224749                                                             |Spectroscopic Binary                |00 00 20.9310149640 -43 21 42.547591872|332.1179747460273 -70.7553462634239| -10.874 -7.837    |8.85     |F3/5V                |    ~     ~    
4   |CD-45 15204                                                           |Star                                |00 00 22.2388446120 -44 19 01.682462928|330.4426389210378 -69.9833401779149|  5.330 -10.251    |9.90     |~                    |    ~     ~    
5   |2MASS J00014216-4229147                                               |Long-Period Variable                |00 01 42.1756067712 -42 29 14.829105264|333.1362491648342 -71.6027511319414|    6.727 1.872    |10.64    |~                    |    ~     ~    
6   |CD-42 10                                                              |Star                                |00 08 03.9059440368 -42 14 04.165536840|330.5134982166835 -72.4928098611268|  42.423 19.665    |9.978    |F5                   |    ~     ~    
7   |HD 673                                                                |Star                                |00 10 56.0022096192 -42 15 05.776072020|328.9885932887918 -72.7664017773566|  15.210 -0.314    |8.91     |K1III                |    ~     ~    
8   |HD 271                                                                |Rotating Variable                   |00 07 24.0508060056 -42 33 36.572797584|330.2534434138626 -72.1538930692266| -12.766 -6.850    |9.482    |F5/6V                |    ~     ~    
9   |HD 383                                                                |Double or Multiple Star             |00 08 21.1477866384 -42 56 37.096499112|329.1002291153595 -71.9277431109172|  124.252 7.380    |9.94     |K0V                  |    ~     ~    
10  |CD-43 17                                                              |Star                                |00 08 52.9154563968 -42 55 05.692398420|328.8793541033439 -72.0009594137395| 19.584 -15.056    |10.541   |F5                   |    ~     ~    
11  |V* BH Phe                                                             |Long-Period Variable                |00 05 28.0188862128 -42 53 14.588874168|330.6121570584680 -71.6839684206917| -13.857 -1.612    |7.532    |M3III                |    ~     ~    
12  |HD 225156                                                             |High Proper Motion Star             |00 03 57.0635663592 -43 11 30.520510044|330.7865625388307 -71.2761337822151|106.261 -126.671   |9.703    |G5V                  |    ~     ~    
13  |HD 10                                                                 |High Proper Motion Star             |00 05 06.8396949816 -42 34 04.344570588|331.3655209099881 -71.9095947515978|-64.447 -24.079    |8.97     |G8/K0V               |    ~     ~    
14  |CD-44 2                                                               |Star                                |00 06 28.4295744936 -43 37 39.944706528|328.8513086396131 -71.1670187018128| -3.305 -16.692    |10.044   |F5                   |    ~     ~    
15  |HD 338                                                                |Star                                |00 07 59.1348873960 -43 27 19.013152896|328.4141899667161 -71.4588906123407|  -3.273 -7.848    |9.51     |G8IV                 |    ~     ~    
16  |CD-44 11                                                              |High Proper Motion Star             |00 08 13.1594531736 -43 38 48.710573232|327.9865259532018 -71.3179347425799| -3.743 -70.818    |10.274   |G0                   |    ~     ~    
17  |HD 620                                                                |Star                                |00 10 22.8081663144 -43 31 22.519105968|327.1284886401863 -71.6247479060134|  46.045 -0.757    |9.832    |F5V                  |    ~     ~    
18  |HD 131                                                                |Star                                |00 06 02.3732472456 -43 41 29.859720864|328.9494893735123 -71.0709017184240| 16.020 -22.181    |9.20     |F2/3V                |    ~     ~    
19  |HD 130                                                                |Star                                |00 06 03.1993299624 -43 25 32.012139180|329.3908873689221 -71.2956918439406|   3.020 -9.644    |9.54     |K1(III)              |    ~     ~    
20  |CD-44 15458                                                           |Star                                |00 06 22.8406588560 -43 34 47.380668384|328.9753781686955 -71.1983325838993|  41.760 22.109    |10.33    |F8                   |    ~     ~    
21  |CD-44 1                                                               |High Proper Motion Star             |00 06 29.2749431592 -43 54 14.302082592|328.3902917245244 -70.9348806962010|140.437 -50.246    |10.64    |G5                   |    ~     ~    
22  |HD 228                                                                |Star                                |00 06 56.3409924504 -43 59 06.803241792|328.0480687360212 -70.9087521147263|  35.838 21.458    |8.744    |G8III                |    ~     ~    
23  |HD 395                                                                |Star                                |00 08 26.4889180512 -44 16 25.050090648|326.8905609540289 -70.8003424870062|   20.351 3.811    |9.84     |A2IV/V               |    ~     ~    
24  |HD 478                                                                |Star                                |00 09 07.0305858456 -44 18 00.547089768|326.5316180284888 -70.8380086366473|   4.611 17.638    |9.940    |F8/G1V(p)            |    ~     ~    
25  |CD-44 21                                                              |Eruptive Variable                   |00 10 05.6269501872 -44 10 21.151752456|326.2593802231515 -71.0354363662793|   25.803 9.092    |10.415   |G0                   |    ~     ~    
26  |HD 225017                                                             |Star                                |00 02 34.8543257688 -43 56 52.532977704|330.1002057693926 -70.5126868084224|  41.964 -5.211    |8.53     |K3III                |    ~     ~    
27  |HD 225176                                                             |Star                                |00 04 06.2303828160 -44 03 01.632733992|329.2456780894947 -70.5799857671886|   41.598 1.610    |9.502    |G8III                |    ~     ~    
28  |HD 225201                                                             |Spectroscopic Binary                |00 04 17.7285662448 -43 59 18.388309380|329.2614374370634 -70.6507323888024|  6.788 -58.954    |8.13     |F6V                  |    ~     ~    
29  |HD 22                                                                 |Star                                |00 05 09.9818797272 -43 51 02.985258456|329.0910731415502 -70.8516745346971|   45.219 1.840    |8.69     |K1III                |    ~     ~    
30  |HD 284                                                                |Star                                |00 07 27.6795551064 -44 38 38.396777676|326.7815831141903 -70.3923534554787|   20.635 3.604    |9.21     |K2III                |    ~     ~    
31  |HD 563                                                                |Star                                |00 09 56.7718813176 -44 39 59.182411572|325.5978539597351 -70.5911739992401|  40.602 19.335    |7.20     |K1II                 |    ~     ~    
32  |CD-45 15230                                                           |Star                                |00 04 08.3049875280 -44 19 15.334856292|328.7886472738720 -70.3567200232925|  43.004 -5.819    |9.972    |F8                   |    ~     ~    
33  |CD-45 15236                                                           |Star                                |00 04 35.3437904016 -44 18 11.069580708|328.6153923621426 -70.4153289184209|   -3.608 5.336    |10.060   |~                    |    ~     ~    
34  |CD-45 15239                                                           |Spectroscopic Binary                |00 05 35.4483520488 -44 25 29.274634992|327.9700163130557 -70.4078174873044|  15.092 -2.423    |9.88     |K0                   |    ~     ~    
35  |CD-44 15435                                                           |Star                                |00 03 11.8834646328 -43 44 56.713932780|330.1613486239248 -70.7396362610981|   25.727 7.224    |10.68    |~                    |    ~     ~    
36  |CD-45 15223                                                           |Star                                |00 03 14.7263773056 -44 22 07.179479868|329.1080676570163 -70.2295748174349|  22.772 -8.472    |10.297   |~                    |    ~     ~    
37  |CD-45 15234                                                           |Star                                |00 04 24.5023224672 -44 42 16.668940320|328.0600830181494 -70.0589138862020|  23.200 -0.923    |10.715   |~                    |    ~     ~    
38  |CD-45 15243                                                           |Spectroscopic Binary                |00 06 06.6615820824 -44 26 25.100929140|327.7097834821298 -70.4433669887521|  14.121 -3.007    |10.276   |~                    |    ~     ~    
39  |CD-43 15587                                                           |Star                                |00 06 13.5241291512 -42 26 41.046332604|331.0493373865528 -72.1277521045858|  33.520 15.410    |10.90    |~                    |    ~     ~    
40  |CD-44 15457                                                           |Star                                |00 06 17.7692044416 -43 44 10.716988452|328.7549520768635 -71.0581996297456|   34.049 5.860    |10.90    |~                    |    ~     ~    
41  |CD-44 8                                                               |Star                                |00 07 44.3118738072 -44 04 50.495599236|327.5210860782703 -70.9019853564886| 14.679 -10.643    |10.22    |~                    |    ~     ~    
42  |CD-45 11                                                              |Star                                |00 08 01.8768444960 -44 35 27.461776020|326.5996726284230 -70.4892618357709|  37.084 10.831    |10.559   |~                    |    ~     ~    
43  |CD-44 16                                                              |High Proper Motion Star             |00 08 44.5521527928 -43 42 24.750914508|327.6368729890016 -71.3155685332132|  3.904 -51.870    |10.627   |~                    |    ~     ~    
44  |CD-45 20                                                              |Star                                |00 10 30.2769192504 -44 32 34.958868288|325.5138388708424 -70.7471615328255|   9.662 -0.940    |10.562   |~                    |    ~     ~    
45  |CD-45 25                                                              |High Proper Motion Star             |00 11 03.9966344640 -44 31 06.899856384|325.2818736203228 -70.8164423758513|  50.330 23.084    |10.71    |~                    |    ~     ~    
46  |CD-45 15232                                                           |Double or Multiple Star             |00 04 15.6871799836 -44 48 51.505653203|327.9543219617006 -69.9521362010133|  8.809 -13.607    |10.043   |~                    |    ~     ~    
47  |CD-45 1                                                               |High Proper Motion Star             |00 06 24.8240764728 -44 48 40.909208940|327.0039113433965 -70.1536056169256| 23.559 -46.314    |10.79    |~                    |    ~     ~    
48  |TYC 7526-1154-1                                                       |Star                                |00 10 32.2439187864 -42 23 02.141910276|328.9624245969795 -72.6153823975542|  -1.190 -7.943    |10.995   |~                    |    ~     ~    
49  |TYC 7529-451-1                                                        |Star                                |00 00 31.1676930360 -43 21 17.388459684|332.0550521796027 -70.7794494825113| -38.466 12.049    |10.87    |~                    |    ~     ~    
50  |TYC 7529-640-1                                                        |Star                                |00 05 34.0984188048 -42 52 43.631065488|330.5787951961469 -71.7015370955331|    7.486 1.500    |10.33    |~                    |    ~     ~    
51  |TYC 7529-691-1                                                        |Star                                |00 06 30.8524195416 -44 05 19.076513100|328.0802849202622 -70.7806477004747|    0.870 1.002    |10.888   |~                    |    ~     ~    
52  |HD 770                                                                |High Proper Motion Star             |00 11 56.0565656472 -42 10 19.706103732|328.5945785359976 -72.9312132101690|-87.724 -43.638    |6.53     |K0III                |    ~     ~    
53  |HD 944                                                                |High Proper Motion Star             |00 13 41.9070979824 -42 12 19.262921112|327.5754975846411 -73.0695034328138|   54.698 0.046    |9.41     |F7V                  |    ~     ~    
54  |HD 845                                                                |Star                                |00 12 40.5852377640 -43 09 52.165042452|326.5340276081781 -72.1430244372720|  42.725 -6.770    |7.53     |K0III                |    ~     ~    
55  |HD 903                                                                |High Proper Motion Star             |00 13 10.0390376304 -43 03 54.621910260|326.4363399213151 -72.2734038707787|  70.374 -1.111    |7.56     |F5IV                 |    ~     ~    
56  |HD 869                                                                |Star                                |00 12 54.3596128920 -43 34 13.081616184|325.7827653539461 -71.8077775959138|  4.616 -11.074    |9.42     |K2/4(III)            |    ~     ~    
57  |HD 880                                                                |Star                                |00 13 01.3307953080 -43 25 38.712641052|325.9428331801267 -71.9433478427721|-25.316 -24.751    |9.56     |A9/F0V               |    ~     ~    
58  |HD 933                                                                |Star                                |00 13 34.0620768240 -43 39 35.463932820|325.3094079919297 -71.7854751489846|  -12.586 4.961    |10.36    |F0V                  |    ~     ~    
