C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:16:32

dec< 0&rah >=0.25&rah< 0.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2506

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |HD 1117                                                                                                  |High Proper Motion Star             |00 15 16.1017330128 -42 09 54.020173176|326.7709342530470 -73.2480242150598| 51.740 -20.082   |8.69     |F2V            |    ~     ~    |    1|  201.951   pc  |  -7.1087     +7.1087    |paral   |2020yCat.1350....0G
2   |CD-42 87                                                                                                 |High Proper Motion Star             |00 22 01.3354261368 -42 06 47.569431996|322.8987582908337 -73.8554238589328|-77.725 -25.977   |10.40    |G5             |    ~     ~    |    1|   96.761   pc  |  -0.5213     +0.5213    |ST-L    |2020AJ....160...83S
3   |HD 1118                                                                                                  |Double or Multiple Star             |00 15 17.6903508168 -42 29 47.522581116|326.2073426491427 -72.9597423044775|  46.905 -1.228   |9.777    |F6V            |    ~     ~    |    1|  246.322   pc  | -10.1100    +10.1100    |ST-L    |2020AJ....160...83S
4   |HD 1189                                                                                                  |Star                                |00 16 02.5696662096 -42 40 15.747090708|325.5141873904002 -72.8706305534633|  14.084 -8.294   |8.06     |M0III          |    ~     ~    |    1|  559.879   pc  |  -5.7364     +5.7364    |paral   |2020yCat.1350....0G
5   |CD-43 49                                                                                                 |Star                                |00 16 02.6475519048 -43 07 08.174695188|324.8221701961677 -72.4729693602041|    3.708 9.921   |10.383   |F2             |    ~     ~    |    1|  308.149   pc  |  -6.1200     +6.1200    |ST-L    |2020AJ....160...83S
6   |HD 1218                                                                                                  |Star                                |00 16 23.3247986640 -42 59 47.683078692|324.8204322622642 -72.6105708833590| 16.347 -11.899   |7.58     |K1III/IV       |    ~     ~    |    1|  173.082   pc  |  -0.5962     +0.5962    |paral   |2020yCat.1350....0G
7   |HD 1357                                                                                                  |High Proper Motion Star             |00 17 29.8716780624 -42 37 45.444939420|324.7678543790036 -73.0301333914016|-59.195 -38.063   |9.87     |G2/3V          |    ~     ~    |    1|  144.512   pc  |  -1.1450     +1.1450    |ST-L    |2020AJ....160...83S
8   |HD 1356                                                                                                  |Star                                |00 17 34.3021395480 -42 23 41.077270968|325.0916875568260 -73.2454794788661|  15.118 -6.287   |10.11    |A1/2+F/G       |    ~     ~    |    1|  362.067   pc  |  -9.3180     +9.3180    |ST-L    |2020AJ....160...83S
9   |HD 1483                                                                                                  |Star                                |00 18 42.5609037192 -43 14 08.048643504|323.1975528539824 -72.5814549080208|   48.694 0.745   |6.328    |K2III          |    ~     ~    |    1|  136.433   pc  |  -0.5007     +0.5007    |paral   |2020yCat.1350....0G
10  |HD 1549                                                                                                  |Star                                |00 19 37.6849784904 -43 04 55.597617408|322.9029419596127 -72.7910588065632|   19.248 4.660   |8.98     |K1III          |    ~     ~    |    1|  503.423   pc  |  -4.0550     +4.0550    |paral   |2020yCat.1350....0G
11  |CD-43 72                                                                                                 |Star                                |00 19 45.1173677952 -42 24 10.072505520|323.8206491860134 -73.4162518898929|  -6.849 -4.550   |10.26    |G0             |    ~     ~    |    1|  284.941   pc  |  -5.2920     +5.2920    |ST-L    |2020AJ....160...83S
12  |CD-43 78                                                                                                 |Star                                |00 20 23.9681575128 -42 33 41.919234264|323.2074432743286 -73.3230545386833|   16.161 3.776   |10.284   |~              |    ~     ~    |    1|  744.433   pc  | -32.3700    +32.3700    |ST-L    |2020AJ....160...83S
13  |CD-43 82                                                                                                 |High Proper Motion Star             |00 21 29.6809513296 -43 09 45.848914272|321.7377942697382 -72.8552105440948| 97.065 -40.585   |10.127   |G0             |    ~     ~    |    1|  120.958   pc  |  -0.7770     +0.7770    |ST-L    |2020AJ....160...83S
14  |HD 1286                                                                                                  |Spectroscopic Binary                |00 16 53.8019556096 -43 32 25.546975008|323.7469309515896 -72.1646585908280|-22.538 -29.227   |9.48     |F3V            |    ~     ~    |    1|  201.171   pc  |  -0.7406     +0.7406    |paral   |2020yCat.1350....0G
15  |CD-44 45                                                                                                 |High Proper Motion Star             |00 15 48.6613427616 -44 06 24.988532868|323.5194069956873 -71.5694548387439|49.325 -149.111   |10.50    |G0             |    ~     ~    |    1|  168.621   pc  |  -1.6670     +1.6670    |ST-L    |2020AJ....160...83S
16  |HD 1235                                                                                                  |Star                                |00 16 24.0258274464 -43 46 48.478242180|323.6696190392611 -71.9098150860835|    8.874 2.501   |7.87     |K2III          |    ~     ~    |    1|  343.289   pc  |  -2.6044     +2.6044    |paral   |2020yCat.1350....0G
17  |HD 1248                                                                                                  |Star                                |00 16 35.0991791520 -43 51 28.840922820|323.4643483644693 -71.8541504698037|  45.422 -8.225   |9.10     |F3/5V          |    ~     ~    |    1|  156.255   pc  |  -0.3784     +0.3784    |paral   |2020yCat.1350....0G
18  |HD 1320                                                                                                  |High Proper Motion Star             |00 17 16.5269419376 -43 51 09.835811318|323.1101135227226 -71.9123561997380|396.319 -15.584   |7.98     |G2V            |    ~     ~    |    1|   36.2387  pc  |  -0.0283     +0.0283    |paral   |2020yCat.1350....0G
19  |CD-44 55                                                                                                 |Star                                |00 17 31.3396069704 -43 57 22.216002048|322.8398470441821 -71.8374694549230|   12.643 5.721   |10.467   |A5             |    ~     ~    |    1|  351.165   pc  |  -7.5890     +7.5890    |ST-L    |2020AJ....160...83S
20  |HD 1423                                                                                                  |Star                                |00 18 06.9370269360 -43 58 14.489901228|322.5089243065593 -71.8688667793174|  13.461 11.247   |8.42     |G8/K0III       |    ~     ~    |    1|  369.113   pc  |  -2.7658     +2.7658    |paral   |2020yCat.1350....0G
21  |HD 1798                                                                                                  |Spectroscopic Binary                |00 22 12.3995680056 -43 52 51.535249464|320.4246162688057 -72.2408125020211|  -10.838 7.894   |9.21     |F2IV/V         |    ~     ~    |    1|  220.182   pc  |  -1.7841     +1.7841    |paral   |2020yCat.1350....0G
22  |CD-44 82                                                                                                 |Star                                |00 22 14.6446571520 -43 53 24.100325736|320.3930953147512 -72.2349119958253| -1.257 -35.990   |10.367   |~              |    ~     ~    |    1|  324.921   pc  |  -9.0280     +9.0280    |ST-L    |2020AJ....160...83S
