C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:32:02

dec< 0&rah >=2.5&rah< 2.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2574

 #  |                                                                                                                                       identifier                                                                                                                                       |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |CD-35 894                                                                                                                                                                                                                                                                               |Star                              |02 36 05.2147870080 -35 13 29.766506916|239.3588184364418 -66.2835753882346|   5.841 11.755   |9.53     |K0             |    ~     ~    |    1|  544.247   pc  |  -3.9099     +3.9099    |paral   |2020yCat.1350....0G
2   |CD-35 900                                                                                                                                                                                                                                                                               |Star                              |02 36 48.2992925880 -35 21 46.948053888|239.6125290603530 -66.1102048891232| 36.472 -26.721   |10.183   |G5             |    ~     ~    |    1|  207.373   pc  |  -2.6240     +2.6240    |ST-L    |2020AJ....160...83S
3   |HD 16404                                                                                                                                                                                                                                                                                |Spectroscopic Binary              |02 36 53.3773629912 -35 19 11.699474484|239.4992806925159 -66.1028847709450|   23.082 0.082   |7.58     |K0III          |    ~     ~    |    1|  215.318   pc  |  -1.9101     +1.9101    |paral   |2020yCat.1350....0G
4   |CD-36 958                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 32 18.9129479544 -35 32 40.599857976|240.5948166548890 -66.9563643537871|-40.639 -45.112   |10.20    |K0             |    ~     ~    |    1|   92.358   pc  |  -0.4487     +0.4487    |ST-L    |2020AJ....160...83S
5   |CD-36 971                                                                                                                                                                                                                                                                               |Star                              |02 34 04.8979066248 -35 45 40.478233464|240.9009504155939 -66.5550001099877|  -0.239 10.517   |10.47    |F5             |    ~     ~    |    1|  226.763   pc  | -11.1430    +11.1430    |paral   |2020yCat.1350....0G
6   |CD-36 973                                                                                                                                                                                                                                                                               |Star                              |02 34 04.4955701232 -35 33 21.051016668|240.4006891450525 -66.6065338201673|    2.397 8.526   |10.47    |F8             |    ~     ~    |    1|  204.466   pc  |  -0.6146     +0.6146    |paral   |2020yCat.1350....0G
7   |CD-36 986                                                                                                                                                                                                                                                                               |Star                              |02 35 31.4190898008 -35 30 47.644584660|240.1223011719450 -66.3302577324817|  21.372 10.582   |10.517   |F8             |    ~     ~    |    1|  241.239   pc  |  -2.8570     +2.8570    |ST-L    |2020AJ....160...83S
8   |CD-36 990                                                                                                                                                                                                                                                                               |Star                              |02 36 21.1915844664 -35 38 19.539510288|240.3275525397023 -66.1369543847097|  10.720 19.499   |9.72     |K1             |    ~     ~    |    1|  449.458   pc  |  -2.8686     +2.8686    |paral   |2020yCat.1350....0G
9   |HD 15889                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 32 14.7590199552 -36 25 38.233291080|242.7690228870024 -66.7360244932365|   53.728 8.235   |6.276    |K0III          |    ~     ~    |    1|  138.393   pc  |  -2.5913     +2.5913    |paral   |2020yCat.1350....0G
10  |CD-36 968                                                                                                                                                                                                                                                                               |Star                              |02 33 35.6351004744 -36 07 11.079471504|241.8355711593273 -66.5585798902613|-33.280 -18.419   |9.84     |G8             |    ~     ~    |    1|  253.120   pc  |  -1.8644     +1.8644    |paral   |2020yCat.1350....0G
