C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:33:38

dec< 0&rah >=2.75&rah< 3.0&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2679

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |HD 17476                                                                                                 |Star                              |02 47 10.8000232704 -34 14 12.304676688|236.0560000190816 -64.2190522777934|  -4.271 20.821   |9.30     |F3V              |    ~     ~    |    1|  216.882   pc  |  -0.6491     +0.6491    |paral   |2020yCat.1350....0G
2   |CD-35 948                                                                                                |Star                              |02 45 16.1132966808 -34 47 43.373826672|237.4723967704582 -64.5219888341066|  -8.711 -3.131   |10.34    |G5               |    ~     ~    |    1|  302.865   pc  |  -1.5135     +1.5135    |paral   |2020yCat.1350....0G
3   |HD 17393                                                                                                 |Star                              |02 46 20.5408686960 -34 54 36.623185884|237.6489109296005 -64.2855748974436|  -2.739 -6.268   |8.30     |A0/1IV           |    ~     ~    |    1|  251.889   pc  |  -1.3959     +1.3959    |paral   |2020yCat.1350....0G
4   |HD 17408                                                                                                 |Star                              |02 46 32.5031108208 -34 47 36.130470792|237.3679412293705 -64.2645269740951|-17.815 -16.759   |8.93     |F3V              |    ~     ~    |    1|  133.543   pc  |  -0.2586     +0.2586    |paral   |2020yCat.1350....0G
5   |HD 17494                                                                                                 |Star                              |02 47 16.5829122264 -34 47 14.901312444|237.2986891644123 -64.1166190009734|  25.353 -4.941   |9.02     |K2III            |    ~     ~    |    1|  361.468   pc  |  -1.9076     +1.9076    |paral   |2020yCat.1350....0G
6   |CD-35 969                                                                                                |Star                              |02 48 08.2729385856 -34 48 55.847893176|237.2977757196007 -63.9375583907146|  19.318 33.050   |10.492   |F8               |    ~     ~    |    1|  260.586   pc  |  -3.3430     +3.3430    |ST-L    |2020AJ....160...83S
7   |CD-35 971                                                                                                |Star                              |02 48 36.9239822136 -35 03 52.977857904|237.8203880760223 -63.8008060250632|   1.265 22.619   |9.66     |G8               |    ~     ~    |    1|  222.727   pc  |  -0.5506     +0.5506    |paral   |2020yCat.1350....0G
8   |* eta01 For                                                                                              |High Proper Motion Star           |02 47 33.7505144328 -35 33 02.235958092|238.9917845597734 -63.9272731764322|-41.541 -35.180   |6.508    |K0/1III          |    ~     ~    |    1|  142.428   pc  |  -0.3489     +0.3489    |paral   |2020yCat.1350....0G
9   |CD-36 1041                                                                                               |Star                              |02 46 05.3137893384 -36 14 55.178272176|240.6884904745259 -64.0799633724041|  16.373 14.932   |10.33    |F5               |    ~     ~    |    1|  312.178   pc  |  -2.4364     +2.4364    |paral   |2020yCat.1350....0G
10  |CD-36 1052                                                                                               |Horizontal Branch Star            |02 47 37.4429774568 -36 06 27.032483376|240.2264203813016 -63.8065792454832|   3.187 12.591   |9.982    |Fwl              |    ~     ~    |    1|  738.480   pc  | -30.4600    +30.4600    |ST-L    |2020AJ....160...83S
11  |HD 17564                                                                                                 |Star                              |02 48 00.5206715232 -36 25 28.705514808|240.8907185496735 -63.6645545633384|-28.707 -24.168   |9.52     |G6IV/V           |    ~     ~    |    1|  176.243   pc  |  -0.3852     +0.3852    |paral   |2020yCat.1350....0G
12  |CD-36 1060                                                                                               |Star                              |02 48 19.2968496168 -36 18 35.617438440|240.6081266804393 -63.6271608053829|  17.201 36.466   |10.786   |~                |    ~     ~    |    1|  317.169   pc  |  -5.1930     +5.1930    |ST-L    |2020AJ....160...83S
13  |HD 17418                                                                                                 |Spectroscopic Binary              |02 46 30.4839769512 -36 40 43.324444812|241.6021953241873 -63.9024289279310|   3.736 18.318   |9.28     |A5III            |    ~     ~    |    1|  276.955   pc  |  -9.0434     +9.0434    |paral   |2020yCat.1350....0G
14  |V* AS For                                                                                                |Mira Variable                     |02 46 21.0946663128 -36 13 35.483903508|240.6130979091509 -64.0329007103399|    6.322 1.373   |10.2     |Me               |    ~     ~    |    0|                |                         |        |                   
15  |CD-36 1043                                                                                               |High Proper Motion Star           |02 46 22.1427222960 -36 13 24.992793084|240.6048804373656 -64.0300802105543|  42.225 31.248   |9.92     |~                |    ~     ~    |    1|  261.835   pc  |  -0.8912     +0.8912    |paral   |2020yCat.1350....0G
16  |CD-35 947                                                                                                |High Proper Motion Star           |02 45 00.6396408216 -35 18 40.923077364|238.6738194189726 -64.4825310574297|   66.761 5.956   |10.605   |~                |    ~     ~    |    1|  174.959   pc  |  -1.5700     +1.5700    |ST-L    |2020AJ....160...83S
17  |CD-34 995                                                                                                |Star                              |02 45 15.9201262992 -34 27 40.520653704|236.7053353689205 -64.5766181193521| 36.263 -11.773   |10.65    |~                |    ~     ~    |    1|  258.111   pc  |  -0.8461     +0.8461    |paral   |2020yCat.1350....0G
18  |CD-37 1033                                                                                               |Star                              |02 45 28.9075954656 -36 46 18.889486860|241.9176507644875 -64.0808749459589|    7.121 6.989   |10.74    |~                |    ~     ~    |    1|  206.851   pc  |  -0.7873     +0.7873    |paral   |2020yCat.1350....0G
19  |CD-35 949                                                                                                |Star                              |02 45 38.9434708920 -35 11 10.011862104|238.3331781031230 -64.3773656568658|  -12.906 4.272   |10.81    |~                |    ~     ~    |    1|  197.699   pc  |  -0.5120     +0.5120    |paral   |2020yCat.1350....0G
20  |CD-34 1003                                                                                               |Star                              |02 46 03.1541226696 -34 13 59.115338976|236.1244073260390 -64.4502126391600|   0.241 -9.838   |10.721   |~                |    ~     ~    |    1|  389.247   pc  |  -8.0570     +8.0570    |ST-L    |2020AJ....160...83S
21  |CD-36 1045                                                                                               |Star                              |02 46 24.0169045056 -36 24 55.998396036|241.0293652167149 -63.9824144350559|  -0.888 -3.609   |10.02    |~                |    ~     ~    |    1| 1833.517   pc  | -43.7032    +43.7032    |paral   |2020yCat.1350....0G
22  |CD-35 955                                                                                                |Star                              |02 46 27.8231477640 -35 03 27.159268392|237.9735937200629 -64.2360284792860|  27.681 -6.093   |9.95     |~                |    ~     ~    |    1|  764.584   pc  |  -7.1320     +7.1320    |paral   |2020yCat.1350....0G
23  |CD-35 958                                                                                                |High Proper Motion Star           |02 46 41.4625749552 -34 31 20.216764740|236.7401442222202 -64.2769532572511|  10.238 49.760   |10.80    |~                |    ~     ~    |    1|  121.004   pc  |  -0.7377     +0.7377    |ST-L    |2020AJ....160...83S
24  |CD-36 1051                                                                                               |Star                              |02 47 34.4607129024 -36 25 31.496101896|240.9346831124394 -63.7497297869947|   0.622 15.597   |10.491   |~                |    ~     ~    |    1|  817.234   pc  | -26.7200    +26.7200    |ST-L    |2020AJ....160...83S
25  |CPD-35 267                                                                                               |Star                              |02 47 39.8084796576 -34 32 24.412956684|236.7110828799187 -64.0762832798853|-38.658 -28.060   |10.840   |~                |    ~     ~    |    1|  187.883   pc  |  -1.8670     +1.8670    |ST-L    |2020AJ....160...83S
26  |CD-34 1014                                                                                               |Star                              |02 48 15.2380810080 -34 23 53.270116044|236.3497216566523 -63.9766565191810| -0.595 -14.630   |10.12    |~                |    ~     ~    |    1| 1842.978   pc  | -41.4381    +41.4381    |paral   |2020yCat.1350....0G
27  |CD-35 963                                                                                                |Star                              |02 47 13.7446866432 -35 06 47.864378664|238.0378439750686 -64.0722035177496|   16.221 3.269   |10.11    |~                |    ~     ~    |    1|  342.493   pc  |  -6.1500     +6.1500    |ST-L    |2020AJ....160...83S
