C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:35:13

dec< 0&rah >=3.0&rah< 3.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2700

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |BD-02 546                                                                                                |High Proper Motion Star               |03 05 14.4181241472 -01 55 55.398309384|180.4860477316818 -49.2462926660978|33.515 -143.549   |9.91     |~               |    ~     ~    |    1|  124.736   pc  |  -0.7546     +0.7546    |paral   |2020yCat.1350....0G
2   |BD-00 491                                                                                                |Star                                  |03 04 58.1726494296 -00 16 14.693882232|178.5464708020804 -48.1846303806399|   49.587 7.900   |9.953    |F5              |    ~     ~    |    1|  197.601   pc  |  -2.5160     +2.5160    |ST-L    |2020AJ....160...83S
3   |HD 19464                                                                                                 |High Proper Motion Star               |03 07 43.4877820176 -00 09 12.319320384|179.1118984278297 -47.5977063927517|-12.159 -83.114   |9.69     |G6V             |    ~     ~    |    1|  166.970   pc  |  -0.6022     +0.6022    |paral   |2020yCat.1350....0G
4   |TYC 4707-19-1                                                                                            |Star                                  |03 03 44.1355241640 -00 49 06.019572396|178.8391652306584 -48.7824375228352|  -0.411 13.446   |9.69     |K0              |    ~     ~    |    1|  259.316   pc  |  -0.9885     +0.9885    |paral   |2020yCat.1350....0G
5   |BD-01 437                                                                                                |Star                                  |03 04 12.8310225216 -00 41 55.217095188|178.8279538939878 -48.6134443383551|  -4.531 -0.965   |9.86     |F0              |    ~     ~    |    1|  206.996   pc  |  -0.7627     +0.7627    |paral   |2020yCat.1350....0G
6   |HD 19156                                                                                                 |Star                                  |03 04 50.1490685712 -01 19 00.045431292|179.6808874067450 -48.9134622640020| 33.010 -24.892   |9.54     |F5/6V           |    ~     ~    |    1|  230.044   pc  |  -1.0161     +1.0161    |paral   |2020yCat.1350....0G
7   |BD-01 441                                                                                                |Star                                  |03 06 12.4250115072 -00 35 21.096531384|179.2120096431443 -48.1715953758222| 30.397 -28.217   |9.96     |G0              |    ~     ~    |    1|  206.945   pc  |  -0.7966     +0.7966    |paral   |2020yCat.1350....0G
8   |HD 19382                                                                                                 |Star                                  |03 06 55.3767574224 -01 09 18.557878392|180.0245412677311 -48.4167668171829|   -8.368 1.155   |8.82     |K2/3III         |    ~     ~    |    1| 1039.501   pc  | -24.3127    +24.3127    |paral   |2020yCat.1350....0G
9   |HD 19465                                                                                                 |Double or Multiple Star               |03 07 40.6069440792 -00 32 15.720806580|179.5233736699458 -47.8645717555233| -14.228 -9.513   |9.47     |F7V             |    ~     ~    |    1|  173.650   pc  |  -0.5277     +0.5277    |paral   |2020yCat.1350....0G
10  |BD-01 445                                                                                                |Star                                  |03 08 11.3146892472 -00 48 38.720113560|179.9541324656771 -47.9514803331096|    5.746 1.889   |10.624   |K2              |    ~     ~    |    1|  928.682   pc  | -43.2000    +43.2000    |ST-L    |2020AJ....160...83S
11  |HD 19629                                                                                                 |Double or Multiple Star               |03 09 38.7928355352 -01 00 13.779213696|180.5297386417001 -47.8063677877943| -6.696 -13.622   |8.88     |K2III           |0.0050  0.0    |    1|  649.984   pc  |  -8.8721     +8.8721    |paral   |2020yCat.1350....0G
12  |HD 19157                                                                                                 |Star                                  |03 04 49.1342466384 -01 28 08.472923328|179.8495184425885 -49.0181973892465|   -2.263 8.841   |9.95     |F5/8            |    ~     ~    |    1|  259.235   pc  |  -1.4314     +1.4314    |paral   |2020yCat.1350....0G
13  |HD 19348                                                                                                 |Star                                  |03 06 38.3095014024 -01 39 15.199055964|180.5190765274906 -48.8004387950527|  19.093 -0.178   |9.66     |K1III           |    ~     ~    |    1|  524.439   pc  | -10.2588    +10.2588    |paral   |2020yCat.1350....0G
14  |HD 19363                                                                                                 |Star                                  |03 06 45.2175664848 -01 35 55.810390524|180.4847247610969 -48.7422766401173|   5.525 -9.009   |9.08     |K2III           |    ~     ~    |    1| 1177.024   pc  | -62.8966    +62.8966    |paral   |2020yCat.1350....0G
15  |HD 19364                                                                                                 |Star                                  |03 06 45.6773144736 -01 47 50.676615456|180.7134756105034 -48.8716538464106| -23.223 11.485   |9.55     |F5              |    ~     ~    |    1|  171.230   pc  |  -1.0174     +1.0174    |paral   |2020yCat.1350....0G
16  |HD 19411                                                                                                 |Star                                  |03 07 12.8179910592 -01 48 09.897945228|180.8324147123797 -48.7899584353990|-18.171 -15.462   |6.95     |G8/K0III        |    ~     ~    |    1|  290.107   pc  |  -2.2219     +2.2219    |paral   |2020yCat.1350....0G
17  |HD 19466                                                                                                 |Star                                  |03 07 41.6464829376 -01 38 56.371505496|180.7762418691055 -48.5984331738065| -4.294 -18.314   |9.422    |F3V             |    ~     ~    |    1|  226.581   pc  |  -3.3320     +3.3320    |ST-L    |2020AJ....160...83S
18  |V* EE Eri                                                                                                |alpha2 CVn Variable                   |03 10 18.0933103728 -01 41 40.967322324|181.4695777690336 -48.1353075206304|   0.623 -8.376   |7.35     |B9V             |    ~     ~    |    1|  166.096   pc  |  -1.0152     +1.0152    |paral   |2020yCat.1350....0G
19  |HD 19512                                                                                                 |Star                                  |03 08 08.3065333128 -01 49 13.144456092|181.0820159078072 -48.6269228995878|  -4.081 -3.317   |9.44     |A6II/III        |    ~     ~    |    1|  495.905   pc  | -18.9000    +18.9000    |ST-L    |2020AJ....160...83S
20  |NGC 1211                           NGC 1211                                                              |Galaxy                                |03 06 52.4204985720 -00 47 40.073141400|179.6079604011059 -48.1855600724950|    0.416 1.505   |     ~   |~               |1.057 0.719    |    1|   28.71    Mpc |                         |        |2016AJ....152...50T
21  |NGC 1194                           NGC 1194                                                              |Seyfert 2 Galaxy                      |03 03 49.1124029328 -01 06 13.415103900|179.1808863118118 -48.9595109799234|            ~ ~   |14.18    |~               |0.970 0.563    |    1|   56.9     Mpc |                         |        |2011ApJ...739...57K
22  |BD-01 438                                                                                                |Star                                  |03 04 22.4583381840 -01 16 58.588295124|179.5252906661569 -48.9767083747684|-12.042 -16.688   |9.78     |~               |    ~     ~    |    1|  737.626   pc  |  -8.1070     +8.1070    |paral   |2020yCat.1350....0G
23  |TYC 4707-686-1                                                                                           |Star                                  |03 06 59.8070237688 -01 21 04.044040524|180.2642268631129 -48.5329360085039|-16.023 -38.363   |10.561   |~               |    ~     ~    |    1|  264.309   pc  |  -4.0070     +4.0070    |ST-L    |2020AJ....160...83S
24  |BD-02 558                                                                                                |Star                                  |03 08 31.8358898664 -01 33 11.944287936|180.8744934360195 -48.3779536348173|  3.106 -13.476   |10.49    |~               |    ~     ~    |    1|  189.876   pc  |  -0.7896     +0.7896    |paral   |2020yCat.1350....0G
25  |TYC 4708-57-1                                                                                            |Star                                  |03 10 34.9340600544 -01 13 12.646653816|181.0012415581616 -47.7723710199314| -3.347 -13.466   |10.31    |~               |    ~     ~    |    1| 1504.891   pc  | -43.9351    +43.9351    |paral   |2020yCat.1350....0G
