C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:36:48

dec< 0&rah >=3.25&rah< 3.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2736

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |       ang. size       |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|-----------------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 20331                                                                                                                                    |Double or Multiple Star             |03 16 08.4759 -02 04 18.862            |183.2908762 -47.2584392            |     10.6 -14.6   |9.55     |G3V                  |    ~     ~            |    0|                |                       |        |                   
2   |HD 20683                                                                                                                                    |High Proper Motion Star             |03 19 44.3333805912 -02 04 18.092526384|184.1185593947875 -46.5597444866052|-50.927 -65.463   |9.07     |G2/3V                |    ~     ~            |    1|   99.816   pc  |  -0.1923     +0.1923  |paral   |2020yCat.1350....0G
3   |NGC 1298                           NGC 1298                                                                                                 |Galaxy towards a Group of Galaxies  |03 20 13.0777329888 -02 06 50.671674648|184.2753275472984 -46.4927531549060|            ~ ~   |     ~   |~                    |0.753 0.663            |    1|   87.84    Mpc |                       |redshift|2007ApJ...655..790C
4   |NGC 1289                           NGC 1289                                                                                                 |Galaxy towards a Group of Galaxies  |03 18 49.7937804216 -01 58 23.745958356|183.7996308855362 -46.6749747825065|    0.096 0.217   |     ~   |~                    |1.093 0.634            |    1|   38.4     Mpc |                       |redshift|2011MNRAS.413..813C
5   |BD-02 599                                                                                                                                   |Star                                |03 19 00.5816 -02 07 19.015            |184.0095626 -46.7332819            |   4.906 -7.215   |10.73    |~                    |    ~     ~            |    1|  260.253   pc  |  -7.3460     +7.3460  |ST-L    |2020AJ....160...83S
6   |BD-02 609                                                                                                                                   |Star                                |03 21 53.7180102816 -02 03 33.549637284|184.5909107731490 -46.1306894590622|-31.459 -23.646   |10.429   |~                    |    ~     ~            |    1|  139.150   pc  |  -1.1590     +1.1590  |ST-L    |2020AJ....160...83S
7   |HD 20348                                                                                                                                    |Double or Multiple Star             |03 16 24.640 -00 25 22.14              |181.509938 -46.148186              |       -4.5 2.0   |9.3      |A9V                  |    ~     ~            |    0|                |                       |        |                   
8   |HD 20445                                                                                                                                    |Star                                |03 17 23.2924326504 -00 09 35.354783700|181.4514751911780 -45.7914811696860|   -6.202 4.206   |8.58     |F0V                  |    ~     ~            |    1|  403.194   pc  | -11.0100    +11.0100  |ST-L    |2020AJ....160...83S
9   |BD-00 526                                                                                                                                   |Star                                |03 19 28.0080533328 -00 09 27.166564836|181.9308320871931 -45.3945851770997|   -3.203 9.810   |10.769   |G0                   |    ~     ~            |    1|  380.055   pc  | -30.2894    +30.2894  |paral   |2020yCat.1350....0G
10  |AG-00 351                                                                                                                                   |Long-Period Variable Candidate      |03 20 15.5631557904 -00 06 29.275538364|182.0591763162829 -45.2114062891005|  -1.649 -1.610   |10.05    |M0                   |    ~     ~            |    1| 1914.61    pc  |-188.052    +188.052   |paral   |2020yCat.1350....0G
11  |HD 20772                                                                                                                                    |Star                                |03 20 44.6061597840 -00 10 09.857715312|182.2363032643251 -45.1583725741449|  13.189 -1.398   |8.14     |A2IV(m)              |    ~     ~            |    1|  293.617   pc  |  -2.6294     +2.6294  |paral   |2020yCat.1350....0G
12  |HD 20802                                                                                                                                    |Star                                |03 21 08.4766149384 -00 22 10.402558176|182.5445991074671 -45.2106762710360| -10.172 -6.468   |8.18     |K0III                |    ~     ~            |    1|  313.205   pc  |  -2.6192     +2.6192  |paral   |2020yCat.1350....0G
13  |TYC 4708-150-1                                                                                                                              |Star                                |03 15 22.0458850392 -01 09 45.054280548|182.0830976960007 -46.8260030407959|   29.337 4.579   |9.88     |~                    |    ~     ~            |    1|  266.712   pc  |  -7.4470     +7.4470  |ST-L    |2020AJ....160...83S
14  |HD 20259                                                                                                                                    |High Proper Motion Star             |03 15 22.5261055968 -01 10 43.028225508|182.1029737953145 -46.8348585183848|223.074 -23.908   |8.55     |F6/8+A/F             |    ~     ~            |    1|   96.683   pc  |  -0.2085     +0.2085  |paral   |2020yCat.1350....0G
15  |HD 20266                                                                                                                                    |Star                                |03 15 31.8202571304 -00 28 45.433753320|181.3646662748321 -46.3519761446659| -1.049 -24.201   |8.52     |K0III                |    ~     ~            |    1|  326.296   pc  |  -2.6937     +2.6937  |paral   |2020yCat.1350....0G
16  |BD-01 468                                                                                                                                   |Star                                |03 16 52.5110421672 -01 28 27.266832372|182.7853407536558 -46.7369408346677|  -8.979 -7.305   |10.56    |F8                   |    ~     ~            |    1|  323.740   pc  |  -3.6997     +3.6997  |paral   |2020yCat.1350....0G
17  |HD 20581                                                                                                                                    |Star                                |03 18 38.3155057488 -01 15 17.091003168|182.9478146545126 -46.2574533921073|   15.267 1.345   |10.09    |A8V                  |    ~     ~            |    1|  259.141   pc  |  -1.5445     +1.5445  |paral   |2020yCat.1350....0G
18  |HD 20592                                                                                                                                    |Star                                |03 18 44.0954712672 -01 17 38.567005116|183.0138218309793 -46.2638936429170| -7.549 -33.467   |9.71     |F7V                  |    ~     ~            |    1|  224.744   pc  |  -1.1163     +1.1163  |paral   |2020yCat.1350....0G
