C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:38:27

dec< 0&rah >=3.5&rah< 3.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2851

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
1   |BD-02 647                                                                                                |Star                               |03 31 01.4490139440 -02 07 19.715064420|186.6425324651230 -44.3643663054701|   6.851 -7.246   |10.41    |~                  |    ~     ~          |    1|  735.510   pc  | -10.0621    +10.0621  |paral   |2020yCat.1350....0G
2   |HD 21714                                                                                                 |High Proper Motion Star            |03 30 14.4856431480 -00 29 27.245948928|184.6836560448145 -43.5217056008237|  93.857 68.860   |9.41     |G6V                |    ~     ~          |    1|  156.811   pc  |  -0.4943     +0.4943  |paral   |2020yCat.1350....0G
3   |BD-00 557                                                                                                |Star                               |03 30 48.5047596768 -00 12 25.169858856|184.4989015897985 -43.2341932537585| 21.890 -16.735   |10.49    |F2                 |    ~     ~          |    1|  281.984   pc  |  -1.5983     +1.5983  |paral   |2020yCat.1350....0G
4   |BD-00 558                                                                                                |High Proper Motion Star            |03 30 59.2210562256 -00 26 31.491637836|184.7901209410428 -43.3452174231446|-35.263 -48.489   |10.50    |F8                 |    ~     ~          |    1|  185.860   pc  |  -1.3092     +1.3092  |paral   |2020yCat.1350....0G
5   |BD-00 559                                                                                                |High Proper Motion Star            |03 30 59.7542352888 -00 07 34.207970880|184.4521942201325 -43.1471890876121|   61.669 0.561   |10.20    |F8                 |    ~     ~          |    1|  113.793   pc  |  -0.2603     +0.2603  |paral   |2020yCat.1350....0G
6   |HD 21822                                                                                                 |Double or Multiple Star            |03 31 03.9842485932 -00 28 52.298910471|184.8492515587751 -43.3538674701842|-11.495 -25.436   |6.635    |A1V                |0.0017  0.0          |    1|  192.5224  pc  | -16.6162    +16.6162  |paral   |2018yCat.1345....0G
7   |HD 22007                                                                                                 |Spectroscopic Binary               |03 32 48.4484108520 -00 30 09.669392388|185.2410008782229 -43.0247382528898|   3.366 24.985   |8.49     |G6/8IV             |    ~     ~          |    1|  211.698   pc  |  -6.4939     +6.4939  |paral   |2020yCat.1350....0G
8   |HD 22109                                                                                                 |Star                               |03 33 40.7520940200 -00 23 53.231469396|185.3115094793274 -42.7886063180797|  11.815 -0.957   |8.66     |K2III              |    ~     ~          |    1|  695.701   pc  | -10.8900    +10.8900  |paral   |2020yCat.1350....0G
9   |BD-01 505                                                                                                |Star                               |03 31 35.4676353528 -00 52 05.175275412|185.3799687809387 -43.4892193155045| -5.928 -10.244   |10.34    |F8                 |    ~     ~          |    1|  195.225   pc  |  -0.7318     +0.7318  |paral   |2020yCat.1350....0G
10  |HD 22034                                                                                                 |Star                               |03 33 03.6909149688 -01 17 43.621796292|186.1555770873149 -43.4590717159437|   9.797 -2.900   |9.04     |G8III              |    ~     ~          |    1|  411.370   pc  | -15.6026    +15.6026  |paral   |2020yCat.1350....0G
