C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:01:59

Vmag< 11&dec< 0&rah >=3.75&rah< 4.0
-----------------------------------

Number of objects : 2900

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------
1   |HD 23744                                                              |Star                           |03 47 27.1706769024 -02 18 03.256637148|190.1179237691449 -41.1440247109278| 37.018 -17.690   |8.95     |F6V                 |    ~     ~    
2   |HD 24031                                                              |Double or Multiple Star        |03 49 38.6476500 -02 19 42.843388      |190.5602381985 -40.7096254332      |  -59.61 -41.43   |7.23     |F8V                 |    ~     ~    
3   |HD 24078                                                              |High Proper Motion Star        |03 50 00.4366830792 -02 17 05.634886848|190.5806204020746 -40.6101419643383| 74.865 -18.526   |9.06     |F7V                 |    ~     ~    
4   |HD 24383                                                              |High Proper Motion Star        |03 52 38.2566541176 -02 19 42.745875060|191.1146781068110 -40.0924786294944| 55.959 -37.923   |8.89     |G0V                 |    ~     ~    
5   |BD-02 720                                                             |High Proper Motion Star        |03 47 32.3685658512 -02 12 17.335652868|190.0296667007122 -41.0713660295679|  40.361 29.791   |10.347   |~                   |    ~     ~    
6   |BD-02 740                                                             |Star                           |03 52 11.8336934160 -02 17 04.865122572|190.9862914551995 -40.1587179930052|   -5.824 3.330   |10.24    |~                   |    ~     ~    
7   |BD-00 599                                                             |Star                           |03 47 28.9512883512 -00 21 23.184094392|188.0391008090856 -40.0089889150132| -3.736 -30.332   |10.6     |F5                  |    ~     ~    
8   |HD 23515                                                              |Star                           |03 45 48.4271806536 -00 52 59.703482676|188.2739634050946 -40.6577505912436|   42.669 6.877   |10.193   |G0V                 |    ~     ~    
9   |HD 23539                                                              |Star                           |03 45 59.6085306192 -01 10 15.540075264|188.6175537477333 -40.7887218466971|  23.109 -3.197   |9.84     |K0/1(III)           |    ~     ~    
10  |HD 23681                                                              |Star                           |03 46 57.6094387104 -01 26 32.673137280|189.0947011791439 -40.7504754785373|   7.935 16.953   |10.31    |A9V                 |    ~     ~    
11  |HD 23703                                                              |Star                           |03 47 08.1405825456 -01 27 17.920428984|189.1417997408954 -40.7220400965745|   8.151 -5.012   |9.47     |K(1)(III)           |    ~     ~    
