C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:41:41

dec< 0&rah >=4.0&rah< 4.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 3224

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 25542                                                                                                 |Star                               |04 03 18.4275332784 -02 21 44.963032860|193.0515859934763 -37.8927575707274|   25.369 0.060   |8.20     |K0III          |    ~     ~    |    1|  306.035   pc  |  -2.0792     +2.0792  |paral   |2020yCat.1350....0G
2   |HD 25752                                                                                                 |Star                               |04 04 53.3917241976 -02 25 37.615518552|193.3924884413729 -37.5964421497016|-11.111 -12.513   |7.06     |A0V            |    ~     ~    |    1|  135.881   pc  |  -0.6148     +0.6148  |paral   |2020yCat.1350....0G
3   |HD 26053                                                                                                 |High Proper Motion Star            |04 07 22.3845375024 -02 22 01.877052612|193.7518648910341 -37.0426966696059|  50.001 12.600   |8.53     |F7V            |    ~     ~    |    1|   98.241   pc  |  -0.1795     +0.1795  |paral   |2020yCat.1350....0G
4   |BD-02 778                                                                                                |Star                               |04 02 23.3443117368 -02 18 43.718893524|192.8389703734788 -38.0571765176675|   14.285 7.036   |10.952   |~              |    ~     ~    |    1|  599.741   pc  | -23.8500    +23.8500  |ST-L    |2020AJ....160...83S
5   |HD 25501                                                                                                 |Star                               |04 02 58.8390038664 -00 03 47.774258280|190.5944041330373 -36.6796137580591|   39.842 6.153   |8.98     |F5V            |    ~     ~    |    1|  184.699   pc  |  -0.5868     +0.5868  |paral   |2020yCat.1350....0G
6   |HD 25750                                                                                                 |Star                               |04 04 57.9666814704 -00 11 18.784054500|191.0722939718148 -36.3411784865885|   9.844 19.738   |9.24     |A8/9V          |    ~     ~    |    1|  197.375   pc  |  -5.3605     +5.3605  |paral   |2020yCat.1350....0G
7   |HD 25789                                                                                                 |High Proper Motion Star            |04 05 16.0463845080 -00 34 08.653024776|191.5160756460358 -36.4926236130235|  7.279 -54.975   |7.0      |F3/5IV/V       |    ~     ~    |    1|   94.757   pc  |  -0.1742     +0.1742  |paral   |2020yCat.1350....0G
8   |HD 25896                                                                                                 |Star                               |04 06 09.0957640968 -00 01 15.756613320|191.1077638148171 -36.0019522034509|   12.616 2.918   |8.38     |G8IV           |    ~     ~    |    1|  324.707   pc  |  -3.3739     +3.3739  |paral   |2020yCat.1350....0G
9   |HD 25187                                                                                                 |Star                               |04 00 01.4461781232 -01 28 01.820175888|191.5296031498096 -38.0813904031180|   7.075 14.749   |8.84     |G8/K0IV        |    ~     ~    |    1|  388.908   pc  |  -3.7359     +3.7359  |paral   |2020yCat.1350....0G
10  |HD 25339                                                                                                 |Star                               |04 01 34.5306054816 -00 59 37.363718904|191.3084343674806 -37.4948974317662|   -2.030 5.836   |9.56     |A9V            |    ~     ~    |    1|  236.675   pc  |  -1.6188     +1.6188  |paral   |2020yCat.1350....0G
