C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:43:24

dec< 0&rah >=4.25&rah< 4.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 3385

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |BD-00 663                                                                                                                                   |Star                                  |04 15 00.9604168776 -00 32 10.848142860|193.1379292622752 -34.4442285008334| -15.365 -3.072     |9.73     |K0              |    ~     ~    |    1|  552.975   pc  |  -6.2379     +6.2379    |paral   |2020yCat.1350....0G
2   |HD 26992                                                                                                                                    |Star                                  |04 15 58.1352568752 -00 27 12.272319936|193.2113708207884 -34.1993850321941| 23.084 -13.615     |9.21     |F0V             |    ~     ~    |    1|  189.926   pc  |  -0.6818     +0.6818    |paral   |2020yCat.1350....0G
3   |HD 27063                                                                                                                                    |High Proper Motion Star               |04 16 30.2412812112 -00 34 22.092673404|193.4204984451002 -34.1523186527034|-61.099 -172.101    |8.07     |G3V             |    ~     ~    |    1|   42.988   pc  |  -0.0479     +0.0479    |paral   |2020yCat.1350....0G
4   |BD-00 674                                                                                                                                   |Star                                  |04 17 35.9489509368 -00 28 43.474503504|193.5049223862710 -33.8714266188679|  11.442 -2.832     |10.766   |F8              |    ~     ~    |    1|  194.491   pc  |  -2.1800     +2.1800    |ST-L    |2020AJ....160...83S
5   |BD-00 675                                                                                                                                   |Star                                  |04 17 46.7100390936 -00 10 10.270368408|193.2223624184428 -33.6653768450235| -11.109 14.630     |10.1     |F8              |    ~     ~    |    1|  153.931   pc  |  -0.3886     +0.3886    |paral   |2020yCat.1350....0G
6   |BD-00 677                                                                                                                                   |Star                                  |04 18 08.3800244976 -00 07 55.950972240|193.2440003428896 -33.5693563391436|  12.921 14.143     |9.43     |F8              |    ~     ~    |    1|  197.480   pc  |  -0.6747     +0.6747    |paral   |2020yCat.1350....0G
7   |BD-00 680                                                                                                                                   |Star                                  |04 18 16.4720499144 -00 16 03.776742768|193.4024461824402 -33.6149522298915|  6.631 -33.043     |9.02     |K2              |    ~     ~    |    1|  403.193   pc  |  -2.9912     +2.9912    |paral   |2020yCat.1350....0G
8   |BD-00 681                                                                                                                                   |High Proper Motion Star               |04 18 21.2263415568 -00 18 06.583925916|193.4497576829150 -33.6169000409277|  24.571 43.739     |9.46     |G5              |    ~     ~    |    1|  128.064   pc  |  -0.2673     +0.2673    |paral   |2020yCat.1350....0G
9   |HD 26914                                                                                                                                    |Star                                  |04 15 10.7132615256 -01 13 13.350975816|193.8624133166552 -34.7819112693752|  13.094 -2.121     |8.63     |K1III           |    ~     ~    |    1|  427.991   pc  |  -4.7259     +4.7259    |paral   |2020yCat.1350....0G
10  |BD-01 606                                                                                                                                   |Star                                  |04 15 14.0818842168 -01 20 55.840596144|194.0033452767953 -34.8394630804513| 19.992 -17.280     |10.874   |F5              |    ~     ~    |    1|  429.350   pc  | -10.3000    +10.3000    |ST-L    |2020AJ....160...83S
