C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:45:06

dec< 0&rah >=4.5&rah< 4.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 3608

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |BD-02 961                                                                                                |Star                                |04 37 31.4420 -02 32 10.297            |198.6640040 -30.7061377            |   8.260 -4.332   |8.89     |K0               |    ~     ~    |    1|  189.897   pc  |  -2.9770     +2.9770    |ST-L    |2020AJ....160...83S
2   |BD-02 951                                                                                                |Star                                |04 35 56.4075604704 -02 36 32.125173948|198.5043412271806 -31.0842916049444|  10.473 -3.276   |9.92     |~                |    ~     ~    |    1|  673.083   pc  |  -6.3426     +6.3426    |paral   |2020yCat.1350....0G
3   |BD-02 967                                                                                                |Star                                |04 37 56.2203905208 -02 35 11.646879144|198.7750440970628 -30.6424618410242|  -4.658 -7.679   |9.58     |~                |    ~     ~    |    1|  711.491   pc  | -15.6928    +15.6928    |paral   |2020yCat.1350....0G
4   |HD 28570                                                                                                 |Star                                |04 30 11.7908786328 -00 09 14.176975248|195.1847598222753 -31.0402984187669| -16.904 12.412   |9.47     |F7V              |    ~     ~    |    1|  120.563   pc  |  -0.2893     +0.2893    |paral   |2020yCat.1350....0G
5   |BD-00 709                                                                                                |Star                                |04 30 27.1248874992 -00 36 22.896399420|195.6728560289052 -31.2252699016276|  -5.388 12.410   |10.109   |F2               |    ~     ~    |    1|  218.442   pc  |  -3.2040     +3.2040    |ST-L    |2020AJ....160...83S
6   |HD 28726                                                                                                 |Star                                |04 31 42.4868777352 -00 40 55.344100800|195.9408895127557 -30.9979920658405|   2.017 10.548   |9.20     |K2/3III          |    ~     ~    |    1|  859.254   pc  | -13.9542    +13.9542    |paral   |2020yCat.1350....0G
7   |* 45 Eri                                                                                                 |Star                                |04 31 52.6686292560 -00 02 38.439836664|195.3356430882046 -30.6256052622845|  -1.469 -7.681   |4.896    |K0/1III          |    ~     ~    |    1|  267.180   pc  |  -7.1242     +7.1242    |paral   |2020yCat.1350....0G
8   |HD 28609                                                                                                 |Star                                |04 30 39.9012985344 -00 49 25.991692464|195.9220437978741 -31.2943891059247|   -9.629 8.131   |9.97     |A0V              |    ~     ~    |    1|  397.519   pc  |  -3.1446     +3.1446    |paral   |2020yCat.1350....0G
9   |BD-01 657                                                                                                |Star                                |04 30 41.7260758896 -01 26 18.096023796|196.5408404625426 -31.6089949177074|   2.512 -2.609   |9.32     |K0               |    ~     ~    |    1|  565.036   pc  |  -6.7365     +6.7365    |paral   |2020yCat.1350....0G
10  |BD-01 658                                                                                                |Star                                |04 31 10.4564335320 -00 49 30.963928080|196.0015324744413 -31.1867403515277|    0.926 2.115   |10.1     |G5               |    ~     ~    |    1|  735.781   pc  |  -8.8785     +8.8785    |paral   |2020yCat.1350....0G
