C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:08:41

Vmag< 11&dec< 0&rah >=4.75&rah< 5.0
-----------------------------------

Number of objects : 3873

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
1   |BD-02 1016                                                                                               |Star                                  |04 47 44.5945074192 -02 34 39.538198740|200.1724196011154 -28.5160768526485|   -5.253 8.384   |9.57     |G8              |    ~     ~    
2   |HD 30591                                                                                                 |Star                                  |04 48 44.5295706312 -02 38 11.714273664|200.3709084413054 -28.3283617852059|-18.905 -18.352   |8.96     |K0/1III         |    ~     ~    
3   |HD 31020                                                                                                 |Star                                  |04 52 17.6874490992 -02 36 48.613905756|200.8426348344711 -27.5447654154736|    8.568 1.629   |8.55     |K1IIICNII       |    ~     ~    
4   |BD-02 1012                                                                                               |Star                                  |04 47 01.5736373544 -02 38 50.029334484|200.1403047738862 -28.7061077462184|   -2.753 4.404   |9.98     |~               |    ~     ~    
5   |HD 30288                                                                                                 |Star                                  |04 46 15.6695450112 -00 23 30.064454952|197.8191970889687 -27.7357909521092|   8.524 20.305   |9.55     |F7V             |    ~     ~    
6   |BD-00 766                                                                                                |Star                                  |04 46 27.0505031544 -00 41 46.182174396|198.1425216519386 -27.8504413420898| -10.054 -8.786   |10.6     |F5              |    ~     ~    
7   |BSD 96-370                                                                                               |Star                                  |04 47 00.0 -00 23 00                   |197.9177 -27.5728                  |            ~ ~   |10.78    |M               |    ~     ~    
8   |BD-00 769                                                                                                |Star                                  |04 47 01.1616330936 -00 33 12.117750048|198.0855141285521 -27.6553929168072|   4.718 -4.559   |10.6     |F2              |    ~     ~    
9   |HD 30436                                                                                                 |Star                                  |04 47 41.3798451504 -00 05 19.859008668|197.7320097376350 -27.2739844156186|  6.336 -24.936   |8.00     |F2V             |    ~     ~    
10  |HD 30510                                                                                                 |Star                                  |04 48 15.7800963336 -00 23 27.318478632|198.1066025175403 -27.3051120710595|   4.774 -9.381   |8.44     |K2III           |    ~     ~    
