C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:49:21

dec< 0&rah >=5.0&rah< 5.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 4311

 #  |                                                                 identifier                                                                 |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |HD 32264                                                                                                                                    |Star                               |05 01 38.5713815016 -02 43 14.535830496|202.2185459187246 -25.5581291706900| 11.861 -14.413    |8.30     |A1/2V          |    ~     ~    |    1|  175.061   pc  |  -1.1554     +1.1554    |paral   |2020yCat.1350....0G
2   |HD 32024                                                                                                                                    |Star                               |05 00 15.0606050160 -00 11 37.627723608|199.6000807929304 -24.6184400592863|  20.109 -2.806    |8.09     |F2V            |    ~     ~    |    1|  117.357   pc  |  -0.3512     +0.3512    |paral   |2020yCat.1350....0G
3   |G 84-28                                                                                                                                     |High Proper Motion Star            |05 00 39.2350887816 -00 09 36.867677976|199.6235094118470 -24.5144350562591|245.179 -127.651   |10.2     |K0             |    ~     ~    |    1|   72.260   pc  |  -0.0982     +0.0982    |paral   |2020yCat.1350....0G
4   |HD 32098                                                                                                                                    |Star                               |05 00 41.7061662408 -00 02 31.499637936|199.5167498194347 -24.4464146189733|  -4.264 -1.948    |9.52     |A0/1V          |    ~     ~    |    1|  497.463   pc  |  -5.5681     +5.5681    |paral   |2020yCat.1350....0G
5   |BD-00 821                                                                                                                                   |Star                               |05 00 42.2577310656 -00 40 56.195523012|200.1283588030740 -24.7636457010543|  5.792 -16.078    |9.32     |K0             |    ~     ~    |    1|  440.490   pc  |  -4.4045     +4.4045    |paral   |2020yCat.1350....0G
6   |HD 32114                                                                                                                                    |Star                               |05 00 48.8072783424 -00 30 03.177888660|199.9700521129975 -24.6497792528399|    0.622 0.038    |9.49     |A0V            |    ~     ~    |    1|  375.516   pc  |  -3.7650     +3.7650    |paral   |2020yCat.1350....0G
7   |BD-00 824                                                                                                                                   |Star                               |05 00 56.7668055768 -00 22 07.252317804|199.8621341145988 -24.5551782149126|  18.888 22.869    |10.8     |G0             |    ~     ~    |    1|  248.657   pc  |  -1.1562     +1.1562    |paral   |2020yCat.1350....0G
8   |HD 32176                                                                                                                                    |High Proper Motion Star            |05 01 10.5203321520 -00 09 44.182763820|199.6969971414818 -24.4025342543523|-79.787 -99.509    |9.08     |F8/G0V         |    ~     ~    |    1|   84.492   pc  |  -0.1306     +0.1306    |paral   |2020yCat.1350....0G
9   |HD 32219                                                                                                                                    |Star                               |05 01 25.6562206872 -00 41 48.866160948|200.2411164247602 -24.6139404612202|  9.849 -25.049    |6.6      |ApSrEuCr       |    ~     ~    |    1|  195.959   pc  |  -0.9869     +0.9869    |paral   |2020yCat.1350....0G
10  |BD-00 828                                                                                                                                   |Star                               |05 02 21.8070984600 -00 35 44.206540476|200.2719561901143 -24.3605552030500|    5.105 7.351    |9.45     |M0             |    ~     ~    |    1|  942.152   pc  | -20.6822    +20.6822    |paral   |2020yCat.1350....0G
