C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:51:48

dec< 0&rah >=5.25&rah< 5.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 4690

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------------|-----|----------------|-------------------------|--------|-------------------
1   |NGC 1904 148                       NGC 1904 148                                                                                             |Hot Subdwarf Candidate                |05 24 10.6560947640 -24 32 46.679171244|227.2532210972462 -29.3583000780583|   2.450 -1.047   |17.24    |~                |    ~     ~          |    0|                |                         |        |                   
2   |HD 294008                                                                                                                                   |Star                                  |05 23 06.1613068752 -02 44 26.860135596|205.0170229732630 -20.8561755926209|  3.074 -20.851   |10.33    |K0               |    ~     ~          |    1|  704.722   pc  |  -9.2374     +9.2374    |paral   |2020yCat.1350....0G
3   |HD 290074                                                                                                                                   |Star                                  |05 15 01.7984138256 -00 18 23.008793040|201.6894116235303 -21.4611681931363|   -7.007 3.749   |9.57     |K0               |    ~     ~          |    1|  558.597   pc  |  -5.6165     +5.6165    |paral   |2020yCat.1350....0G
4   |HD 290137                                                                                                                                   |Star                                  |05 15 18.3783298560 -00 00 23.313029652|201.4446644967479 -21.2543696923410|   0.956 -2.307   |10.8     |A2               |    ~     ~          |    1|  640.410   pc  | -10.7453    +10.7453    |paral   |2020yCat.1350....0G
5   |HD 290138                                                                                                                                   |Spectroscopic Binary                  |05 15 28.1075525928 -00 01 52.965814584|201.4892422161858 -21.2311911170883|    1.923 4.745   |10.7     |F5               |    ~     ~          |    1|  372.093   pc  |  -2.4091     +2.4091    |paral   |2020yCat.1350....0G
6   |HD 290140                                                                                                                                   |Star                                  |05 15 31.6390610568 -00 14 41.193441168|201.6967897412888 -21.3225740037113|   0.930 -0.284   |10.18    |F0               |    ~     ~          |    1|  342.595   pc  |  -5.3756     +5.3756    |paral   |2020yCat.1350....0G
7   |HD 290139                                                                                                                                   |Star                                  |05 15 37.3842976320 -00 08 50.820380304|201.6181596314005 -21.2541807365298|   8.649 -8.891   |9.74     |F2               |    ~     ~          |    1|  224.911   pc  |  -0.9763     +0.9763    |paral   |2020yCat.1350....0G
8   |HD 290149                                                                                                                                   |Star                                  |05 15 48.4985450167 -00 37 36.761867275|202.0919741481487 -21.4471930269788| -9.539 -13.164   |10.9     |F8               |    ~     ~          |    0|                |                         |        |                   
9   |HD 290135                                                                                                                                   |Star                                  |05 15 55.6830955248 -00 04 10.553914920|201.5852281715327 -21.1496267178964|   -4.284 2.806   |8.92     |K0               |    ~     ~          |    1|  421.852   pc  |  -3.7015     +3.7015    |paral   |2020yCat.1350....0G
10  |HD 34264                                                                                                                                    |Double or Multiple Star               |05 16 11.339 -00 46 07.26              |202.274791 -21.432775              |  123.90 101.50   |9.08     |G3/5V            |    ~     ~          |    0|                |                         |        |                   
11  |HD 290144                                                                                                                                   |Star                                  |05 16 16.4968993560 -00 19 48.061320528|201.8743994222130 -21.2009079211265|  31.900 -4.136   |10.27    |F8               |    ~     ~          |    1|  197.934   pc  |  -2.1078     +2.1078    |paral   |2020yCat.1350....0G
12  |HD 290134                                                                                                                                   |Double or Multiple Star               |05 16 19.319448 -00 13 35.57928        |201.783640585 -21.140237054        |       9.0 -0.6   |10.362   |G5               |    ~     ~          |    0|                |                         |        |                   
13  |HD 34306                                                                                                                                    |Star                                  |05 16 30.0722683008 -00 15 46.770659892|201.8411603845670 -21.1188658185183|   4.526 -5.812   |8.45     |K1II/III         |    ~     ~          |    1|  438.385   pc  |  -4.6508     +4.6508    |paral   |2020yCat.1350....0G
14  |HD 290132                                                                                                                                   |Star                                  |05 16 38.5630891032 -00 08 23.560559232|201.7444246062675 -21.0279775272617|   -3.820 2.103   |10.6     |A3               |    ~     ~          |    1|  501.203   pc  |  -8.6414     +8.6414    |paral   |2020yCat.1350....0G
15  |HD 290131                                                                                                                                   |Star                                  |05 17 07.7899319256 -00 07 07.053398436|201.7881251139377 -20.9112880697382|    8.412 5.810   |10.58    |F2               |    ~     ~          |    1|  400.962   pc  |  -2.2669     +2.2669    |paral   |2020yCat.1350....0G
