C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:15:41

Vmag< 11&dec< 0&rah >=5.5&rah< 5.75
-----------------------------------

Number of objects : 5061

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
1   |HD 290494                                                                                                                                                                      |Star                                  |05 30 29.5493315736 -00 19 21.964548648|203.6878362632137 -18.0836409236536|  19.389 16.005   |9.78     |F8                |    ~     ~    
2   |HD 290515                                                                                                                                                                      |Star                                  |05 30 29.1493293384 -00 50 50.724434868|204.1725258494213 -18.3352025854158|   1.485 -1.190   |9.29     |A0                |    ~     ~    
3   |V* V1093 Ori                                                                                                                                                                   |alpha2 CVn Variable                   |05 30 45.2295918768 -00 22 24.267744120|203.7674584443948 -18.0504313249656|    1.991 5.639   |8.21     |ApSi              |    ~     ~    
4   |HD 290490                                                                                                                                                                      |Star                                  |05 30 51.5200297224 -00 08 09.327155352|203.5613154359888 -17.9139007736737|  -0.719 -1.109   |10.00    |A2                |    ~     ~    
5   |HD 290492                                                                                                                                                                      |Double or Multiple Star               |05 31 18.752 -00 29 24.24              |203.945341 -17.983330              |    -1.40 -4.00   |9.39     |A0                |    ~     ~    
6   |* del02 Ori                                                                                                                                                                    |Spectroscopic Binary                  |05 32 00.4064140728 -00 17 04.347484800|203.8425063027081 -17.7327668402286|   1.523 -1.653   |6.83     |B2Vsn             |    ~     ~    
7   |HD 36605                                                                                                                                                                       |Star                                  |05 32 49.6500278880 -00 42 47.265495372|204.3407953653083 -17.7563329449711|  -3.502 -6.208   |7.96     |B9II/III          |    ~     ~    
8   |HD 36669                                                                                                                                                                       |Star                                  |05 33 25.0048131816 -00 47 01.527720108|204.4794324836396 -17.6601904452278|  -1.214 -0.341   |8.91     |B9V               |    ~     ~    
9   |HD 36683                                                                                                                                                                       |Star                                  |05 33 27.5415112632 -00 26 28.922911944|204.1686381239123 -17.4882718956252|   3.360 -6.417   |8.32     |K1IIICNII         |    ~     ~    
10  |HD 36694                                                                                                                                                                       |Star                                  |05 33 37.9694984112 -00 15 43.236352692|204.0249919842971 -17.3646864610533|   -5.643 9.188   |9.12     |A0III/IV          |    ~     ~    
11  |HD 36709                                                                                                                                                                       |Star                                  |05 33 45.4515497424 -00 01 44.146245864|203.8259751316353 -17.2261528998352|   -1.831 0.574   |8.33     |B9V               |    ~     ~    
12  |HD 36726                                                                                                                                                                       |Star                                  |05 33 51.7278163992 -00 04 36.342051096|203.8830492091416 -17.2259915273939|  -2.940 -4.521   |8.82     |hA5VkA0mA0_lB     |    ~     ~    
13  |HD 290572                                                                                                                                                                      |Spectroscopic Binary                  |05 33 54.5445906960 -00 06 21.223590696|203.9157194239401 -17.2295698088231|  -3.005 -4.471   |10.48    |F0                |    ~     ~    
14  |HD 36760                                                                                                                                                                       |Star                                  |05 34 02.2626354528 -00 28 34.780179936|204.2729664037749 -17.3776228414691|   1.484 -1.029   |7.64     |B8V               |    ~     ~    
15  |HD 36778                                                                                                                                                                       |Star                                  |05 34 05.8547446584 -00 16 14.556555588|204.0909587691540 -17.2666606738024|   1.708 -0.723   |9.37     |B9V               |    ~     ~    
16  |HD 290644                                                                                                                                                                      |High Proper Motion Star               |05 34 26.3634769392 -00 22 54.683180724|204.2358970475525 -17.2443711347297| 38.153 -59.733   |9.33     |G0                |    ~     ~    
17  |HD 36825                                                                                                                                                                       |Star                                  |05 34 24.8784104976 -00 45 47.794653144|204.5845290093636 -17.4308356602013|   1.879 -1.171   |8.68     |A0V               |    ~     ~    
18  |HD 36840                                                                                                                                                                       |Star                                  |05 34 29.2858199280 -00 00 44.447199012|203.9019074644098 -17.0577232524204|  -4.938 -3.908   |6.251    |G8II/III          |    ~     ~    
19  |HD 36841                                                                                                                                                                       |Star                                  |05 34 33.7209600072 -00 23 11.498840124|204.2554564847488 -17.2196207811297|   -0.616 1.380   |8.58     |B8V               |    ~     ~    
20  |HD 290666                                                                                                                                                                      |Star                                  |05 34 36.9296453472 -00 53 00.312139500|204.7203670311688 -17.4434980583854|   -1.151 0.817   |10.03    |B8                |    ~     ~    
21  |HD 290648                                                                                                                                                                      |Star                                  |05 34 55.2749692056 -00 36 59.069696652|204.5119310041219 -17.2497102387923|  -2.036 -0.738   |9.65     |A0                |    ~     ~    
22  |HD 36898                                                                                                                                                                       |Star                                  |05 34 56.4875047344 -00 07 22.325288700|204.0600208008932 -17.0107486834480|  -2.813 -2.453   |7.151    |B8II              |    ~     ~    
23  |HD 36915                                                                                                                                                                       |Star                                  |05 35 00.2944327920 -00 48 56.029658688|204.7059975103824 -17.3256337424818|   -1.410 0.832   |8.01     |B8/9V             |    ~     ~    
24  |HD 36935                                                                                                                                                                       |Star                                  |05 35 09.2062368264 -00 16 10.560744192|204.2213617056648 -17.0339576149013|    1.127 0.013   |7.474    |B8V               |    ~     ~    
25  |HD 290665                                                                                                                                                                      |Star                                  |05 35 10.5066304368 -00 50 12.984148392|204.7468100659926 -17.2982664182661|  -2.033 -0.759   |9.44     |B9                |    ~     ~    
26  |HD 36954                                                                                                                                                                       |Spectroscopic Binary                  |05 35 12.7873461000 -00 44 07.310794920|204.6578162525188 -17.2418210195469|    1.648 1.516   |6.975    |B5III             |    ~     ~    
27  |HD 290652                                                                                                                                                                      |Star                                  |05 35 26.6287056600 -00 22 24.607278876|204.3530502707293 -17.0194557497641|   2.398 -1.334   |10.42    |A5                |    ~     ~    
28  |HD 290650                                                                                                                                                                      |Star                                  |05 35 36.9436377840 -00 30 21.158964000|204.4962459319964 -17.0444464429310|  -0.842 -1.441   |10.21    |A3                |    ~     ~    
29  |HD 290661                                                                                                                                                                      |Star                                  |05 35 55.1113665312 -00 42 51.755282172|204.7258260338982 -17.0765572186395|  -0.929 -0.517   |10.9     |A2                |    ~     ~    
30  |HD 290654                                                                                                                                                                      |Star                                  |05 35 57.6382149960 -00 18 56.401516620|204.3639812516567 -16.8782849048406|  -0.789 -0.585   |10.25    |A2                |    ~     ~    
31  |HD 290662                                                                                                                                                                      |Star                                  |05 35 55.5048586944 -00 46 39.293735808|204.7848947778338 -17.1050144131117|    2.942 0.782   |9.83     |~                 |    ~     ~    
32  |HD 37111                                                                                                                                                                       |Star                                  |05 36 05.8734764952 -00 19 41.553491340|204.3925393835137 -16.8540407392041|  -1.358 -0.647   |8.83     |A0V               |    ~     ~    
33  |HD 37112                                                                                                                                                                       |Star                                  |05 36 03.5827791168 -00 46 47.854332012|204.8037380106053 -17.0764853784139|   0.701 -0.640   |8.00     |B7/8II/III        |    ~     ~    
34  |HD 290658                                                                                                                                                                      |Star                                  |05 36 15.2521090656 -00 24 45.926285796|204.4896790270955 -16.8597619127943|  3.090 -16.203   |10.15    |F2                |    ~     ~    
35  |HD 290660                                                                                                                                                                      |Star                                  |05 36 29.7442558464 -00 36 25.078701888|204.6983007999800 -16.8986112669404|   -0.865 1.294   |10.8     |A3                |    ~     ~    
36  |HD 290657                                                                                                                                                                      |Star                                  |05 36 45.0269381496 -00 23 40.186483620|204.5343365160879 -16.7418791039982|   -0.688 0.525   |9.42     |B9                |    ~     ~    
37  |HD 37235                                                                                                                                                                       |Star                                  |05 36 57.3720663192 -00 42 06.947220276|204.8426309141217 -16.8421203484086|  -0.910 -0.537   |8.13     |B8IV/V            |    ~     ~    
38  |HD 290732                                                                                                                                                                      |Double or Multiple Star               |05 37 12.3316578168 -00 22 57.270890532|204.5796768123975 -16.6360544982408|   -0.612 0.643   |10.11    |A0                |    ~     ~    
39  |HD 37256                                                                                                                                                                       |Star                                  |05 37 12.0668141808 -00 11 46.591604448|204.4079927191002 -16.5486646630705|  -2.103 -2.117   |8.93     |A0V               |    ~     ~    
40  |HD 37257                                                                                                                                                                       |Star                                  |05 37 11.8262667360 -00 27 33.778525896|204.6492382315626 -16.6742977916383|   0.012 -6.253   |8.63     |B9V               |    ~     ~    
41  |HD 290730                                                                                                                                                                      |Red Giant Branch star Candidate       |05 37 16.2603375696 -00 13 55.851438036|204.4496136618323 -16.5503249347160|   -1.464 3.933   |9.66     |K0                |    ~     ~    
42  |HD 37284                                                                                                                                                                       |Star                                  |05 37 23.2312152696 -00 41 50.891723916|204.8917162902680 -16.7450677207709|  -0.762 -0.193   |8.96     |A0V               |    ~     ~    
43  |HD 290748                                                                                                                                                                      |Star                                  |05 37 28.9094490456 -00 55 47.315140896|205.1173249665375 -16.8338884065336|  -0.931 -0.667   |10.31    |A3                |    ~     ~    
44  |HD 290517                                                                                                                                                                      |Variable Star                         |05 30 10.2018386856 -01 01 40.971783468|204.3004930301611 -18.4904907124320|   -0.521 0.662   |8.98     |A0                |    ~     ~    
45  |HD 290516                                                                                                                                                                      |Star                                  |05 30 16.4959657344 -00 53 29.437632816|204.1869813048720 -18.4025409907224|   -1.107 0.220   |9.51     |B9                |    ~     ~    
46  |HD 290540                                                                                                                                                                      |Star                                  |05 31 31.3594334784 -01 49 33.282752592|205.2105658882794 -18.5697629493749|   0.100 -0.495   |9.56     |A2                |    ~     ~    
47  |HD 36444                                                                                                                                                                       |Star                                  |05 31 40.4818564152 -01 07 33.281183208|204.5791885996210 -18.2057902685386|    0.270 1.846   |9.00     |B9V               |    ~     ~    
