C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:57:10

dec< 0&rah >=5.75&rah< 6.0&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 5111

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 290869                                                             |Star                                  |05 46 25.5360592632 -00 40 17.949042948|205.9724878474180 -14.7391273917690|  -0.042 -0.477  |9.33     |F0               |    ~     ~    |    1|  280.796   pc  |  -1.8292     +1.8292  |paral   |2020yCat.1350....0G
2   |HD 38530                                                              |Star                                  |05 46 25.8813963264 -00 45 45.240554592|206.0562556815606 -14.7804297189171|  -28.844 1.012  |8.95     |F0               |    ~     ~    |    1|  208.364   pc  |  -0.8379     +0.8379  |paral   |2020yCat.1350....0G
3   |HD 38590                                                              |Star                                  |05 46 55.5236751528 -00 53 38.435530776|206.2361330545524 -14.7327639835026| -0.912 -38.283  |9.50     |F5/6V            |    ~     ~    |    1|  218.064   pc  |  -2.0115     +2.0115  |paral   |2020yCat.1350....0G
4   |HD 38784                                                              |Star                                  |05 48 10.2285211008 -00 44 56.168376432|206.2539409874812 -14.3898082792772|  -1.854 -8.198  |8.12     |K0III            |    ~     ~    |    1|  396.684   pc  |  -4.0598     +4.0598  |paral   |2020yCat.1350....0G
5   |HD 38799                                                              |Star                                  |05 48 16.8888133536 -00 40 11.833432824|206.1952649463094 -14.3283507573594|  1.798 -11.181  |9.37     |F0V              |    ~     ~    |    1|  263.685   pc  |  -1.4045     +1.4045  |paral   |2020yCat.1350....0G
6   |HD 38406                                                              |High Proper Motion Star               |05 45 28.7949099456 -01 36 54.405700308|206.7221865452535 -15.3886749375738|134.428 -59.810  |8.19     |G1/2V            |    ~     ~    |    1|   59.555   pc  |  -0.0869     +0.0869  |paral   |2020yCat.1350....0G
7   |HD 290879                                                             |Star                                  |05 45 27.4673604096 -01 54 29.973211092|206.9888784777214 -15.5298608332992| -8.248 -17.957  |9.61     |F0               |    ~     ~    |    1|  249.345   pc  |  -1.1751     +1.1751  |paral   |2020yCat.1350....0G
8   |HD 38506                                                              |Star                                  |05 46 12.4307298072 -01 31 24.630025296|206.7258211203559 -15.1851772884308|   -2.568 1.977  |9.44     |A0V              |    ~     ~    |    1|  382.453   pc  |  -3.5690     +3.5690  |paral   |2020yCat.1350....0G
9   |HD 38608                                                              |Star                                  |05 46 53.8823936040 -01 40 54.856480512|206.9542676492635 -15.1059858246807|    0.321 0.588  |9.53     |A0V              |    ~     ~    |    1|  374.967   pc  |  -3.7400     +3.7400  |paral   |2020yCat.1350....0G
10  |HD 290877                                                             |Star                                  |05 46 54.7941213888 -01 43 10.456123548|206.9906460077811 -15.1201196166040|  -2.511 -7.149  |9.51     |F0               |    ~     ~    |    1|  296.534   pc  |  -1.4597     +1.4597  |paral   |2020yCat.1350....0G
11  |HD 38626                                                              |Star                                  |05 47 05.3302780536 -01 22 17.858253504|206.6928499140491 -14.9194599238723|  -2.288 -3.700  |8.95     |A2V              |    ~     ~    |    1|  396.652   pc  | -25.4093    +25.4093  |paral   |2020yCat.1350....0G
12  |HD 290901                                                             |Star                                  |05 48 12.1415630520 -01 48 19.920191400|207.2242309155911 -14.8746645713755|  -8.912 -3.886  |10.29    |F2               |    ~     ~    |    1|  304.423   pc  |  -9.0542     +9.0542  |paral   |2020yCat.1350....0G
13  |HD 38867                                                              |Star                                  |05 48 41.0078218656 -01 47 08.038895244|207.2635811901360 -14.7588905027258|  -0.234 -0.070  |6.92     |K0III            |    ~     ~    |    1|  378.544   pc  | -10.3030    +10.3030  |paral   |2020yCat.1350....0G
14  |HD 290900                                                             |High Proper Motion Star               |05 48 36.9658702416 -01 39 44.037585792|207.1425243128644 -14.7166031121560|120.312 -69.839  |10.19    |G0               |    ~     ~    |    1|  132.314   pc  |  -0.3554     +0.3554  |paral   |2020yCat.1350....0G
15  |HD 38352                                                              |Star                                  |05 45 01.3123440072 -02 30 06.171193512|207.4827919159495 -15.9012323068982|  -7.285 -3.697  |9.15     |A0V              |    ~     ~    |    1|  363.941   pc  | -15.6559    +15.6559  |paral   |2020yCat.1350....0G
16  |HD 294364                                                             |Star                                  |05 45 18.4702961856 -02 44 57.379513884|207.7454457912161 -15.9521521398603|   -0.389 3.724  |9.51     |G0               |    ~     ~    |    1|  139.776   pc  |  -0.3106     +0.3106  |paral   |2020yCat.1350....0G
17  |HD 38734                                                              |Double or Multiple Star               |05 47 47.600136 -02 17 49.67412        |207.626480479 -15.192774681        |      21.0 -9.4  |8.72     |G8III            |    ~     ~    |    0|                |                       |        |                   
18  |HD 294387                                                             |Star                                  |05 47 52.3916605176 -02 45 38.240824608|208.0623855875293 -15.3887934844045|-35.715 -26.173  |9.31     |G5               |    ~     ~    |    1|   47.852   pc  |  -0.0371     +0.0371  |paral   |2020yCat.1350....0G
19  |HD 294362                                                             |Star                                  |05 47 14.8212184008 -02 39 17.905292244|207.8903938509998 -15.4789417403688|   37.924 0.568  |10.92    |G0               |    ~     ~    |    1|  306.260   pc  |  -6.6970     +6.6970  |paral   |2020yCat.1350....0G
20  |HD 294363                                                             |Star                                  |05 47 00.0595657944 -02 44 52.007222256|207.9465107679875 -15.5762260418118|   1.990 -5.421  |9.84     |F0               |    ~     ~    |    1|  234.698   pc  |  -1.4597     +1.4597  |paral   |2020yCat.1350....0G
