C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:00:10

dec< 0&rah >=6.0&rah< 6.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 5768

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 40635                                                              |Star                              |06 00 07.8347492736 -00 30 06.433208964|207.4581270700438 -11.6286516233453|  -3.536 -0.488   |7.87     |B9IV             |    ~     ~    |    1|  246.202   pc  | -10.5168    +10.5168  |paral   |2020yCat.1350....0G
2   |HD 40686                                                              |Star                              |06 00 24.9408227616 -00 41 01.783444668|207.6565493036136 -11.6498637312675|   1.542 -3.128   |8.19     |B9.5V            |    ~     ~    |    1|  373.692   pc  |  -8.7698     +8.7698  |paral   |2020yCat.1350....0G
3   |HD 291029                                                             |Star                              |06 00 37.6987608288 -00 04 21.647151372|207.1292662547120 -11.3192222100359|   3.827 -2.719   |9.23     |G5               |    ~     ~    |    1|  330.251   pc  |  -2.7921     +2.7921  |paral   |2020yCat.1350....0G
4   |HD 291043                                                             |Star                              |06 01 02.4552599616 -00 32 43.408425588|207.6052273890805 -11.4472147377710| -14.074 -1.616   |10.31    |G5               |    ~     ~    |    1|  126.467   pc  |  -0.2735     +0.2735  |paral   |2020yCat.1350....0G
5   |HD 291091                                                             |Star                              |06 02 15.0792309672 -00 29 30.705577548|207.6997824729046 -11.1542520052701|   -4.417 1.912   |10.9     |F5               |    ~     ~    |    1|  240.720   pc  |  -2.9205     +2.9205  |paral   |2020yCat.1350....0G
6   |HD 40984                                                              |Star                              |06 02 16.6677499608 -00 04 57.449198460|207.3334554435056 -10.9586514782384|  1.519 -13.308   |8.48     |A3V              |    ~     ~    |    1|  268.125   pc  |  -4.6657     +4.6657  |paral   |2020yCat.1350....0G
7   |HD 291047                                                             |Star                              |06 00 44.2123424592 -01 01 37.220389860|208.0051750648418 -11.7374396256923|  -3.640 -4.885   |10.80    |F5               |    ~     ~    |    1|  355.758   pc  |  -1.9617     +1.9617  |paral   |2020yCat.1350....0G
8   |HD 291048                                                             |Star                              |06 00 45.5567194056 -01 03 02.323865880|208.0292313098652 -11.7433950672062|-35.570 -14.403   |10.53    |G0               |    ~     ~    |    1|  220.221   pc  |  -0.6741     +0.6741  |paral   |2020yCat.1350....0G
9   |HD 40742                                                              |Star                              |06 00 43.6681410528 -01 36 35.273414196|208.5325104919626 -12.0082554863778| -13.529 -1.670   |9.23     |A8V              |    ~     ~    |    1|  247.054   pc  |  -1.2756     +1.2756  |paral   |2020yCat.1350....0G
10  |HD 40792                                                              |Star                              |06 01 04.0041 -01 34 05.364            |208.5345867 -11.9138941            |       -0.4 8.3   |9.62     |A1(V)+K0/1III    |    ~     ~    |    0|                |                       |        |                   
11  |HD 291111                                                             |Double or Multiple Star           |06 01 44.1242152080 -01 45 32.001724080|208.7862028293563 -11.8532784187103|  -2.716 -0.312   |9.598    |G0               |    ~     ~    |    1|  314.713   pc  |  -4.4372     +4.4372  |paral   |2020yCat.1350....0G
12  |HD 40901                                                              |Star                              |06 01 44.7302801904 -01 40 41.841598332|208.7142601621842 -11.8139763801467|   -5.867 5.600   |7.78     |K0III            |    ~     ~    |    1|  251.566   pc  |  -4.5945     +4.5945  |paral   |2020yCat.1350....0G
13  |HD 40948                                                              |Star                              |06 02 02.7985649592 -01 04 31.596475404|208.2033796121386 -11.4694225981430|  -6.906 -0.441   |9.77     |A1V              |    ~     ~    |    1|  413.343   pc  |  -3.6904     +3.6904  |paral   |2020yCat.1350....0G
14  |HD 291058                                                             |Star                              |06 00 21.8449640088 -01 18 38.135221164|208.2182385861656 -11.9510290016948|      -4.5 -7.3   |10.77    |G0               |    ~     ~    |    0|                |                       |        |                   
15  |HD 291063                                                             |Star                              |06 00 44.2514028816 -01 50 11.036238504|208.7393898960793 -12.1103480416207|  -2.764 -2.049   |10.48    |A3               |    ~     ~    |    1|  398.137   pc  |  -2.6630     +2.6630  |paral   |2020yCat.1350....0G
16  |HD 291105                                                             |Star                              |06 02 23.4682095792 -01 29 08.562336216|208.6154639429463 -11.5821157094102|  -5.930 -0.162   |10.635   |K7               |    ~     ~    |    1|  558.986   pc  | -29.4200    +29.4200  |ST-L    |2020AJ....160...83S
17  |HD 40743                                                              |Star                              |06 00 43.2925700256 -02 03 31.356476892|208.9395119827174 -12.2160232982665|   -4.606 0.373   |9.73     |A1/2V            |    ~     ~    |    1|  301.905   pc  |  -1.9323     +1.9323  |paral   |2020yCat.1350....0G
18  |HD 291067                                                             |Star                              |06 00 46.702 -02 03 44.44              |208.949483 -12.205079              |       -7.5 8.0   |9.7      |G0               |    ~     ~    |    0|                |                       |        |                   
19  |V* V1645 Ori                                                          |Long-Period Variable              |06 01 07.2546674640 -02 15 08.844655752|209.1624877225052 -12.2162462310569|  -3.618 -0.913   |8.61     |M0               |    ~     ~    |    1|  833.056   pc  | -16.0310    +16.0310  |paral   |2020yCat.1350....0G
20  |HD 40902                                                              |Star                              |06 01 42.4193884536 -02 04 47.541138312|209.0743002279621 -12.0069903693564| -3.356 -23.333   |9.02     |F7V              |    ~     ~    |    1|  205.727   pc  |  -0.7872     +0.7872  |paral   |2020yCat.1350....0G
21  |HD 294547                                                             |Star                              |06 02 12.0803502696 -02 19 32.380008744|209.3555082337159 -12.0098874589692|  14.196 -2.433   |10.81    |G0               |    ~     ~    |    1|  268.140   pc  |  -6.7297     +6.7297  |paral   |2020yCat.1350....0G
22  |HD 294549                                                             |Star                              |06 02 08.3876671680 -02 43 08.916619152|209.7061950523997 -12.2035192093288|    2.773 4.329   |10.38    |G0               |    ~     ~    |    1|  174.923   pc  |  -0.5844     +0.5844  |paral   |2020yCat.1350....0G
23  |HD 294548                                                             |Star                              |06 02 08.0556468072 -02 36 55.116415764|209.6110622048638 -12.1573032465234|  -2.979 -2.298   |10.46    |F8               |    ~     ~    |    1|  521.921   pc  |  -3.6229     +3.6229  |paral   |2020yCat.1350....0G
24  |HD 294510                                                             |High Proper Motion Star           |06 00 08.0191316976 -02 44 00.041376336|209.4847112227901 -12.6556125051752|-11.910 -56.643   |10.14    |G5               |    ~     ~    |    1|  116.160   pc  |  -0.1916     +0.1916  |paral   |2020yCat.1350....0G
25  |HD 294550                                                             |Star                              |06 01 08.7550076256 -02 35 38.012701380|209.4760774404732 -12.3670296491549| -18.986 -8.150   |10.48    |G0               |    ~     ~    |    1|  139.999   pc  |  -1.3093     +1.3093  |paral   |2020yCat.1350....0G
26  |HD 291115                                                             |Star                              |06 01 30.9800324232 -02 15 47.131515468|209.2184728362022 -12.1333278351896|   2.709 -2.722   |10.15    |A2               |    ~     ~    |    1|  725.953   pc  |  -9.2226     +9.2226  |paral   |2020yCat.1350....0G
27  |HD 291116                                                             |Star                              |06 02 18.7454391672 -02 08 32.397015768|209.2019392293331 -11.9012226755151|  -5.495 -1.005   |10.35    |F5               |    ~     ~    |    1|  428.174   pc  |  -3.2633     +3.2633  |paral   |2020yCat.1350....0G
28  |HD 291055                                                             |Star                              |06 01 07.1782791360 -01 11 16.914768792|208.1961748355969 -11.7269376178259|   2.189 -7.839   |10.667   |M0               |    ~     ~    |    1|  429.069   pc  | -14.4700    +14.4700  |ST-L    |2020AJ....160...83S
29  |HD 291060                                                             |Star                              |06 00 27.4952633160 -01 42 24.034471956|208.5887531951019 -12.1126462037204|   -1.131 0.053   |10.90    |A5               |    ~     ~    |    1|  390.259   pc  |  -2.5587     +2.5587  |paral   |2020yCat.1350....0G
30  |HD 291062                                                             |Star                              |06 00 36.4059019296 -01 49 40.208065608|208.7162476993506 -12.1354260675758|  -7.362 -0.522   |10.14    |K0               |    ~     ~    |    1|  541.155   pc  |  -4.4220     +4.4220  |paral   |2020yCat.1350....0G
31  |HD 291068                                                             |Star                              |06 01 17.3921206272 -02 03 48.481848900|209.0105014045962 -12.0920573707480|  -0.965 -1.439   |10.86    |A7               |    ~     ~    |    1|  394.758   pc  |  -7.2307     +7.2307  |paral   |2020yCat.1350....0G
32  |HD 291069                                                             |Star                              |06 00 55.7379414408 -02 15 12.320992872|209.1408741675894 -12.2593032646581|  -3.334 -8.018   |10.55    |A2               |    ~     ~    |    1|  370.563   pc  |  -3.3917     +3.3917  |paral   |2020yCat.1350....0G
33  |HD 291096                                                             |Star                              |06 02 28.6120948440 -00 50 32.357437620|208.0431244680903 -11.2663781250806|-17.300 -33.445   |9.82     |G0               |    ~     ~    |    1|  121.474   pc  |  -0.2922     +0.2922  |paral   |2020yCat.1350....0G
34  |HD 291110                                                             |Star                              |06 01 39.0112924080 -01 34 52.106312532|208.6149454784509 -11.7904295059046|   4.528 -3.558   |10.38    |F2               |    ~     ~    |    1|  384.749   pc  |  -3.1383     +3.1383  |paral   |2020yCat.1350....0G
35  |HD 291117                                                             |Star                              |06 02 29.5780508784 -02 06 42.365681856|209.1953136563985 -11.8471248410145|  -2.159 -0.393   |10.58    |A3               |    ~     ~    |    1|  451.590   pc  |  -3.2833     +3.2833  |paral   |2020yCat.1350....0G
