C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:41:30

Vmag< 11&dec< 0&rah >=6.25&rah< 6.5
-----------------------------------

Number of objects : 6536

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |      ang. size      
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------------
1   |HD 43341                                                              |Star                                  |06 15 41.0377508136 -00 01 43.731003108|208.8555803799553 -07.9616527635092|  3.606 -25.160   |8.93     |A2IV/V              |    ~     ~          
2   |HD 43318                                                              |High Proper Motion Star               |06 15 34.2651318984 -00 30 43.880774652|209.2760062196902 -08.2090120885516|-158.274 -218.400 |5.65     |F5V                 |    ~     ~          
3   |HD 43538                                                              |Star                                  |06 16 50.2207405488 -00 08 08.900609424|209.0853642704278 -07.7549435801438|  -0.762 -1.734   |8.73     |B9V                 |    ~     ~          
4   |HD 291457                                                             |Star                                  |06 17 19.2434184840 -00 16 09.072024528|209.2610029774560 -07.7088647971346| 21.125 -22.509   |9.54     |F8                  |    ~     ~          
5   |HD 43777                                                              |Star                                  |06 18 07.7225269056 -00 22 14.610261612|209.4456173155931 -07.5760806519165|    0.446 0.655   |7.79     |B5Ib/II             |    ~     ~          
6   |HD 291546                                                             |Star                                  |06 18 38.6925608904 -00 41 08.515760208|209.7876833095438 -07.6059393649776|   2.322 -4.547   |9.27     |K0                  |    ~     ~          
7   |HD 43949                                                              |Star                                  |06 18 56.5212934128 -00 38 40.196182128|209.7851024130505 -07.5210358433964|   0.405 -4.306   |9.25     |A0V                 |    ~     ~          
8   |HD 44006                                                              |Star                                  |06 19 17.4671573688 -00 17 42.197967384|209.5123652543379 -07.2831775909325| 19.404 -40.312   |8.94     |G0V                 |    ~     ~          
9   |HD 44019                                                              |Star                                  |06 19 21.0627144120 -00 54 53.069714568|210.0746586242384 -07.5539795861972| -17.476 -5.370   |7.285    |K1/2III             |    ~     ~          
10  |HD 291549                                                             |Star                                  |06 19 28.9777583184 -00 49 36.666002028|210.0110836766956 -07.4844133466793|  -1.219 -2.394   |10.06    |B8                  |    ~     ~          
