C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:06:43

dec< 0&rah >=6.5&rah< 6.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 7316

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |HD 45931                                                              |alpha2 CVn Variable                   |06 30 27.4892613960 -00 22 21.410774400|210.8675298653951 -04.8369663242728|   0.106 -1.442   |8.98     |B9V               |    ~     ~    |    1|  473.373   pc  |  -5.0194     +5.0194    |paral   |2020yCat.1350....0G
2   |HD 291740                                                             |Star                                  |06 30 29.1199432704 -00 12 50.905498968|210.7292075806578 -04.7584751477068|  -6.183 -8.095   |9.78     |K0                |    ~     ~    |    1|  489.596   pc  | -22.1247    +22.1247    |paral   |2020yCat.1350....0G
3   |HD 45952                                                              |Star                                  |06 30 29.6066024664 -00 16 47.270643096|210.7887335347815 -04.7866911109824|  -2.046 -9.718   |8.24     |K1/2III           |    ~     ~    |    1|  252.169   pc  |  -1.6660     +1.6660    |paral   |2020yCat.1350....0G
4   |HD 45973                                                              |Double or Multiple Star               |06 30 34.501 -00 23 24.26              |210.896513 -04.818961              |    -1.80 -7.10   |9.46     |B8/9IV            |    ~     ~    |    0|                |                         |        |                   
5   |HD 291754                                                             |Star                                  |06 30 47.5264911504 -01 00 22.831067844|211.4716875195947 -05.0521077817713|    0.028 1.041   |9.41     |K2                |    ~     ~    |    1|  434.764   pc  |  -3.7237     +3.7237    |paral   |2020yCat.1350....0G
6   |HD 291748                                                             |Star                                  |06 30 48.6971065320 -00 47 38.167377756|211.2842063916553 -04.9508243672191|  -5.691 -2.451   |9.24     |G0                |    ~     ~    |    1|  347.451   pc  |  -1.6418     +1.6418    |paral   |2020yCat.1350....0G
7   |HD 46020                                                              |Star                                  |06 30 53.4895823520 -00 55 56.358239376|211.4169490713023 -04.9962254520612|  -2.150 -4.017   |8.57     |A3V               |    ~     ~    |    1|  405.877   pc  |  -3.5089     +3.5089    |paral   |2020yCat.1350....0G
8   |HD 291746                                                             |Star                                  |06 31 26.4398764632 -00 42 21.298141764|211.2776650752941 -04.7707359037706|    4.696 1.150   |9.10     |M0                |    ~     ~    |    1|  636.051   pc  | -11.7727    +11.7727    |paral   |2020yCat.1350....0G
9   |HD 46204                                                              |Star                                  |06 31 58.5265868832 -00 57 19.531164528|211.5616667223607 -04.7656684461222|  -5.571 -3.201   |9.28     |A1V               |    ~     ~    |    1|  279.439   pc  |  -1.7804     +1.7804    |paral   |2020yCat.1350....0G
10  |HD 46225                                                              |Double or Multiple Star               |06 32 05.5005 -00 06 19.276            |210.8163406 -04.3515847            |-10.061 -14.172   |8.63     |K0III             |    ~     ~    |    0|                |                         |        |                   
