C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:48:12

Vmag< 11&dec< 0&rah >=6.75&rah< 7.0
-----------------------------------

Number of objects : 8779

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------
1   |HD 292191                                                                                                                                   |Star                                  |06 45 03.3932601432 -00 03 22.894858476|212.2544987803005 -01.4455012449496|  -1.428 -2.647   |9.77     |B9                   |    ~     ~    
2   |HD 292192                                                                                                                                   |Star                                  |06 45 04.2522943248 -00 04 45.527301444|212.2765652948203 -01.4527849910246|-16.787 -20.101   |8.60     |G0                   |    ~     ~    
3   |HD 48808                                                                                                                                    |Star                                  |06 45 06.7001294616 -01 01 15.555274716|213.1196845664941 -01.8730307174352|  -0.684 -1.808   |7.44     |B9                   |    ~     ~    
4   |HD 48867                                                                                                                                    |Star                                  |06 45 29.0260225152 -00 28 01.645817556|212.6689101676039 -01.5377695157048| -10.587 -8.228   |9.16     |A8III                |    ~     ~    
5   |HD 48922                                                                                                                                    |Spectroscopic Binary                  |06 45 50.0530078272 -00 42 59.255061804|212.9308639129195 -01.5734669792848|  -6.693 -4.767   |6.770    |B9.5IV/V             |    ~     ~    
6   |HD 292322                                                                                                                                   |Star                                  |06 45 55.5290608752 -00 27 49.912460208|212.7163730690950 -01.4380035574351|  -0.379 -1.539   |10.70    |A8V                  |    ~     ~    
7   |HD 292312                                                                                                                                   |Star                                  |06 46 28.2956002080 -00 12 16.791721488|212.5478945859352 -01.1983082662146|  -7.150 -0.850   |9.16     |F2                   |    ~     ~    
8   |HD 49087                                                                                                                                    |Star                                  |06 46 39.7139744928 -00 50 58.435693080|213.1437221913687 -01.4499833806691|   -3.935 3.247   |9.36     |A3II/III             |    ~     ~    
9   |HD 49164                                                                                                                                    |Star                                  |06 47 02.2381535112 -00 59 33.464521356|213.3138856040639 -01.4316643963299|  -1.173 -1.090   |9.43     |B7/8II/III           |    ~     ~    
10  |HD 49180                                                                                                                                    |Star                                  |06 47 10.2305445744 -01 07 08.665008924|213.4416504920746 -01.4596532699733|   -1.921 1.306   |9.86     |B9III                |    ~     ~    
11  |HD 49248                                                                                                                                    |Star                                  |06 47 27.6731455152 -01 08 32.142085512|213.4954217916011 -01.4055413071901|  -4.885 -8.412   |9.25     |F3V                  |    ~     ~    
12  |HD 48886                                                                                                                                    |Star                                  |06 45 30.9367440288 -01 25 47.961618888|213.5299979680956 -01.9695090662465|  -2.073 -2.126   |7.82     |A0V                  |    ~     ~    
13  |HD 48933                                                                                                                                    |Star                                  |06 45 57.3657484488 -01 15 10.582652052|213.4224874633335 -01.7908460034645| -0.939 -15.549   |8.78     |A3IV/V               |    ~     ~    
14  |HD 48934                                                                                                                                    |Star                                  |06 45 56.0595242928 -01 26 03.562918548|213.5815555828050 -01.8783263848736|  -1.355 -0.054   |9.37     |B2/3IV/V             |    ~     ~    
15  |HD 48958                                                                                                                                    |Star                                  |06 46 03.1792237704 -01 41 07.444003956|213.8187157787528 -01.9662918660571| 14.930 -25.437   |8.29     |K1(III)              |    ~     ~    
16  |HD 49143                                                                                                                                    |Star                                  |06 46 59.2807018608 -01 11 51.687692088|213.4908601816752 -01.5360829022158|   -5.243 2.212   |10.08    |A0V                  |    ~     ~    
17  |HD 292361                                                                                                                                   |Star                                  |06 47 19.6199384208 -02 00 17.405856144|214.2483108667388 -01.8283529288862| 10.357 -22.006   |9.18     |G0                   |    ~     ~    
18  |HD 49225                                                                                                                                    |Star                                  |06 47 25.2845118240 -01 18 17.414509968|213.6356467727176 -01.4884831927568|  -2.529 -4.314   |8.73     |A0V                  |    ~     ~    
19  |NAME [KEE2008] LRa1 3550           V* DD Mon                                                                                                |Eclipsing Binary                      |06 45 57.8383393056 -00 17 31.852613076|212.5679188403826 -01.3511581132916| -0.002 -20.722   |10.69    |F6V                  |    ~     ~    
20  |HD 292248                                                                                                                                   |Star                                  |06 45 08.7652774992 -01 43 49.366377660|213.7555120844670 -02.1885351283569|  -3.647 -0.306   |10.82    |B9V                  |    ~     ~    
21  |HD 292307                                                                                                                                   |Star                                  |06 46 20.4252592392 -00 03 24.856019100|212.4014081020478 -01.1601091507678|  0.849 -14.865   |10.969   |F5IV                 |    ~     ~    
22  |HD 292317                                                                                                                                   |Star                                  |06 46 30.5961844920 -00 24 42.975841392|212.7367809440302 -01.2842898132811|    2.661 1.138   |10.32    |K7                   |    ~     ~    
23  |HD 292318                                                                                                                                   |Star                                  |06 46 03.0304537488 -00 22 14.886745968|212.6477772330604 -01.3677542067256|  -2.881 -1.501   |10.31    |K0                   |    ~     ~    
24  |HD 292331                                                                                                                                   |Star                                  |06 46 25.3881269328 -00 40 55.556615604|212.9674038786630 -01.4267708740474| -5.154 -15.309   |10.23    |K7                   |    ~     ~    
25  |HD 292332                                                                                                                                   |Star                                  |06 45 41.5741309488 -00 43 55.644000240|212.9287015005107 -01.6120492301801|  -3.305 -1.874   |10.35    |A7                   |    ~     ~    
26  |HD 292334                                                                                                                                   |Star                                  |06 45 31.1722379664 -00 53 11.389385148|213.0464022984488 -01.7209876235298|  -7.250 10.500   |10.67    |F5                   |    ~     ~    
27  |HD 292351                                                                                                                                   |Star                                  |06 46 13.9291739016 -01 59 11.889955608|214.1074704881750 -02.0636085815433|  -5.484 -5.465   |10.52    |K0                   |    ~     ~    
28  |HD 292352                                                                                                                                   |Star                                  |06 46 19.4746691232 -01 55 15.022762572|214.0593744745129 -02.0130897809302|  -2.217 -1.460   |10.33    |K5                   |    ~     ~    
