C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:51:47

Vmag< 11&dec< 0&rah >=7.0&rah< 7.25
-----------------------------------

Number of objects : 10182

  #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   
-----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------
1    |BD-07 1734                                                                                                                                                                     |Star                                  |07 05 57.7322841456 -07 24 02.187455292|221.1692788920764 -00.1626348563191|   -1.277 1.319   |10.27    |B1e              |    ~     ~    
2    |HD 52238                                                                                                                                                                       |Star                                  |07 00 30.2157775680 -00 06 24.105202452|214.0608024065658 +01.9682938735054|   1.855 12.466   |9.07     |K0/1III          |    ~     ~    
3    |HD 52587                                                                                                                                                                       |Star                                  |07 01 46.9613813424 -00 05 51.855840096|214.1988572911434 +02.2569142241702|  -5.895 -6.241   |8.70     |A1V              |    ~     ~    
4    |HD 53773                                                                                                                                                                       |Star                                  |07 06 20.6534219304 -00 11 22.234322724|214.8019396607157 +03.2295506885213|   1.362 -0.631   |9.48     |B9III            |    ~     ~    
5    |HD 293191                                                                                                                                                                      |Star                                  |07 07 14.0119689432 -00 10 17.504952528|214.8876814018093 +03.4355250234811|  7.776 -20.666   |9.48     |K0               |    ~     ~    
6    |HD 292942                                                                                                                                                                      |Star                                  |07 00 28.3916666760 -00 31 36.084730296|214.4312282962664 +01.7698404711533|-14.379 -20.416   |9.28     |G0               |    ~     ~    
7    |HD 52262                                                                                                                                                                       |Star                                  |07 00 27.5169060816 -00 31 24.265537500|214.4266412467922 +01.7680964684324|  23.576 17.784   |8.84     |G1V              |    ~     ~    
8    |HD 292959                                                                                                                                                                      |Star                                  |07 00 34.8940483128 -00 47 42.131147676|214.6824554439854 +01.6714256254530|  -1.201 -1.779   |9.71     |B5               |    ~     ~    
9    |HD 292958                                                                                                                                                                      |Star                                  |07 00 45.1600156896 -00 49 38.222226264|214.7306961340835 +01.6947508977630| -8.604 -12.606   |9.62     |K2               |    ~     ~    
10   |HD 52379                                                                                                                                                                       |Star                                  |07 00 56.0981884776 -00 40 09.237292068|214.6108387497769 +01.8074658170722| -12.449 -9.629   |8.1      |A2III            |    ~     ~    
