C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:55:07

Vmag< 11&dec< 0&rah >=7.25&rah< 7.5
-----------------------------------

Number of objects : 10274

  #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
-----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
1    |* 24 Mon                                                                                                 |Star                          |07 15 19.4071859184 -00 09 40.624369776|215.8065920723233 +05.2385776783506|   -8.471 3.376   |6.42     |K0III           |    ~     ~    
2    |HD 56057                                                                                                 |Star                          |07 15 28.5744835584 -01 10 23.198677428|216.7267030678519 +04.8082961982960|   -0.910 1.680   |7.79     |G8/K0III+A/F    |    ~     ~    
3    |HD 56056                                                                                                 |Star                          |07 15 30.1872026760 -01 03 59.349689928|216.6347520987316 +04.8632422840770|  -7.496 -3.318   |10.08    |A0V             |    ~     ~    
4    |HD 56082                                                                                                 |Star                          |07 15 33.4000489416 -00 19 31.092842028|215.9798128790855 +05.2152311583498|   -2.859 0.488   |9.87     |A0V             |    ~     ~    
5    |HD 56107                                                                                                 |High Proper Motion Star       |07 15 41.1379354344 -01 00 05.087472120|216.5977657217708 +04.9336532073249|-13.133 -60.689   |8.13     |G8/K0III        |    ~     ~    
6    |HD 56128                                                                                                 |Double or Multiple Star       |07 15 46.331 -00 37 29.62              |216.271938 +05.125712              |    -12.0 -31.0   |9.0      |F2V             |    ~     ~    
7    |BD-00 1664                                                                                               |High Proper Motion Star       |07 16 28.0488022536 -00 28 59.530722312|216.2255928105120 +05.3451625527415| 41.074 -32.730   |9.55     |K0              |    ~     ~    
8    |BD-00 1665                                                                                               |Star                          |07 16 30.1411475352 -01 13 16.088000772|216.8878119084831 +05.0140104606541|   -4.570 0.796   |9.72     |M2.5            |    ~     ~    
9    |BD-00 1667                                                                                               |Star                          |07 17 16.0754284464 -00 33 19.249204320|216.3822200961414 +05.4898430066225|   -1.607 0.418   |9.38     |K2              |    ~     ~    
10   |HD 56519                                                                                                 |Star                          |07 17 16.5317525856 -00 48 21.399404256|216.6067150986400 +05.3764567400252|  -6.344 -4.922   |9.63     |B9V             |    ~     ~    
11   |BD-00 1669                                                                                               |Star                          |07 17 26.7635470104 -01 09 06.159255876|216.9348002648359 +05.2553962223072|  -0.598 -0.869   |10.01    |K2              |    ~     ~    
12   |TYC 4816-1594-1                                                                                          |Star                          |07 17 30.3873466546 -00 06 16.043444115|216.0071299550360 +05.7496794998575|  -9.197 -1.939   |10.7     |A0              |    ~     ~    
13   |HD 56669                                                                                                 |Star                          |07 17 55.7635005120 -00 51 23.114360376|216.7271902469819 +05.4984375549049|  -4.949 -4.313   |8.79     |B9V             |    ~     ~    
14   |BD-00 1673                                                                                               |Star                          |07 17 55.4220352200 -01 13 49.687839444|217.0601786684471 +05.3251771627698|   -6.665 3.404   |9.66     |K2              |    ~     ~    
15   |HD 56823                                                                                                 |Star                          |07 18 35.1117 -00 39 45.239            |216.6298817 +05.7331210            |  -3.576 -2.688   |9.65     |B9IV            |    ~     ~    
16   |HD 293687                                                                                                |Star                          |07 15 25.3704554736 -01 25 39.353574252|216.9473486869353 +04.6794919977756|      10.0 -9.9   |10.47    |G0              |    ~     ~    
17   |HD 293686                                                                                                |Star                          |07 15 26.2507497816 -01 26 13.164540072|216.9574085542331 +04.6784308925212|   7.836 -8.516   |10.43    |F5              |    ~     ~    
18   |HD 56058                                                                                                 |Star                          |07 15 26.4026917152 -01 57 25.170574212|217.4208876851924 +04.4397955887868|    0.326 1.144   |9.10     |F0V             |    ~     ~    
19   |HD 293726                                                                                                |Star                          |07 15 42.3275685744 -01 57 03.341846232|217.4461068808017 +04.5014584771135| -6.270 -29.522   |9.09     |K0              |    ~     ~    
20   |HD 293718                                                                                                |Star                          |07 16 06.0750849408 -01 42 37.750566636|217.2776224490896 +04.6999244049984|  -2.008 -1.424   |9.30     |G5              |    ~     ~    
21   |BD-01 1623                                                                                               |Star                          |07 16 06.0604371000 -02 02 31.673269356|217.5729665589103 +04.5471918341873| -12.382 -4.942   |9.20     |F8              |    ~     ~    
22   |BD-01 1627                                                                                               |Star                          |07 16 43.4797309440 -01 47 58.493516352|217.4289443287748 +04.7972067636022|  -2.271 -0.165   |10.82    |A0              |    ~     ~    
23   |HD 56398                                                                                                 |Star                          |07 16 46.0854584472 -01 38 00.763395720|217.2860348814703 +04.8832769233064|   -2.225 1.412   |8.49     |K0III           |    ~     ~    
24   |HD 56422                                                                                                 |Double or Multiple Star       |07 16 50.1136967448 -01 32 08.472884784|217.2065851390084 +04.9432087307873|  -2.286 -2.349   |9.934    |A0V             |    ~     ~    
