C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:20:07

dec< 0&rah >=0.75&rah< 1.0&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2467

 #  |                                                                                  identifier                                                                                   |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |HD 4472                                                                                                                                                                        |High Proper Motion Star             |00 46 25.9365115104 -41 43 19.939620900|306.6322225955757 -75.3700632837604|  54.881 18.877   |10.00    |A/F+G/K             |    ~     ~    |    1|  276.561   pc  |  -4.4770     +4.4770    |ST-L    |2020AJ....160...83S
2   |HD 4378B                                                                                                                                                                       |High Proper Motion Star             |00 45 48.7083797931 -41 54 34.622274294|307.0256246859156 -75.1738855484853|279.877 -108.462  |8.928    |K7Ve                |    ~     ~    |    1|   15.7294  pc  |  -0.0054     +0.0054    |paral   |2020yCat.1350....0G
3   |HD 4378A                                                                                                                                                                       |High Proper Motion Star             |00 45 48.2871509825 -41 54 33.080290572|307.0308535439983 -75.1742007301836|306.677 -74.437   |8.37     |K5Ve                |    ~     ~    |    1|   15.7248  pc  |  -0.0056     +0.0056    |paral   |2020yCat.1350....0G
4   |V* CN Phe                                                                                                                                                                      |delta Sct Variable                  |00 46 37.6339908768 -42 09 37.284108120|306.3638874263625 -74.9358235395784| -6.961 -18.967   |9.44     |F0V                 |    ~     ~    |    1|  265.491   pc  |  -1.5436     +1.5436    |paral   |2020yCat.1350....0G
5   |HD 4543                                                                                                                                                                        |Star                                |00 47 02.2015416432 -41 50 45.389926320|306.1538307555823 -75.2547660309096|  38.272 20.035   |9.45     |K1/2III             |    ~     ~    |    1|  370.077   pc  |  -6.8770     +6.8770    |ST-L    |2020AJ....160...83S
6   |HD 4556                                                                                                                                                                        |Star                                |00 47 06.6656578632 -42 09 33.739713648|306.0198608331926 -74.9429279174515| 14.568 -10.514   |9.48     |K1/2(III)           |    ~     ~    |    1|  885.347   pc  | -14.1091    +14.1091    |paral   |2020yCat.1350....0G
7   |HD 4357                                                                                                                                                                        |High Proper Motion Star             |00 45 33.0441106608 -43 08 27.888514836|306.8171033691107 -73.9427330811874|  42.584 27.925   |8.50     |F5IV/V              |    ~     ~    |    1|  187.403   pc  |  -0.7410     +0.7410    |paral   |2020yCat.1350....0G
8   |HD 4368                                                                                                                                                                        |High Proper Motion Star             |00 45 35.7490321776 -42 32 47.279017968|306.9703680078938 -74.5359458311412| 20.255 -46.055   |9.14     |G8IV                |    ~     ~    |    1|  283.238   pc  |  -1.3317     +1.3317    |paral   |2020yCat.1350....0G
9   |HD 4316                                                                                                                                                                        |Star                                |00 45 14.0263660488 -43 33 44.497682892|306.8960742198507 -73.5181065059989| -26.387 -6.396   |10.029   |F3V                 |    ~     ~    |    1| 1070.140   pc  |-197.9000   +197.9000    |ST-L    |2020AJ....160...83S
10  |CD-44 203                                                                                                                                                                      |High Proper Motion Star             |00 47 20.0409021120 -43 20 49.398732528|305.6005967542747 -73.7599258882472| 166.394 -0.728   |9.88     |G5                  |    ~     ~    |    1|  112.308   pc  |  -0.6721     +0.6721    |ST-L    |2020AJ....160...83S
