C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:21:11

dec< 0&rah >=7.5&rah< 7.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 10800

  #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
-----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------------|-----|----------------|-------------------------|--------|-------------------
1    |HD 59709                                                                                                 |Star                                  |07 31 13.6351652784 -00 14 45.973625964|217.7250391034446 +08.7300425257004| -35.900 -2.878   |8.64     |G0V                  |    ~     ~          |    1|   94.852   pc  |  -0.2105     +0.2105    |paral   |2020yCat.1350....0G
2    |BD-00 1737                                                                                               |Star                                  |07 30 28.7732445384 -00 53 28.287461112|218.2159037446305 +08.2659418129356|   -0.872 0.814   |9.54     |A2                   |    ~     ~          |    1|  725.374   pc  | -17.4687    +17.4687    |paral   |2020yCat.1350....0G
3    |HD 59625                                                                                                 |Star                                  |07 30 45.8468382216 -01 07 16.531080780|218.4552141433699 +08.2223697222731|  3.643 -12.552   |8.36     |A2V                  |    ~     ~          |    1|  213.977   pc  |  -0.9890     +0.9890    |paral   |2020yCat.1350....0G
4    |BD-00 1741                                                                                               |Star                                  |07 30 51.5554248733 -00 51 36.679997614|218.2325582658484 +08.3644220140429|    -4.20 -0.60   |10.6     |A0                   |    ~     ~          |    0|                |                         |        |                   
5    |HD 59726                                                                                                 |Star                                  |07 31 17.3609253312 -01 07 33.159788184|218.5208708151554 +08.3365418444271|   5.121 -7.673   |6.57     |K0III                |    ~     ~          |    1|  141.856   pc  |  -0.4065     +0.4065    |paral   |2020yCat.1350....0G
6    |TYC 4830-1378-1                                                                                          |Star                                  |07 31 24.4938595296 -00 09 59.430777948|217.6747571773247 +08.8069380833525|   0.332 -2.107   |9.77     |K2                   |    ~     ~          |    1|  625.234   pc  |  -5.6683     +5.6683    |paral   |2020yCat.1350....0G
7    |BD-00 1745                                                                                               |Star                                  |07 31 53.4943852200 -00 28 28.936549920|218.0078153243077 +08.7716143066483|   5.844 -7.187   |9.63     |~                    |    ~     ~          |    1|  818.934   pc  | -13.0107    +13.0107    |paral   |2020yCat.1350....0G
8    |HD 59851                                                                                                 |Double or Multiple Star               |07 31 54.412 -00 31 28.99              |218.054467 +08.751860              |       -6.0 4.0   |9.1      |B9IV                 |    ~     ~          |    0|                |                         |        |                   
9    |BD-00 1747                                                                                               |Star                                  |07 31 58.2523736088 -01 01 31.657804788|218.5108152187171 +08.5340364958626|-21.573 -10.873   |9.70     |F2                   |    ~     ~          |    1|  206.919   pc  |  -2.1493     +2.1493    |paral   |2020yCat.1350....0G
10   |BD-00 1748                                                                                               |Star                                  |07 32 13.5330818544 -01 11 03.065024688|218.6828558590928 +08.5167681017450|   1.259 -3.748   |9.84     |A2                   |    ~     ~          |    1|  482.719   pc  |  -9.3906     +9.3906    |paral   |2020yCat.1350....0G
11   |BD-00 1749                                                                                               |Star                                  |07 32 19.3169855784 -00 23 13.305157908|217.9795281224775 +08.9075611760176|  5.242 -14.740   |8.83     |K2                   |    ~     ~          |    1|  371.885   pc  |  -2.4341     +2.4341    |paral   |2020yCat.1350....0G
12   |HD 59980                                                                                                 |High Proper Motion Star               |07 32 26.4038266416 -00 31 06.534825744|218.1113053560618 +08.8729030532409|-26.204 -49.918   |7.68     |F6V                  |    ~     ~          |    1|  106.745   pc  |  -0.2404     +0.2404    |paral   |2020yCat.1350....0G
13   |BD-01 1744                                                                                               |Star                                  |07 30 44.1352763280 -01 46 50.654939916|219.0418026921471 +07.9098756443044|   -7.724 2.351   |9.93     |A2                   |    ~     ~          |    1|  360.088   pc  |  -3.2286     +3.2286    |paral   |2020yCat.1350....0G
14   |BD-01 1746                                                                                               |Star                                  |07 31 23.2893914496 -01 23 57.063557148|218.7770945270213 +08.2315719530739| 14.818 -17.954   |9.64     |K0                   |    ~     ~          |    1|  434.009   pc  | -12.3378    +12.3378    |paral   |2020yCat.1350....0G
15   |BD-01 1750                                                                                               |Star                                  |07 31 54.6894015576 -01 21 25.129930680|218.8007145518849 +08.3670058818118| -3.250 -12.356   |8.41     |K0                   |    ~     ~          |    1|  375.841   pc  |  -3.3902     +3.3902    |paral   |2020yCat.1350....0G
16   |HD 59690                                                                                                 |Double or Multiple Star               |07 30 59.10808 -02 09 53.5956          |219.41433282 +07.78631288          |    -5.11 -4.86   |7.09     |K0III+A7/8           |    ~     ~          |    0|                |                         |        |                   
17   |BD-02 2156                                                                                               |Star                                  |07 31 15.2632439616 -02 25 15.567786732|219.6746525553273 +07.7264737260145|   -5.543 2.870   |9.53     |A5                   |    ~     ~          |    1|  426.821   pc  |  -3.0241     +3.0241    |paral   |2020yCat.1350....0G
18   |BD-02 2155                                                                                               |High Proper Motion Star               |07 31 11.9391251040 -02 32 08.253319344|219.7704639744838 +07.6607673210966|-46.415 -19.326   |9.58     |~                    |    ~     ~          |    1|  122.249   pc  |  -0.4364     +0.4364    |paral   |2020yCat.1350....0G
19   |BD-01 1749                                                                                               |Star                                  |07 31 53.8203 -02 15 11.485            |219.6003641 +07.9467187            |       0.1 -5.3   |9.85     |~                    |    ~     ~          |    0|                |                         |        |                   
20   |HD 60045                                                                                                 |Star                                  |07 32 44.3617362528 -00 17 53.687298732|217.9487100065325 +09.0411460312180|  -5.382 -0.546   |8.98     |B9.5IV               |    ~     ~          |    1|  467.705   pc  |  -5.3374     +5.3374    |paral   |2020yCat.1350....0G
21   |BD+00 1999                                                                                               |Star                                  |07 35 14.8628788872 -00 09 00.316027512|218.1097114790811 +09.6656039686044|  9.920 -11.889   |9.33     |K0                   |    ~     ~          |    1|  681.524   pc  |  -6.0382     +6.0382    |paral   |2020yCat.1350....0G
22   |HD 61367                                                                                                 |Variable Star                         |07 38 56.7781890432 -00 15 37.589454360|218.6444781376753 +10.4336380577720|  -5.447 -8.087   |6.767    |K5/M0III             |    ~     ~          |    1|  671.772   pc  |  -9.6122     +9.6122    |paral   |2020yCat.1350....0G
23   |BD-00 1755                                                                                               |Star                                  |07 33 26.1404381640 -01 10 23.161089720|218.8150288713680 +08.7897785737062|   -3.540 2.471   |9.12     |F5                   |    ~     ~          |    1|  441.696   pc  |  -6.5747     +6.5747    |paral   |2020yCat.1350....0G
24   |BD-00 1757                                                                                               |Star                                  |07 34 16.5631448712 -01 00 31.645781460|218.7665465825878 +09.0521283849330|  -0.273 -6.758   |8.91     |K0                   |    ~     ~          |    1|  508.751   pc  |  -4.7624     +4.7624    |paral   |2020yCat.1350....0G
