C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:01:29

Vmag< 11&dec< 0&rah >=7.75&rah< 8.0
-----------------------------------

Number of objects : 10348

  #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
-----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
1    |BD+00 2065                                                                                                                                  |Star                                  |07 45 03.6183966432 -00 07 53.236450704|219.2531989741726 +11.8465200625197|  -7.369 -2.969   |10.3     |F8             |    ~     ~    
2    |BD+00 2071a                                                                                                                                 |Star                                  |07 46 41.6927576208 -00 16 59.268407988|219.5853807584044 +12.1370565173880|   1.115 -4.519   |10.6     |F5             |    ~     ~    
3    |BD+00 2074                                                                                                                                  |Star                                  |07 46 44.9291109840 -00 11 54.488243364|219.5152631241514 +12.1885454515590|  -4.650 -2.825   |10.1     |A5             |    ~     ~    
4    |BD+00 2089                                                                                                                                  |Star                                  |07 47 51.9964587933 -00 12 28.334075196|219.6574823837841 +12.4311794706657|   0.693 -3.878   |9.48     |A2             |    ~     ~    
5    |BD+00 2095                                                                                                                                  |Star                                  |07 48 26.5746636528 -00 08 22.094494764|219.6645860974662 +12.5905159315579|  -4.430 -0.166   |9.70     |A2             |    ~     ~    
6    |HD 63390                                                                                                                                    |Star                                  |07 48 43.1979678600 -00 15 32.863169196|219.8061521757843 +12.5957253794202|  -5.536 -0.657   |8.75     |A0V            |    ~     ~    
7    |BD+00 2100                                                                                                                                  |Star                                  |07 49 18.2376761136 -00 08 35.929256388|219.7713189262393 +12.7789565414457|   -4.345 0.998   |10.01    |A1V            |    ~     ~    
8    |BD+00 2101                                                                                                                                  |Spectroscopic Binary                  |07 49 37.5117998232 -00 08 54.403079892|219.8145305928309 +12.8475159535753| -12.951 -2.128   |10.35    |F2V            |    ~     ~    
9    |BD+00 2105                                                                                                                                  |Star                                  |07 50 07.4068559880 -00 20 33.820131264|220.0504481571232 +12.8664899078813|   -4.569 0.259   |10.29    |A7V            |    ~     ~    
10   |BD+00 2107                                                                                                                                  |Star                                  |07 50 46.9124784768 -00 08 21.388144308|219.9452475025296 +13.1072800604421|   2.454 -3.362   |9.24     |K0III          |    ~     ~    
11   |BD-00 1807                                                                                                                                  |Star                                  |07 45 12.0496399992 -00 33 54.890424432|219.6617590189170 +11.6749863439674|  -8.412 -1.534   |8.94     |M0             |    ~     ~    
12   |HD 62697                                                                                                                                    |Star                                  |07 45 18.5745985728 -00 26 17.597241564|219.5600615654940 +11.7584057837394|  -0.097 -3.433   |7.95     |A0V            |    ~     ~    
13   |BD-00 1808B                                                                                                                                 |Star                                  |07 45 18.9786357624 -00 26 38.147360136|219.5660199192776 +11.7572261108834|  -0.317 -1.066   |10.6     |~              |    ~     ~    
14   |HD 62724                                                                                                                                    |Star                                  |07 45 21.8239400592 -00 30 48.250519164|219.6344082508050 +11.7352279288482| -42.254 -0.619   |7.63     |F3IV/V         |    ~     ~    
15   |HD 62812                                                                                                                                    |Star                                  |07 45 46.6054963488 -01 09 26.942994972|220.2647197270792 +11.5246250689791|  -20.267 6.771   |9.12     |F0IV           |    ~     ~    
16   |BD-00 1814                                                                                                                                  |Star                                  |07 45 52.7733304608 -00 51 45.522767700|220.0112223895558 +11.6856526877415|   -9.365 0.670   |9.87     |A0             |    ~     ~    
17   |HD 62929                                                                                                                                    |High Proper Motion Star               |07 46 17.9734259400 -01 06 49.599311112|220.2879767039983 +11.6605181244851|-114.383 -4.899   |9.11     |F5V            |    ~     ~    
18   |BD-00 1818                                                                                                                                  |Star                                  |07 46 37.2616226328 -00 55 09.656437800|220.1511714833609 +11.8227486978795|  -1.058 -9.527   |9.01     |K0             |    ~     ~    
19   |BD-00 1820                                                                                                                                  |High Proper Motion Star               |07 46 51.8684962608 -01 09 26.329937472|220.3949836106541 +11.7647041852234| 17.853 -58.194   |9.80     |G0             |    ~     ~    
20   |BD-00 1821                                                                                                                                  |Star                                  |07 47 04.4807903958 -01 15 57.263038578|220.5181122053474 +11.7600033330319|   1.964 -2.763   |9.51     |F0             |    ~     ~    
21   |BD-00 1824                                                                                                                                  |Star                                  |07 47 40.6795198080 -01 01 00.268309380|220.3658666518821 +12.0102588076732|  -2.696 -0.777   |9.48     |K0             |    ~     ~    
22   |TYC 4832-1904-1                                                                                                                             |Star                                  |07 48 18.7058994792 -01 00 02.996258616|220.4276772573418 +12.1575559944598|  -8.602 -7.152   |9.91     |K0             |    ~     ~    
23   |HD 63368                                                                                                                                    |Star                                  |07 48 36.9262145424 -00 44 39.768673020|220.2325426892448 +12.3450846700799|  -5.486 -5.146   |8.42     |G8IV           |    ~     ~    
24   |BD-00 1829                                                                                                                                  |Star                                  |07 48 55.7582065608 -01 09 40.265498556|220.6467459447951 +12.2182765667864|  -0.818 -0.086   |10.52    |B9V            |    ~     ~    
25   |BD-00 1830                                                                                                                                  |Star                                  |07 49 00.3533886168 -00 42 19.620773964|220.2442921977504 +12.4495388274690|   1.308 -2.375   |9.94     |B8             |    ~     ~    
26   |BD-00 1834                                                                                                                                  |Star                                  |07 49 47.5659510360 -00 43 30.320530968|220.3567423636416 +12.6139417650981| -16.954 12.463   |10.5     |F5V            |    ~     ~    
27   |AG-00 1098                                                                                                                                  |Star                                  |07 49 49.3686744384 -01 00 11.289763116|220.6117101765913 +12.4897310692354|   -3.693 0.374   |9.5      |K2             |    ~     ~    
28   |BD-00 1836                                                                                                                                  |Star                                  |07 49 50.3696528736 -00 36 25.637599692|220.2556511575780 +12.6796929405733|  -3.072 -2.202   |10.4     |A0V            |    ~     ~    
29   |BD-00 1838                                                                                                                                  |High Proper Motion Star               |07 49 52.5832963344 -01 05 37.132240380|220.6999393934651 +12.4589003594682| -53.166 24.004   |10.05    |G8V            |    ~     ~    
30   |BD-00 1840                                                                                                                                  |Star                                  |07 50 51.0692545728 -00 58 40.076515128|220.7129214181022 +12.7283934886900|   0.335 -3.578   |10.7     |A3V            |    ~     ~    
31   |TYC 4832-700-1                                                                                                                              |Star                                  |07 50 52.9270821144 -00 39 09.441647568|220.4224729268313 +12.8883477303841|  -43.300 4.626   |9.99     |K0             |    ~     ~    
32   |BD-00 1841                                                                                                                                  |Star                                  |07 50 56.7476963040 -00 48 08.574598836|220.5656925277540 +12.8319079154901|    1.988 2.979   |10.1     |K2III          |    ~     ~    
33   |BD-00 1842                                                                                                                                  |High Proper Motion Star               |07 51 12.9128868648 -01 15 32.632869168|221.0111394229523 +12.6758882348765|  -56.730 7.245   |9.70     |G0IV           |    ~     ~    
34   |HD 63891                                                                                                                                    |Star                                  |07 51 15.4058904288 -00 28 29.741843640|220.3067335582600 +13.0545593360277|   -1.459 1.576   |9.29     |F3V            |    ~     ~    
35   |HD 63907                                                                                                                                    |High Proper Motion Star               |07 51 17.3355821664 -00 27 41.426782308|220.2984521102832 +13.0679639233820|  8.558 -79.634   |9.29     |G8(IV)         |    ~     ~    
36   |BD-00 1845                                                                                                                                  |Star                                  |07 51 29.5455898536 -01 02 51.045137952|220.8534802464351 +12.8368563666686|  -10.124 0.996   |9.46     |K7IV           |    ~     ~    
37   |BD-00 1846                                                                                                                                  |Star                                  |07 51 50.1956186136 -00 22 58.594758852|220.2933188217007 +13.2257377480826|  -8.479 -1.977   |10.5     |F8V            |    ~     ~    
38   |HD 62742                                                                                                                                    |Star                                  |07 45 23.5848542448 -01 38 28.572345420|220.6542604738847 +11.2125379725991|   -4.863 3.183   |9.40     |A2/3III/IV     |    ~     ~    
39   |BD-01 1830                                                                                                                                  |Star                                  |07 45 32.6792112192 -02 06 37.768250736|221.0941884115729 +11.0247519422822|  -2.332 -0.091   |9.30     |K0             |    ~     ~    
40   |BD-01 1833                                                                                                                                  |Star                                  |07 45 58.5235392120 -01 26 51.716864328|220.5499173283810 +11.4320360140481|  -3.412 -7.058   |9.60     |G5             |    ~     ~    
41   |BD-01 1835                                                                                                                                  |Spectroscopic Binary                  |07 47 01.5510692016 -01 54 28.516795560|221.0902727686053 +11.4466201092443| -7.184 -13.503   |10.79    |K0             |    ~     ~    
42   |BD-01 1837                                                                                                                                  |Star                                  |07 47 34.2803985456 -01 48 52.101930960|221.0718975885567 +11.6108949792276|   -0.775 1.962   |9.91     |K2             |    ~     ~    
43   |BD-01 1840                                                                                                                                  |Star                                  |07 48 28.8138641424 -01 37 19.734589056|221.0082791349742 +11.9019157050267|   -1.854 2.133   |10.87    |A2             |    ~     ~    
