C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:27:41

dec< 0&rah >=8.0&rah< 8.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 10487

  #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type       |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
-----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------------|---------------|-----|----------------|-------------------------|--------|-------------------
1    |BD+00 2153                                                                                               |Star                           |08 00 00.4829879136 -00 14 36.849072192|221.1603643253360 +15.0927898080567| -17.215 -1.336   |10.5     |F0V                    |    ~     ~    |    1|  427.954   pc  |  -3.0585     +3.0585    |paral   |2020yCat.1350....0G
2    |HD 65918                                                                                                 |Star                           |08 01 08.6997986256 -00 17 19.769438832|221.3412206678294 +15.3216532543699| -13.773 -8.141   |8.96     |K0III                  |    ~     ~    |    1|  415.231   pc  |  -3.0690     +3.0690    |paral   |2020yCat.1350....0G
3    |BD+00 2160                                                                                               |Star                           |08 01 23.6980843632 -00 09 59.177753964|221.2601775277326 +15.4346916346369| 12.730 -39.438   |9.78     |F8                     |    ~     ~    |    1|  237.017   pc  |  -1.1910     +1.1910    |paral   |2020yCat.1350....0G
4    |BD+00 2165                                                                                               |Star                           |08 02 17.5392578928 -00 15 40.306865004|221.4571694053319 +15.5872545637437|   -3.180 2.308   |9.85     |K0                     |    ~     ~    |    1| 1166.045   pc  | -27.8730    +27.8730    |paral   |2020yCat.1350....0G
5    |BD-00 1876                                                                                               |Star                           |08 00 12.0087035880 -00 33 55.796516856|221.4774449237189 +14.9824589635180|   -2.236 0.955   |10.5     |A0V                    |    ~     ~    |    1|  590.319   pc  |  -7.9801     +7.9801    |paral   |2020yCat.1350....0G
6    |BD-00 1877                                                                                               |Star                           |08 00 30.1084938048 -01 17 24.005111640|222.1737085646906 +14.7038517247522|  -2.502 -4.397   |9.85     |A2V                    |    ~     ~    |    1|  705.169   pc  |  -9.5972     +9.5972    |paral   |2020yCat.1350....0G
7    |HD 65860                                                                                                 |Star                           |08 00 45.6048889800 -00 42 29.147804136|221.6762052309919 +15.0378793533740|-10.506 -18.373   |9.54     |G3V                    |    ~     ~    |    1|  134.327   pc  |  -0.2598     +0.2598    |paral   |2020yCat.1350....0G
8    |BD-00 1879                                                                                               |Star                           |08 00 49.1318987088 -00 25 38.752028760|221.4276102142919 +15.1841307616007|  -1.814 -4.368   |10.7     |F5V                    |    ~     ~    |    1|  305.288   pc  |  -1.4539     +1.4539    |paral   |2020yCat.1350....0G
9    |* 28 Mon                                                                                                 |Rotating Variable              |08 01 13.3357402 -01 23 33.393493      |222.3558965142 +14.8129986448      |   67.60 -76.26   |4.680    |K4III                  |    ~     ~    |    1|  132.0829  pc  |  -9.4347     +9.4347    |paral   |2018yCat.1345....0G
10   |BD-00 1883                                                                                               |Star                           |08 01 31.0764714864 -01 18 28.734416928|222.3155561165034 +14.9183678570389|   2.338 -3.900   |10.16    |K5                     |    ~     ~    |    1|  962.186   pc  | -33.7918    +33.7918    |paral   |2020yCat.1350....0G
