C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:30:39

dec< 0&rah >=8.25&rah< 8.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 9790

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |BD+00 2236                                                            |Star                                  |08 16 15.1838733840 -00 21 35.311363308|223.2964316059070 +18.6040665673756|    4.411 0.144   |9.45     |K5             |    ~     ~    |    1| 1411.233   pc  | -60.7432    +60.7432    |paral   |2020yCat.1350....0G
2   |BD+00 2238                                                            |Star                                  |08 16 18.7271778456 -00 12 18.903208032|223.1611164401360 +18.6916333316145|  -1.850 -1.988   |10.46    |A2             |    ~     ~    |    1|  914.913   pc  | -20.1733    +20.1733    |paral   |2020yCat.1350....0G
3   |BD+00 2240                                                            |Spectroscopic Binary                  |08 16 23.6148036984 -00 12 40.567328604|223.1770571134048 +18.7065651379156|  -3.846 -1.251   |9.69     |F8             |    ~     ~    |    1|  751.597   pc  | -25.8159    +25.8159    |paral   |2020yCat.1350....0G
4   |BD+00 2241                                                            |High Proper Motion Star               |08 16 26.7515036208 -00 15 52.452285552|223.2329975252361 +18.6922762894799|-79.880 -41.017   |8.91     |K0             |    ~     ~    |    1|  175.269   pc  |  -0.7680     +0.7680    |paral   |2020yCat.1350....0G
5   |HD 69058                                                              |Star                                  |08 15 15.6180059304 -00 45 41.921469576|223.5405069402717 +18.1924515587292|   -7.420 0.139   |9.19     |B9V            |    ~     ~    |    1|  634.719   pc  | -11.9249    +11.9249    |paral   |2020yCat.1350....0G
6   |HD 69153                                                              |Star                                  |08 15 39.1987272648 -01 14 50.398306260|224.0374310491293 +18.0424892887239|  -17.039 8.528   |8.16     |K0III          |    ~     ~    |    1|  342.936   pc  |  -2.5755     +2.5755    |paral   |2020yCat.1350....0G
7   |HD 69201                                                              |Star                                  |08 15 50.0145369576 -01 13 06.997539144|224.0341090089136 +18.0958277983013|  -6.755 -3.265   |9.19     |A0/1V          |    ~     ~    |    1|  565.547   pc  |  -8.2839     +8.2839    |paral   |2020yCat.1350....0G
8   |BD-00 1949                                                            |Star                                  |08 16 43.0070472792 -01 00 45.704311272|223.9578115612672 +18.3888893955504| -14.628 -0.124   |10.05    |F5             |    ~     ~    |    1|  259.754   pc  |  -1.2685     +1.2685    |paral   |2020yCat.1350....0G
9   |HD 69034                                                              |High Proper Motion Star               |08 15 00.8532425424 -02 01 15.826720152|224.6646933810062 +17.5253681639831| 19.347 -66.641   |8.85     |G5V            |    ~     ~    |    1|   85.064   pc  |  -0.1274     +0.1274    |paral   |2020yCat.1350....0G
10  |HD 69202                                                              |Star                                  |08 15 53.8959481296 -01 37 13.562389848|224.4112677034833 +17.9139878147455|  -13.654 7.408   |9.24     |F0V            |    ~     ~    |    1|  267.487   pc  |  -1.1591     +1.1591    |paral   |2020yCat.1350....0G
11  |BD-01 1998                                                            |High Proper Motion Star               |08 16 44.6352638496 -01 49 30.172815948|224.7075429736269 +17.9981655487581|  40.647 82.270   |10.32    |K2             |    ~     ~    |    1|   84.431   pc  |  -2.3688     +2.3688    |paral   |2020yCat.1350....0G
12  |HD 69524                                                              |Star                                  |08 17 19.0098702360 -01 50 19.488852996|224.7939223480382 +18.1162177038626|  -1.954 -8.001   |8.35     |K1III          |    ~     ~    |    1|  560.821   pc  |  -6.6364     +6.6364    |paral   |2020yCat.1350....0G
