C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:33:23

dec< 0&rah >=8.5&rah< 8.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 8703

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |HD 72212                                                                                                 |Star                              |08 31 39.4659112488 -00 10 59.036747340|225.1370074311607 +22.0515082757995|   3.271 -2.396   |8.33     |K0III          |    ~     ~    |    1|  516.742   pc  |  -6.5955     +6.5955    |paral   |2020yCat.1350....0G
2   |HD 72526                                                                                                 |Star                              |08 33 25.3596479856 -00 18 29.123289828|225.4899770237580 +22.3732601103265| -11.459 -9.730   |7.93     |B9.5V          |    ~     ~    |    1|  342.103   pc  |  -5.8517     +5.8517    |paral   |2020yCat.1350....0G
3   |BD+00 2338                                                                                               |Star                              |08 35 31.0652479632 -00 18 31.490471772|225.7720861779559 +22.8276826739220| -14.453 -7.620   |10.35    |F8             |    ~     ~    |    1|  172.536   pc  |  -0.5656     +0.5656    |paral   |2020yCat.1350....0G
4   |HD 72967                                                                                                 |High Proper Motion Star           |08 35 45.3821173224 -00 26 21.661492092|225.9271993433271 +22.8144593129044| 30.071 -55.923   |8.45     |K3III          |    ~     ~    |    1|  338.055   pc  |  -2.3885     +2.3885    |paral   |2020yCat.1350....0G
5   |HD 72986                                                                                                 |Spectroscopic Binary              |08 35 51.6342967344 -00 28 51.066562188|225.9803174733186 +22.8163768033103|  -12.825 1.137   |8.16     |A0V            |    ~     ~    |    1|  312.334   pc  |  -2.9851     +2.9851    |paral   |2020yCat.1350....0G
6   |BD+00 2341                                                                                               |Star                              |08 36 04.2406468464 -00 27 29.937991644|225.9875141709822 +22.8731457736157|   1.652 -4.273   |10.6     |A5             |    ~     ~    |    1|  412.729   pc  |  -3.7135     +3.7135    |paral   |2020yCat.1350....0G
7   |HD 73250                                                                                                 |Star                              |08 37 27.9826033824 -00 26 10.038524244|226.1557253357212 +23.1866250199839|  1.287 -12.604   |8.80     |K3III          |    ~     ~    |    1| 1173.709   pc  | -25.8987    +25.8987    |paral   |2020yCat.1350....0G
8   |BD-00 2006                                                                                               |Star                              |08 30 50.3480531640 -00 39 49.575940992|225.4782578609281 +21.6360200683120|   -3.711 3.159   |9.39     |K0             |    ~     ~    |    1|  546.388   pc  |  -6.6574     +6.6574    |paral   |2020yCat.1350....0G
9   |BD-00 2007                                                                                               |Star                              |08 31 13.7055376152 -00 57 58.889654136|225.8127560258791 +21.5703937547772|  -41.327 5.151   |9.99     |F5             |    ~     ~    |    1|  375.389   pc  |  -2.8183     +2.8183    |paral   |2020yCat.1350....0G
10  |BD-00 2008                                                                                               |Star                              |08 31 17.4578383152 -00 35 36.374195328|225.4726865963042 +21.7689783205641|   -4.226 0.162   |9.51     |K2             |    ~     ~    |    1|  880.592   pc  | -17.0597    +17.0597    |paral   |2020yCat.1350....0G
