C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:35:56

dec< 0&rah >=8.75&rah< 9.0&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 7769

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |HD 74657                                                                                                 |Star                                  |08 45 15.7080900216 -00 17 56.053667364|227.0978682467491 +24.9406922981438|  -5.506 -6.232   |8.90     |G8III              |    ~     ~    |    1|  464.059   pc  |  -5.7283     +5.7283    |paral   |2020yCat.1350....0G
2   |ADS 6976 AB                                                                                              |Double or Multiple Star               |08 45 24.6191905128 -00 13 03.694332216|227.0412389199618 +25.0137587405641|  -3.280 -2.277   |9.08     |A9V                |    ~     ~    |    1|  374.574   pc  | -32.8175    +32.8175    |paral   |2020yCat.1350....0G
3   |HD 74816                                                                                                 |Star                                  |08 46 12.4110042552 -00 15 19.713208032|227.1883706172707 +25.1664855411307|  -2.142 -2.819   |9.231    |K0III              |    ~     ~    |    1|  361.933   pc  |  -9.8490     +9.8490    |ST-L    |2020AJ....160...83S
4   |BD+00 2385                                                                                               |Star                                  |08 46 35.8752973800 -00 28 30.559597824|227.4523268413004 +25.1394445301106|  -26.485 9.700   |10.20    |F5                 |    ~     ~    |    1|  447.908   pc  |  -3.9322     +3.9322    |paral   |2020yCat.1350....0G
5   |BD+00 2386                                                                                               |Star                                  |08 46 40.6415048112 -00 16 30.767502540|227.2729942970690 +25.2579384832663|  -15.577 3.075   |9.73     |K0                 |    ~     ~    |    1|  643.045   pc  |  -6.6161     +6.6161    |paral   |2020yCat.1350....0G
6   |HD 74912                                                                                                 |Spectroscopic Binary                  |08 46 45.9312326616 -00 21 12.012561108|227.3598062133478 +25.2373511694140| -3.371 -17.485   |7.59     |K0III              |    ~     ~    |    1|  203.965   pc  |  -0.8445     +0.8445    |paral   |2020yCat.1350....0G
7   |BD+00 2391                                                                                               |Star                                  |08 47 32.3014520928 -00 30 50.095339776|227.6212983077743 +25.3222312565097|  -4.308 -0.808   |9.58     |M0                 |    ~     ~    |    1| 1709.694   pc  | -80.6763    +80.6763    |paral   |2020yCat.1350....0G
8   |BD+00 2394                                                                                               |Variable Star                         |08 48 17.9775986520 -00 16 46.406132544|227.5049220450502 +25.6052554402336|  6.228 -34.553   |10.8     |F2                 |    ~     ~    |    1|  429.092   pc  |  -3.1300     +3.1300    |paral   |2020yCat.1350....0G
9   |BD+00 2395                                                                                               |Star                                  |08 48 18.6240312336 -00 18 45.725150592|227.5380935615333 +25.5907349596651|-24.535 -14.801   |9.865    |K2                 |    ~     ~    |    1|  407.123   pc  | -10.4800    +10.4800    |ST-L    |2020AJ....160...83S
10  |HD 74723                                                                                                 |High Proper Motion Star               |08 45 37.1996243328 -00 41 03.966938952|227.5142759662116 +24.8225690499178|-40.030 -38.217   |8.54     |K0III              |    ~     ~    |    1|  257.619   pc  |  -1.5397     +1.5397    |paral   |2020yCat.1350....0G
11  |BD-00 2062                                                                                               |Star                                  |08 46 26.5131760248 -00 59 20.773751316|227.9184813737707 +24.8442283988917|  -7.440 -1.301   |10.6     |K5                 |    ~     ~    |    1| 1395.868   pc  | -34.8772    +34.8772    |paral   |2020yCat.1350....0G
12  |BD-00 2063                                                                                               |Star                                  |08 46 50.1669918696 -00 46 41.775161808|227.7739316408548 +25.0365366770126|   2.014 -6.587   |9.947    |K0                 |    ~     ~    |    1|  915.510   pc  | -45.9300    +45.9300    |ST-L    |2020AJ....160...83S
