C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:38:12

dec< 0&rah >=9.0&rah< 9.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 7147

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |BD+00 2441                                                            |Star                              |09 00 14.7682841880 -00 16 28.488208260|229.2209054453627 +28.1700421175475| -28.101 -1.961   |9.60     |F2             |    ~     ~    |    1|  205.512   pc  |  -3.2370     +3.2370    |ST-L    |2020AJ....160...83S
2   |BD+00 2443                                                            |Star                              |09 01 29.0436779232 -00 15 55.447551072|229.3949441018226 +28.4390792306261|  -10.274 0.308   |9.46     |F0             |    ~     ~    |    1|  215.308   pc  |  -9.7073     +9.7073    |paral   |2020yCat.1350....0G
3   |BD+00 2448                                                            |Star                              |09 01 43.4710759080 -00 31 20.556979500|229.6797740985267 +28.3561853473586|  -6.652 -1.121   |8.83     |K              |    ~     ~    |    1|  991.572   pc  | -24.1871    +24.1871    |paral   |2020yCat.1350....0G
4   |HD 77353                                                              |High Proper Motion Star           |09 01 57.9873674304 -00 28 57.627593328|229.6772736571080 +28.4285010266306| -48.403 69.091   |5.627    |K0III          |    ~     ~    |    1|  171.588   pc  |  -2.0286     +2.0286    |paral   |2020yCat.1350....0G
5   |BD-00 2105                                                            |High Proper Motion Star           |09 00 22.4026658112 -01 09 37.820627064|230.0946355327995 +27.7339154956502| 12.881 -52.851   |9.57     |G0             |    ~     ~    |    1|  232.677   pc  |  -1.3426     +1.3426    |paral   |2020yCat.1350....0G
6   |BD-00 2107                                                            |Spectroscopic Binary              |09 00 50.8558557744 -00 40 46.712407116|229.7017245259449 +28.0870852904206|  -4.135 -6.294   |8.83     |K0             |    ~     ~    |    1|  437.139   pc  |  -6.5544     +6.5544    |paral   |2020yCat.1350....0G
7   |BD-00 2109                                                            |Star                              |09 01 36.8953287720 -00 53 04.600605696|230.0136367377946 +28.1429458452862|  -5.598 -3.188   |9.54     |K5             |    ~     ~    |    1| 1159.958   pc  | -27.1792    +27.1792    |paral   |2020yCat.1350....0G
8   |HD 77280                                                              |Star                              |09 01 38.5582802472 -00 34 52.914617652|229.7247153014508 +28.3078761974101|   7.117 -6.180   |7.77     |A2IV           |    ~     ~    |    1|  218.417   pc  |  -1.9655     +1.9655    |paral   |2020yCat.1350....0G
9   |HD 77281                                                              |Star                              |09 01 38.0090336520 -01 28 34.767080940|230.5857106690316 +27.8347946284720|-17.398 -13.275   |7.35     |A3IV           |    ~     ~    |    1|  193.248   pc  |  -1.3145     +1.3145    |paral   |2020yCat.1350....0G
10  |HD 77354                                                              |High Proper Motion Star           |09 01 56.8142997720 -01 07 31.246263300|230.2952242297733 +28.0867670318594|-36.653 -43.886   |7.94     |G1V            |    ~     ~    |    1|  175.000   pc  |  -0.7840     +0.7840    |paral   |2020yCat.1350....0G
11  |HD 77446                                                              |Star                              |09 02 28.5094302576 -01 28 53.435027244|230.7168420183292 +28.0104321905637|  -6.099 -0.163   |9.654    |B9V            |    ~     ~    |    1|  572.676   pc  | -43.4200    +43.4200    |ST-L    |2020AJ....160...83S
12  |BD-00 2117                                                            |Spectroscopic Binary              |09 02 28.9794487320 -01 30 53.057162988|230.7499197277421 +27.9944630796621| -38.856 -3.867   |10.41    |~              |    ~     ~    |    1|  299.499   pc  |  -5.1430     +5.1430    |ST-L    |2020AJ....160...83S
13  |BD-00 2118                                                            |Spectroscopic Binary              |09 02 31.3332281184 -01 10 52.798591092|230.4352319786470 +28.1793353851158|-14.241 -31.131   |9.903    |G5             |    ~     ~    |    1|  133.541   pc  |  -1.5200     +1.5200    |ST-L    |2020AJ....160...83S
14  |BD-01 2175                                                            |High Proper Motion Star           |09 00 07.7628647136 -01 44 29.641085448|230.6150602651617 +27.3754898243183| 77.276 -78.566   |10.74    |G0             |    ~     ~    |    1|  203.500   pc  |  -5.6776     +5.6776    |paral   |2020yCat.1350....0G
15  |BD-01 2179                                                            |High Proper Motion Star           |09 01 11.2478571456 -01 38 00.116626956|230.6695049470720 +27.6570684952147|162.494 -63.197   |10.27    |G5             |    ~     ~    |    1|  118.185   pc  |  -0.3003     +0.3003    |paral   |2020yCat.1350....0G
16  |BD-01 2185                                                            |Star                              |09 01 32.2934582640 -01 41 21.726232152|230.7756119730040 +27.7016789838707| -11.346 -3.349   |9.81     |K0             |    ~     ~    |    1|  597.943   pc  |  -5.6133     +5.6133    |paral   |2020yCat.1350....0G
17  |HD 77459                                                              |Star                              |09 02 31.8130864728 -01 48 38.405228256|231.0406815688033 +27.8471261716118| 12.664 -28.251   |8.62     |K0III          |    ~     ~    |    1|  423.227   pc  |  -4.1019     +4.1019    |paral   |2020yCat.1350....0G
18  |TYC 4878-1518-1                                                       |Star                              |09 01 37.6559616504 -01 12 40.466359980|230.3301927375827 +27.9736533150296|  -0.736 -1.573   |10.800   |~              |    ~     ~    |    1| 1673.750   pc  |-153.9000   +153.9000    |ST-L    |2020AJ....160...83S
19  |PPM 704622                                                            |Star                              |09 01 43.0749190776 -00 29 13.001124696|229.6444719710196 +28.3733085731260|  -12.664 1.708   |10.2     |~              |    ~     ~    |    1|  361.376   pc  |  -2.7816     +2.7816    |paral   |2020yCat.1350....0G
20  |BD-00 2115                                                            |High Proper Motion Star           |09 02 30.5296286136 -00 40 41.610552996|229.9474731149590 +28.4414979025025|-13.760 -101.878  |9.79     |~              |    ~     ~    |    1|   69.572   pc  |  -0.3112     +0.3112    |ST-L    |2020AJ....160...83S
21  |HD 77279                                                              |High Proper Motion Star           |09 01 35.5884266832 -00 00 03.891487860|229.1541755341633 +28.5998738723022|-29.186 -41.229   |7.84     |F3V            |    ~     ~    |    1|  115.334   pc  |  -0.4430     +0.4430    |paral   |2020yCat.1350....0G
22  |BD+00 2450                                                            |High Proper Motion Star           |09 02 18.8024942688 -00 09 00.947710332|229.4060715377140 +28.6760305245813|-35.356 -45.441   |9.03     |K0             |    ~     ~    |    1|  382.555   pc  |  -6.8638     +6.8638    |paral   |2020yCat.1350....0G
23  |HD 78824                                                              |Star                              |09 10 20.4738087360 -00 03 11.194271532|230.5229415490700 +30.4348907286424|   4.206 14.087   |8.20     |F0V            |    ~     ~    |    1|  235.621   pc  |  -2.1485     +2.1485    |paral   |2020yCat.1350....0G
24  |BD+00 2475                                                            |Star                              |09 10 46.0862131464 -00 10 23.822825808|230.7067644759729 +30.4616775288641| -11.268 -9.569   |9.77     |G5             |    ~     ~    |    1|  629.644   pc  |  -6.7397     +6.7397    |paral   |2020yCat.1350....0G
25  |BD+00 2453                                                            |Star                              |09 04 24.2903054352 -00 23 10.714208784|229.9479624386716 +28.9981606020996|  -10.017 6.884   |10.40    |G5             |    ~     ~    |    1|  788.706   pc  |  -9.5175     +9.5175    |paral   |2020yCat.1350....0G
26  |BD+00 2455                                                            |Star                              |09 04 56.6672884896 -00 25 55.193705724|230.0735183042096 +29.0889173286448| -10.016 13.660   |9.55     |K0             |    ~     ~    |    1|  617.132   pc  |  -5.5223     +5.5223    |paral   |2020yCat.1350....0G
27  |BD+00 2460                                                            |Star                              |09 06 48.5650513440 -00 18 45.408993876|230.2387239678628 +29.5481287917897|  -50.099 6.198   |9.80     |G0             |    ~     ~    |    1|  255.037   pc  |  -5.5027     +5.5027    |paral   |2020yCat.1350....0G
28  |BD+00 2463                                                            |Star                              |09 08 35.5599351624 -00 16 59.462025060|230.4811318748663 +29.9422258697869| -24.420 -9.466   |9.68     |K0             |    ~     ~    |    1|  470.757   pc  | -21.8100    +21.8100    |ST-L    |2020AJ....160...83S
