C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:40:29

dec< 0&rah >=9.25&rah< 9.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 7195

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------------|-----|----------------|-------------------------|--------|-------------------
1   |BD+00 2496                                                                                               |Star                              |09 19 11.0139531384 -00 11 59.414489268|232.0533184904357 +32.2236427528516|  -6.365 -9.877   |9.899    |G5             |    ~     ~          |    1|  674.800   pc  | -26.6200    +26.6200    |ST-L    |2020AJ....160...83S
2   |HD 80631                                                                                                 |Star                              |09 20 55.5302496744 -00 10 15.414530124|232.3042636510125 +32.6052197315291|  -14.662 2.074   |8.59     |K0III          |    ~     ~          |    1|  508.388   pc  |  -5.5052     +5.5052    |paral   |2020yCat.1350....0G
3   |HD 80905                                                                                                 |Star                              |09 22 26.1729095040 -00 09 36.392497920|232.5378421214035 +32.9279880133455|   1.724 23.148   |9.835    |F5V            |    ~     ~          |    1|  203.929   pc  |  -2.7960     +2.7960    |ST-L    |2020AJ....160...83S
4   |BD+00 2492                                                                                               |Star                              |09 17 46.2818743752 -00 10 09.434997372|231.7978809749528 +31.9430425577195|   -8.864 2.249   |9.87     |~              |    ~     ~          |    1| 1244.865   pc  | -28.3593    +28.3593    |paral   |2020yCat.1350....0G
5   |TYC 4880-100-1                                                                                           |Star                              |09 21 19.5758927328 -00 01 05.948855328|232.2165829661328 +32.7722175664368|    3.151 4.415   |10.519   |~              |    ~     ~          |    1|  864.342   pc  | -32.5400    +32.5400    |ST-L    |2020AJ....160...83S
6   |HD 79683                                                                                                 |Star                              |09 15 33.9376780272 -00 21 15.929516052|231.6322617569718 +31.3787052121136|   0.292 -9.444   |9.119    |K2III          |    ~     ~          |    1|  629.719   pc  | -32.1800    +32.1800    |ST-L    |2020AJ....160...83S
7   |BD+00 2502                                                                                               |Star                              |09 21 05.4837050160 -00 13 18.262327584|232.3816344923649 +32.6124266701655| -19.923 -6.527   |10.457   |F0             |    ~     ~          |    1|  201.625   pc  |  -2.3950     +2.3950    |ST-L    |2020AJ....160...83S
8   |HD 80871                                                                                                 |Star                              |09 22 10.2308509680 -00 25 33.106544904|232.7596545924935 +32.7272491106156|  -29.799 0.490   |7.59     |K0III          |    ~     ~          |    1|  191.961   pc  |  -0.8254     +0.8254    |paral   |2020yCat.1350....0G
9   |HD 79684                                                                                                 |Star                              |09 15 30.5159578632 -00 37 13.400304600|231.8854853105970 +31.2233807524741|  -25.456 1.759   |9.293    |F1IV           |    ~     ~          |    1|  166.215   pc  |  -1.5390     +1.5390    |ST-L    |2020AJ....160...83S
10  |HD 79727                                                                                                 |Star                              |09 15 42.3702503832 -01 14 31.432988832|232.5266192855276 +30.9277697909637|-26.251 -16.527   |9.04     |G5/8           |    ~     ~          |    1|  426.055   pc  | -10.1300    +10.1300    |ST-L    |2020AJ....160...83S
11  |HD 79728                                                                                                 |High Proper Motion Star           |09 15 43.0189131288 -01 14 29.851325952|232.5279055320911 +30.9302752130670|-118.198 -71.274  |9.09     |G2/3V          |    ~     ~          |    1|   96.727   pc  |  -0.5257     +0.5257    |ST-L    |2020AJ....160...83S
12  |HD 79749                                                                                                 |Star                              |09 15 45.8006161824 -01 21 41.372609292|232.6523811572706 +30.8746426975261|-30.691 -22.582   |8.83     |K2III          |    ~     ~          |    1|  254.673   pc  |  -1.2258     +1.2258    |paral   |2020yCat.1350....0G
13  |HD 79801                                                                                                 |Double or Multiple Star           |09 16 08.0401580760 -00 57 53.319428712|232.3229549075072 +31.1683107967941| -21.280 -6.252   |8.62     |G5/6V          |    ~     ~          |    1|  381.025   pc  |  -8.4930     +8.4930    |paral   |2020yCat.1350....0G
14  |HD 79840                                                                                                 |Star                              |09 16 20.8618094736 -01 14 01.283746308|232.6203851700836 +31.0667667922580|  -28.536 5.043   |8.93     |K1V            |    ~     ~          |    1|  397.283   pc  |  -3.6617     +3.6617    |paral   |2020yCat.1350....0G
15  |HD 79909                                                                                                 |Double or Multiple Star           |09 16 47.304 -00 49 38.65              |232.291898 +31.380289              |   -11.10 -1.40   |9.19     |F5V            |    ~     ~          |    0|                |                         |        |                   
16  |HD 80047                                                                                                 |Star                              |09 17 31.4774986032 -01 25 24.929839452|232.9940829759096 +31.2091751470767| -35.396 19.315   |9.898    |G0V            |    ~     ~          |    1|  167.630   pc  |  -1.7210     +1.7210    |ST-L    |2020AJ....160...83S
