C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:18:34

Vmag< 11&dec< 0&rah >=9.5&rah< 9.75
-----------------------------------

Number of objects : 7080

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
1   |HD 82291                                                              |Star                              |09 31 10.1251282320 -00 15 48.407443308|234.0904012498004 +34.6923375003575| 18.817 -15.858   |9.77     |G8/K0(III)     |    ~     ~    
2   |BD-00 2205                                                            |Double or Multiple Star           |09 30 05.773344 -01 23 34.87524        |235.039090150 +33.836111556        |     -13.8 -4.8   |10.115   |A5             |    ~     ~    
3   |BD-00 2206                                                            |Star                              |09 30 10.7612029632 -00 48 18.941750280|234.4672646084751 +34.1842658361061|-18.405 -15.332   |9.91     |G5             |    ~     ~    
4   |HD 82141                                                              |Star                              |09 30 16.6542235632 -00 45 24.879316428|234.4354997143325 +34.2317052008166|   -2.533 0.191   |9.801    |F7V            |    ~     ~    
5   |HD 82311                                                              |Star                              |09 31 11.3024142720 -00 44 51.412366176|234.5809006084504 +34.4253731186527| -2.465 -21.063   |9.65     |A3Va+          |    ~     ~    
6   |BD-00 2209                                                            |Star                              |09 31 25.8720236016 -01 36 20.184356340|235.4780975984181 +33.9902845852762|  -16.660 6.712   |9.41     |K0             |    ~     ~    
7   |* tau02 Hya                                                           |Star                              |09 31 58.9259456664 -01 11 04.816868928|235.1537978484790 +34.3426248874848| -11.906 -2.198   |4.548    |A2V            |    ~     ~    
8   |HD 82572                                                              |Star                              |09 32 46.7925870576 -00 43 54.798586500|234.8371439121991 +34.7630587119723|  -6.875 -7.580   |9.129    |K0III          |    ~     ~    
9   |BD-01 2271                                                            |Star                              |09 31 06.1339527960 -02 10 03.447668208|235.9768023033027 +33.6018701809040|   -0.639 1.882   |9.75     |G0             |    ~     ~    
10  |HD 82545                                                              |High Proper Motion Star           |09 32 30.8173869672 -01 50 32.158861620|235.8988877911884 +34.0772841948255|-111.193 -40.401  |9.30     |F5V            |    ~     ~    
11  |TYC 4894-763-1                                                        |Star                              |09 30 40.2425530392 -01 01 24.898243080|234.7689634375286 +34.1631450229097|  -0.319 -7.630   |10.85    |~              |    ~     ~    
12  |TYC 4894-447-1                                                        |Star                              |09 30 47.8527129144 -00 22 03.309747348|234.1325055909832 +34.5572208578090|   -7.346 5.566   |10.54    |~              |    ~     ~    
13  |BD-00 2210                                                            |Star                              |09 31 26.8131246960 -01 05 26.293111728|234.9682907032816 +34.2855113856454|  -0.652 15.249   |9.84     |~              |    ~     ~    
14  |TYC 4894-862-1                                                        |Star                              |09 31 35.0503365744 -00 27 52.947397908|234.3639295833123 +34.6659721076687|  5.782 -13.498   |10.519   |~              |    ~     ~    
15  |TYC 4894-527-1                                                        |Star                              |09 31 36.7505721216 -00 35 50.077022784|234.5021405976011 +34.5975392057816|  -2.987 -0.736   |10.313   |~              |    ~     ~    
16  |TYC 4894-1107-1                                                       |High Proper Motion Star           |09 31 42.9488101320 -00 34 41.166085044|234.5004975586956 +34.6296561256584|-55.479 -14.068   |10.9     |~              |    ~     ~    
17  |BD+00 2529                                                            |Star                              |09 32 27.5975331624 -00 28 04.555534332|234.5165878160829 +34.8454549524656| -3.364 -31.930   |10.425   |~              |    ~     ~    
18  |TYC 4894-212-1                                                        |Star                              |09 30 35.7495676992 -00 17 34.641778884|234.0231387768254 +34.5569787133329| -35.951 13.541   |10.542   |~              |    ~     ~    
19  |TYC 4894-325-1                                                        |High Proper Motion Star           |09 31 24.5752064928 -00 12 10.754479728|234.0701929770715 +34.7760305791468| -58.126 20.197   |10.506   |F7V            |    ~     ~    
