C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:45:07

dec< 0&rah >=9.75&rah< 10.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 6870

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 84499                                                                                                 |Star                              |09 45 46.6160807280 -00 11 21.829104096|236.5881186827727 +37.7394020048797|   0.265 -4.427    |9.04     |A4V            |    ~     ~    |    1|  449.479   pc  |  -5.3336     +5.3336  |paral   |2020yCat.1350....0G
2   |BD+00 2554                                                                                               |High Proper Motion Star           |09 46 13.5930899616 -00 00 04.401485100|236.4761568776292 +37.9399667898070|24.957 -156.657    |10.09    |G5             |    ~     ~    |    1|   89.683   pc  |  -0.1271     +0.1271  |paral   |2020yCat.1350....0G
3   |BD+00 2555                                                                                               |Star                              |09 46 15.6827961072 -00 06 18.849084120|236.5900643861663 +37.8868760079253| -1.118 -12.157    |10.6     |~              |    ~     ~    |    1|  331.367   pc  |  -2.0863     +2.0863  |paral   |2020yCat.1350....0G
4   |HD 84420                                                                                                 |Star                              |09 45 11.4098072112 -00 27 53.574144552|236.7640114325624 +37.4601365153897| -2.766 -18.713    |7.19     |K0III          |    ~     ~    |    1|  211.941   pc  |  -0.9837     +0.9837  |paral   |2020yCat.1350....0G
5   |HD 84635                                                                                                 |Star                              |09 46 38.4776934024 -00 36 42.002512632|237.1811198489044 +37.6694977344035| -30.842 -3.221    |8.73     |F7V            |    ~     ~    |    1|   87.835   pc  |  -0.1975     +0.1975  |paral   |2020yCat.1350....0G
6   |HD 84703                                                                                                 |High Proper Motion Star           |09 47 04.9042893216 -00 37 08.013937584|237.2699121779990 +37.7545923930836|51.736 -119.043    |7.89     |F8/G0V         |    ~     ~    |    1|   66.420   pc  |  -0.1191     +0.1191  |paral   |2020yCat.1350....0G
7   |BD-00 2245                                                                                               |Star                              |09 46 04.9991677944 -01 10 26.029813980|237.6517756591066 +37.2268467720870|-27.829 -10.851    |10.416   |G5             |    ~     ~    |    1|  294.539   pc  |  -6.9970     +6.9970  |ST-L    |2020AJ....160...83S
8   |HD 84663                                                                                                 |Star                              |09 46 49.0969655280 -01 17 42.928261008|237.9110241540391 +37.3036928403447| 26.551 -15.004    |9.757    |F0/2+(G)       |    ~     ~    |    1|  251.467   pc  |  -4.1190     +4.1190  |ST-L    |2020AJ....160...83S
9   |HD 84765                                                                                                 |High Proper Motion Star           |09 47 23.1397880472 -01 00 47.530285092|237.7295178180863 +37.5845848760707| 31.914 -42.400    |8.27     |F5V            |    ~     ~    |    1|  191.729   pc  |  -1.1543     +1.1543  |paral   |2020yCat.1350....0G
10  |TYC 4895-798-1                                                                                           |Star                              |09 45 46.8851167392 -01 26 37.674601584|237.8694804012445 +37.0068383927730|   5.756 -2.648    |10.314   |K0             |    ~     ~    |    1|  675.167   pc  | -32.8900    +32.8900  |ST-L    |2020AJ....160...83S
11  |HD 84682                                                                                                 |High Proper Motion Star           |09 46 50.6801518752 -01 54 23.213492856|238.5330128905670 +36.9463983086931| 57.330 -13.964    |8.51     |G8IV/V         |    ~     ~    |    1|  139.864   pc  |  -0.4910     +0.4910  |paral   |2020yCat.1350....0G
12  |TYC 4895-1173-1                                                                                          |High Proper Motion Star           |09 45 37.8149050632 -00 58 28.548353928|237.3656053022343 +37.2521853153363| -95.963 -5.100    |10.7     |K              |    ~     ~    |    1|   67.370   pc  |  -0.1039     +0.1039  |paral   |2020yCat.1350....0G
13  |TYC 4895-338-1                                                                                           |Star                              |09 45 27.5190558048 -01 43 22.795097844|238.0914459757981 +36.7767402787341|   -7.526 2.351    |10.595   |~              |    ~     ~    |    1| 1743.040   pc  |-168.3000   +168.3000  |ST-L    |2020AJ....160...83S
14  |BD-00 2244                                                                                               |Star                              |09 45 55.5630802896 -01 01 02.093712816|237.4634983901384 +37.2870760630848| 10.895 -13.529    |10.640   |~              |    ~     ~    |    1|  537.141   pc  | -17.7300    +17.7300  |ST-L    |2020AJ....160...83S
15  |BD+00 2553                                                                                               |Star                              |09 46 09.6589361184 -00 37 54.900515640|237.1133418582621 +37.5602064236029| -11.113 -6.030    |10.18    |~              |    ~     ~    |    1| 1378.360   pc  | -35.1477    +35.1477  |paral   |2020yCat.1350....0G
16  |ASAS J094615-0024.7                                                                                      |High Proper Motion Star           |09 46 15.0269586312 -00 24 53.486596296|236.9070856635973 +37.7048926190186|-61.080 -53.285    |10.597   |K7e            |    ~     ~    |    1|   58.805   pc  |  -1.8241     +1.8241  |paral   |2020yCat.1350....0G
17  |TYC 4895-1117-1                                                                                          |Spectroscopic Binary              |09 46 36.4177153344 -00 15 36.119066868|236.8132989671793 +37.8674360457887|  -27.843 7.219    |10.36    |~              |    ~     ~    |    1|  255.428   pc  |  -7.3660     +7.3660  |paral   |2020yCat.1350....0G
18  |TYC 4895-944-1                                                                                           |Star                              |09 47 19.6659733824 -01 18 15.506565300|238.0148931980962 +37.4010555497982| -3.921 -13.656    |10.783   |~              |    ~     ~    |    1|  814.610   pc  | -28.5900    +28.5900  |ST-L    |2020AJ....160...83S
19  |GSC 04895-01672                                                                                          |Double or Multiple Star           |09 47 24.509232 -01 44 32.48232        |238.473018451 +37.157304969        |     -14.3 -1.3    |10.505   |~              |    ~     ~    |    1|  834.377   pc  | -45.3400    +45.3400  |ST-L    |2020AJ....160...83S
