C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:45:56

Vmag< 11&dec< 0&rah >=1.0&rah< 1.25
-----------------------------------

Number of objects : 2309

 #  |                                                                                                                                                                                           identifier                                                                                                                                                                                            |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type      |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------------|---------------
1   |CD-42 346                                                                                                                                                                                                                                                                                                                                                                                        |High Proper Motion Star       |01 00 26.9157866184 -41 23 45.736255608|296.1166837840771 -75.6127577921243|  33.461 66.800   |10.96    |F8                    |    ~     ~    
2   |HD 6012                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 00 55.1446396008 -41 27 34.052104584|295.8030400685466 -75.5372913843915| -10.250 -1.131   |10.08    |G0V                   |    ~     ~    
3   |CD-42 358                                                                                                                                                                                                                                                                                                                                                                                        |High Proper Motion Star       |01 01 50.8720443504 -41 20 48.577927344|295.0420107502702 -75.6215561229065|133.582 -17.190   |10.644   |G5                    |    ~     ~    
4   |CD-42 359                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 01 50.5074773376 -41 40 51.790448820|295.2606414142405 -75.2918677643771|  28.624 -3.398   |10.355   |F5                    |    ~     ~    
5   |HD 6141                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 02 00.2274336312 -41 32 40.170408252|295.0554471057454 -75.4217718145490|   -6.544 6.873   |8.96     |G8/K0(III)            |    ~     ~    
6   |HD 6533                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 05 40.2094978128 -41 22 09.987598236|292.2395179542182 -75.4619880407664| 46.218 -18.846   |9.31     |F8V                   |    ~     ~    
7   |HD 6534                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 05 46.6010170128 -41 31 45.985885068|292.3016205386700 -75.3015117082114|  53.178 29.832   |8.26     |K1III/IV              |    ~     ~    
8   |HD 6577                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 06 06.2318727096 -41 30 03.064878252|292.0411281477735 -75.3157965739858|  40.564 57.963   |8.88     |G6/8V                 |    ~     ~    
9   |HD 6105                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 01 43.7576168880 -42 07 18.096005532|295.6078679284833 -74.8598873571307|   6.046 -1.643   |9.71     |K1/3                  |    ~     ~    
10  |HD 6190                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 02 21.5156764116 -42 07 24.405323646|295.1680087956545 -74.8397739106721|  -6.056 28.046   |9.64     |G5V                   |    ~     ~    
11  |CD-42 368                                                                                                                                                                                                                                                                                                                                                                                        |High Proper Motion Star       |01 04 31.5820403280 -42 02 16.733767020|293.5956614914858 -74.8521622170228|  90.386 52.342   |10.50    |F8                    |    ~     ~    
12  |HD 6571                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 06 03.1772962008 -41 50 10.578426000|292.3676048563847 -74.9908349472885|  16.631 17.895   |7.71     |K3III                 |    ~     ~    
13  |HD 5977                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 00 30.8223761520 -43 18 55.169060832|297.0380108640356 -73.7089112738272|   -1.552 5.012   |8.91     |A9V                   |    ~     ~    
14  |CD-43 294                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 02 07.3718782872 -43 02 10.083491340|295.8566599111288 -73.9450213017287|-17.938 -13.764   |10.363   |~                     |    ~     ~    
15  |CD-43 295                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 02 10.8119602176 -42 23 49.154679708|295.4569169282553 -74.5749937024919|  39.078 19.199   |10.46    |F8                    |    ~     ~    
16  |HD 6368                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 04 06.9855769656 -43 18 01.997010220|294.7258232988746 -73.6251050492050|   38.667 1.130   |8.76     |F5V                   |    ~     ~    
17  |HD 6444                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 04 46.9232000112 -43 03 50.569868232|294.1475960985947 -73.8358620817839|  61.237 18.939   |8.46     |F2V                   |    ~     ~    
18  |HD 6520                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 05 33.9339788664 -42 51 57.261088296|293.5020922827002 -74.0027086017128| -29.885 -7.844   |9.18     |F6V                   |    ~     ~    
19  |CD-43 314                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 05 40.0470056712 -43 14 21.358358988|293.7011534982940 -73.6330234695914|   5.752 -0.010   |10.34    |~                     |    ~     ~    
20  |HD 6578                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 06 07.9669402368 -42 34 27.522018084|292.9108021735619 -74.2668177945723|  -14.370 2.538   |8.55     |G8II/III              |    ~     ~    
21  |CD-43 319                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 06 41.5240900944 -42 39 04.474279116|292.6016217168052 -74.1696779364156|-26.371 -20.292   |10.379   |F5                    |    ~     ~    
22  |CD-44 293                                                                                                                                                                                                                                                                                                                                                                                        |Spectroscopic Binary          |01 02 41.7944792832 -43 21 34.214726808|295.6632056305079 -73.6094924274437|   20.118 2.461   |10.367   |G5III                 |    ~     ~    
23  |HD 6505                                                                                                                                                                                                                                                                                                                                                                                          |Spectroscopic Binary          |01 05 29.7407673792 -43 28 40.203003792|293.9718446507241 -73.4050050016574| -9.962 -26.149   |9.54     |F6V                   |    ~     ~    
24  |CD-44 282                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 01 16.4690054376 -43 32 31.283356272|296.6575211409962 -73.4661904512986|  14.636 -2.100   |10.19    |~                     |    ~     ~    
25  |CD-44 283                                                                                                                                                                                                                                                                                                                                                                                        |Double or Multiple Star       |01 01 28.5257161296 -43 22 22.190840436|296.4485925019909 -73.6288387692532|   3.925 -3.051   |10.830   |~                     |    ~     ~    
26  |CD-43 300                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 03 37.3082956992 -42 45 34.080195348|294.7073473565303 -74.1736671725693|-17.340 -15.301   |10.628   |~                     |    ~     ~    
27  |CD-42 374                                                                                                                                                                                                                                                                                                                                                                                        |High Proper Motion Star       |01 05 16.9317811488 -42 02 42.409983048|293.0754985259122 -74.8171383255812|-33.597 -46.068   |10.21    |~                     |    ~     ~    
28  |CD-43 316                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 05 55.7808920496 -42 28 08.303396592|292.9645187541730 -74.3776597407675|  18.640 21.431   |10.82    |~                     |    ~     ~    
29  |CD-42 379                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 06 04.3264051176 -42 04 01.433156592|292.5467511016644 -74.7647951158227|-14.374 -36.541   |10.36    |~                     |    ~     ~    
30  |CD-42 383                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 06 40.3826433912 -42 12 45.123242400|292.2561293744406 -74.5984316600530|   -8.982 8.473   |10.72    |~                     |    ~     ~    
31  |CD-42 384                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 06 42.8172834816 -42 17 57.589362312|292.3010905527347 -74.5121380865580|  37.904 16.122   |10.08    |~                     |    ~     ~    
32  |CD-44 277                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 00 24.4384314528 -43 20 26.859126120|297.1177256541986 -73.6860554555982|  -4.086 -2.396   |10.016   |~                     |    ~     ~    
33  |TYC 7536-32-1                                                                                                                                                                                                                                                                                                                                                                                    |Star                          |01 03 06.1243053384 -41 11 49.697494152|293.9991487782138 -75.7281686189782|  -1.302 -0.274   |10.778   |~                     |    ~     ~    
34  |TYC 7536-515-1                                                                                                                                                                                                                                                                                                                                                                                   |Star                          |01 02 04.7355996144 -41 46 22.720715976|295.1470602384799 -75.1940372286788|  30.944 -2.421   |10.499   |~                     |    ~     ~    
35  |TYC 7536-1026-1                                                                                                                                                                                                                                                                                                                                                                                  |Star                          |01 03 28.8872506488 -41 06 07.130250468|293.6413352432461 -75.8082777224396|  46.360 -5.932   |10.99    |~                     |    ~     ~    
36  |CD-44 284                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 01 52.8919223712 -43 46 39.336475044|296.3909697865956 -73.2177761452689|-45.303 -12.505   |10.93    |~                     |    ~     ~    
37  |HD 6735                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 07 32.0516533920 -41 44 48.123552480|291.2496284290661 -75.0144187717334|195.527 -63.482   |7.00     |F9V                   |    ~     ~    
38  |HD 6909                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 09 04.3181983416 -42 14 05.152585452|290.6588248094128 -74.4706480260186| 43.129 -15.062   |9.654    |F7V                   |    ~     ~    
39  |CD-43 333                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 08 56.4084380688 -42 57 23.409247968|291.4024432501228 -73.7777305242667|  -0.601 -4.959   |9.992    |K0                    |    ~     ~    
40  |HD 6896                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 09 00.6959053848 -42 38 38.149969200|291.0790522952113 -74.0774936337285|   20.178 9.502   |9.343    |G8III                 |    ~     ~    
41  |HD 6910                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 09 02.4246908664 -42 24 06.537796884|290.8374990670810 -74.3105578794009|  31.868 -0.794   |7.86     |G2/3IV                |    ~     ~    
42  |HD 6911                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 09 05.8002241944 -43 00 04.587827400|291.3422121134759 -73.7273303329201|  42.059 48.911   |9.72     |F3/5V                 |    ~     ~    
43  |CD-41 282                                                                                                                                                                                                                                                                                                                                                                                        |High Proper Motion Star       |01 08 20.5306925712 -41 15 49.948412832|290.1994923971480 -75.4437648820651| 31.006 -59.934   |10.687   |~                     |    ~     ~    
44  |CD-42 395                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 08 59.9909925816 -41 20 51.656100324|289.8154625949932 -75.3302232743964|-13.446 -26.514   |10.802   |~                     |    ~     ~    
45  |CD-43 338                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 09 40.4358840096 -42 52 41.187901836|290.8662161730331 -73.8202870105704|  -3.768 -4.659   |10.94    |~                     |    ~     ~    
46  |* ups Phe                                                                                                                                                                                                                                                                                                                                                                                        |Double or Multiple Star       |01 07 47.8233278592 -41 29 12.635288484|290.8153704540505 -75.2542693862235|   53.687 1.376   |5.207    |A1(V)+F1(V)           |0.0017  0.0    
47  |CD-41 287                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 09 19.1051761512 -41 12 38.777431032|289.4392887978855 -75.4456407133120|  -3.404 -7.691   |10.746   |~                     |    ~     ~    
48  |HD 7236                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 12 05.1914667624 -40 56 23.843252040|287.1281735714141 -75.5483864197944|   27.032 6.814   |10.181   |F7V                   |    ~     ~    
49  |HD 7292                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 12 29.8295838288 -41 17 31.269865164|287.2843653314340 -75.1900937357531|-31.506 -52.046   |10.064   |G3V                   |    ~     ~    
50  |HD 7469                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 14 09.3434747424 -40 41 08.489838336|285.3005263693489 -75.6552501172958|   9.696 10.504   |9.28     |F7V                   |    ~     ~    
51  |CD-41 312B                                                                                                                                                                                                                                                                                                                                                                                       |Star                          |01 14 09.0 -40 40 59                   |285.3008 -75.6581                  |            ~ ~   |10.0     |~                     |    ~     ~    
