C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:22:26

Vmag< 11&dec< 0&rah >=10.0&rah< 10.25
-------------------------------------

Number of objects : 6998

 #  |                                                                                                                                                                          identifier                                                                                                                                                                          |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
1   |HD 86761                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 00 38.2739536224 -00 12 00.994324824|239.4388357493660 +40.7278861070466|-30.676 -11.592   |9.05     |K0III           |    ~     ~    
2   |BD+00 2606                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 03 33.4017082896 -00 12 15.370801416|240.0304856378550 +41.3051143773413| 22.622 -38.510   |9.95     |G5              |    ~     ~    
3   |HD 87314                                                                                                                                                                                                                                                                                                                                                      |High Proper Motion Star               |10 04 13.2384456216 -00 03 37.703085948|240.0135841439453 +41.5243588204789| 35.581 -60.539   |10.064   |F6V             |    ~     ~    
4   |FASTT 481                                                                                                                                                                                                                                                                                                                                                     |Variable Star                         |10 00 39.6745404720 -00 11 37.806790848|239.4367230325137 +40.7364288883925|            ~ ~   |10.44    |~               |    ~     ~    
5   |BD+00 2601                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 00 52.9596106176 -00 24 54.742416192|239.7132110914063 +40.6463214541612| -42.221 11.683   |10.5     |A2              |    ~     ~    
6   |HD 87196                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 03 25.4998878768 -00 19 50.286581040|240.1368536273024 +41.2018794965437|   -0.482 7.792   |9.876    |F3V             |    ~     ~    
7   |HD 87447                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 04 59.3877804216 -00 28 31.761106932|240.6085751526617 +41.4220351853031| -19.994 -8.151   |8.73     |F0V             |    ~     ~    
8   |HD 87789                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 07 28.9361232144 -00 15 24.722559936|240.8929682767850 +42.0473493339882|  12.429 10.927   |8.87     |G8V             |    ~     ~    
9   |HD 86708                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 00 17.6002510608 -01 03 25.973769960|240.2634520036539 +40.1381328851127|    5.431 5.896   |9.19     |K0III           |    ~     ~    
10  |HD 86750                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 00 27.8566094736 -01 14 20.560355664|240.4854869582365 +40.0604054003433|   6.342 -5.746   |9.03     |G8IV            |    ~     ~    
11  |BD-00 2281a                                                                                                                                                                                                                                                                                                                                                   |Star                                  |10 01 59.4240053808 -01 13 58.220100840|240.7865185987482 +40.3648563302953|-26.551 -15.345   |10.09    |G0              |    ~     ~    
12  |HD 86902                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 01 35.4281696208 -01 01 05.274352488|240.4835585914801 +40.4182305098423|  12.193 -5.296   |7.18     |A1mA6-F2        |    ~     ~    
13  |HD 87006                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 02 12.5369728392 -01 26 11.232913128|241.0407560920984 +40.2819595501271|-14.834 -15.351   |10.20    |A2V             |    ~     ~    
14  |HD 87095                                                                                                                                                                                                                                                                                                                                                      |High Proper Motion Star               |10 02 49.2399131976 -01 04 04.233028224|240.7841043875486 +40.6299729310335| 11.585 -87.413   |6.71     |K0III           |    ~     ~    
15  |BD-00 2285B                                                                                                                                                                                                                                                                                                                                                   |Double or Multiple Star               |10 02 53.0751411408 -01 02 31.030732356|240.7702384009681 +40.6585185463859| 11.471 -87.893   |10.50    |K               |    ~     ~    
16  |BD-00 2286                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 03 33.3282519168 -01 32 36.642116220|241.4252238406846 +40.4792705414340|  20.861 -9.558   |9.71     |K2              |    ~     ~    
17  |HD 87413                                                                                                                                                                                                                                                                                                                                                      |High Proper Motion Star               |10 04 46.1913986160 -01 20 38.953946292|241.4688687243807 +40.8408774696657|-47.371 -109.779  |9.54     |K0V             |    ~     ~    
18  |BD-00 2292                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 05 01.1933939496 -01 08 43.055676780|241.3143701356772 +41.0135768815927|-11.130 -12.606   |10.04    |F8              |    ~     ~    
19  |HD 87650                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 06 16.0617552168 -01 29 29.044090500|241.9308702142432 +41.0409352013342|  -18.758 4.252   |9.19     |K0/1(III)       |    ~     ~    
20  |TYC 4903-832-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 06 49.5313373904 -00 16 52.600768860|240.7824026414622 +41.9031411916295|  -0.752 -0.734   |10.431   |G5              |    ~     ~    
21  |BD-00 2295                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 07 19.2728521104 -01 17 39.946121448|241.9466546495594 +41.3695452242819|  -11.702 1.002   |9.99     |M2              |    ~     ~    
22  |HD 86912                                                                                                                                                                                                                                                                                                                                                      |High Proper Motion Star               |10 01 41.1381686568 -01 58 23.516891292|241.4842907064389 +39.8461002616998| -53.190 -2.032   |8.91     |K2III           |    ~     ~    
23  |BD-01 2338a                                                                                                                                                                                                                                                                                                                                                   |Star                                  |10 01 55.7731188720 -01 59 42.466570692|241.5561223707965 +39.8800840368263|   -0.371 2.056   |9.84     |K2              |    ~     ~    
24  |BD-01 2339                                                                                                                                                                                                                                                                                                                                                    |High Proper Motion Star               |10 01 58.5060931560 -02 14 08.970013896|241.8100277906349 +39.7385871918985| 50.774 -45.216   |10.36    |G0              |    ~     ~    
25  |HD 87049                                                                                                                                                                                                                                                                                                                                                      |High Proper Motion Star               |10 02 25.8744873720 -02 08 14.950187736|241.8030312365044 +39.8890088863840|-108.840 -50.453  |8.65     |F5V             |    ~     ~    
26  |HD 87683                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 06 34.6487769000 -01 49 09.072741936|242.3327784678583 +40.8948476390782| -18.616 -6.242   |9.38     |G8IV            |    ~     ~    
27  |BD-01 2336                                                                                                                                                                                                                                                                                                                                                    |High Proper Motion Star               |10 01 36.0929004768 -02 25 58.558271556|241.9336484469877 +39.5423826600066|-24.263 -44.345   |10.820   |F8              |    ~     ~    
