C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:52:00

dec< 0&rah >=10.5&rah< 10.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6873

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+00 2666                                                                                               |High Proper Motion Star             |10 31 46.9774304736 -00 06 55.946444976|246.2143946635016 +46.7927716081658|-56.812 -37.042   |10.7     |G0                   |    ~     ~    |    1|  218.403   pc  |  -0.7918     +0.7918  |paral   |2020yCat.1350....0G
2   |* bet Sex                                                                                                |alpha2 CVn Variable                 |10 30 17.4802898904 -00 38 13.314537996|246.4148746822602 +46.1667154817345|-39.290 -23.582   |5.10     |B5IV/V               |    ~     ~    |    1|  112.487   pc  |  -1.8689     +1.8689  |paral   |2020yCat.1350....0G
3   |BD-00 2350                                                                                               |Star                                |10 30 23.0557440840 -00 57 55.628162244|246.7879956356237 +45.9633007262093| -17.209 -9.829   |10.10    |F5                   |    ~     ~    |    1|  236.978   pc  | -17.8641    +17.8641  |paral   |2020yCat.1350....0G
4   |HD 91131                                                                                                 |Star                                |10 31 20.0435353464 -01 33 15.498930636|247.6407415402350 +45.7389786979958|  -8.591 18.772   |9.59     |F3V                  |    ~     ~    |    1|  190.549   pc  |  -0.6681     +0.6681  |paral   |2020yCat.1350....0G
5   |HD 91166                                                                                                 |High Proper Motion Star             |10 31 30.2857704336 -01 02 01.666697280|247.1330555959776 +46.1237758025843| 66.130 -20.166   |8.86     |G1/2V                |    ~     ~    |    1|   72.191   pc  |  -0.1089     +0.1089  |paral   |2020yCat.1350....0G
6   |HD 91194                                                                                                 |High Proper Motion Star             |10 31 43.1641547376 -00 50 21.869482668|246.9784894778822 +46.2947264569507| 48.897 -10.614   |9.66     |F6/7V                |    ~     ~    |    1|  161.614   pc  |  -0.4310     +0.4310  |paral   |2020yCat.1350....0G
7   |HD 90969                                                                                                 |Star                                |10 30 02.0003641752 -02 12 11.539264968|247.9996290256317 +45.0583923696530| -20.089 16.857   |7.96     |K2/3III              |    ~     ~    |    1|  604.668   pc  | -11.7731    +11.7731  |paral   |2020yCat.1350....0G
8   |HD 91257                                                                                                 |Star                                |10 32 05.7467154264 -02 09 38.095159824|248.4582958078774 +45.4621930451383| -31.289 -0.030   |9.46     |F0V                  |    ~     ~    |    1|  236.162   pc  |  -8.0580     +8.0580  |ST-L    |2020AJ....160...83S
9   |BD-01 2405                                                                                               |Star                                |10 32 11.6504578248 -01 55 34.742696700|248.2396522066391 +45.6411960862641| -29.392 10.462   |9.988    |K0                   |    ~     ~    |    1|  404.851   pc  | -10.6100    +10.6100  |ST-L    |2020AJ....160...83S
10  |HD 91104                                                                                                 |High Proper Motion Star             |10 31 02.2899101976 -02 32 27.279675996|248.5908471066251 +45.0086195829126|-15.540 -67.406   |8.28     |G8IV                 |    ~     ~    |    1|  109.012   pc  |  -0.3316     +0.3316  |paral   |2020yCat.1350....0G
