C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:54:04

dec< 0&rah >=10.75&rah< 11.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6353

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |BD+00 2698                                                                                               |Star                               |10 46 01.0788619128 -00 05 05.570350620|249.8339609886676 +49.4058514309151|  -23.094 3.179   |9.31     |M0               |    ~     ~    |    1| 1105.705   pc  | -22.9846    +22.9846    |paral   |2020yCat.1350....0G
2   |BD+00 2702                                                                                               |High Proper Motion Star            |10 46 50.5136476128 -00 09 20.094406128|250.1342551225608 +49.5023882164418| -67.143 -8.594   |9.58     |F8               |    ~     ~    |    1|  121.128   pc  |  -0.2377     +0.2377    |paral   |2020yCat.1350....0G
3   |BD+00 2705                                                                                               |Red Giant Branch star              |10 50 16.4269450512 -00 15 15.801698916|251.1854937085419 +50.0361548569661|  -5.996 -9.778   |9.93     |K0               |    ~     ~    |    1|  668.226   pc  | -12.5474    +12.5474    |paral   |2020yCat.1350....0G
4   |BD+00 2709                                                                                               |High Proper Motion Star            |10 52 02.7020037240 -00 09 38.077935480|251.5795992036701 +50.4120622122490|53.061 -258.165   |10.199   |K3               |    ~     ~    |    1|   51.273   pc  |  -0.2501     +0.2501    |ST-L    |2020AJ....160...83S
5   |TYC 4913-456-1                                                                                           |Star                               |10 47 01.6035494760 -00 01 25.865343444|250.0404074269850 +49.6280191733948|   5.437 -3.336   |10.6     |~                |    ~     ~    |    1|  354.271   pc  |  -2.5855     +2.5855    |paral   |2020yCat.1350....0G
6   |IDS 10405-0007 AB                                                                                        |Double or Multiple Star            |10 45 40.150 -00 38 37.61              |250.346368 +48.950029              |     10.5 -14.0   |9.7      |F8               |    ~     ~    |    0|                |                         |        |                   
7   |BD+00 2700                                                                                               |High Proper Motion Star            |10 46 24.8529893544 -00 22 24.659722884|250.2554563487253 +49.2728173583825|  -58.356 8.587   |10.23    |G5               |    ~     ~    |    1|  255.037   pc  |  -2.4717     +2.4717    |paral   |2020yCat.1350....0G
8   |BD+00 2701                                                                                               |Star                               |10 46 44.4092455416 -00 28 52.915170324|250.4605937082485 +49.2541139042652|-31.775 -35.150   |9.50     |F5               |    ~     ~    |    1|  137.538   pc  |  -0.2913     +0.2913    |paral   |2020yCat.1350....0G
9   |HD 94071                                                                                                 |Star                               |10 51 29.7959958672 -00 29 01.758141132|251.7761424072544 +50.0842066592872| -16.770 -6.814   |9.33     |F0V              |    ~     ~    |    1|  179.189   pc  |  -0.6133     +0.6133    |paral   |2020yCat.1350....0G
10  |BD+00 2707                                                                                               |Star                               |10 51 38.7363729048 -00 39 05.456499372|251.9987033807605 +49.9889491548926| -7.066 -19.755   |9.93     |K2               |    ~     ~    |    1|  593.014   pc  |  -6.4707     +6.4707    |paral   |2020yCat.1350....0G
