C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:56:10

dec< 0&rah >=11.0&rah< 11.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6648

 #  |                                                                 identifier                                                                 |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |HD 95662                                                                                                                                    |Star                              |11 02 33.1750052184 -00 05 36.971339424|254.5888029042357 +52.2484532874776|  -4.325 18.893   |7.56     |F6V                  |    ~     ~    |    1|  100.018   pc  |  -0.2751     +0.2751    |paral   |2020yCat.1350....0G
2   |* p03 Leo                                                                                                                                   |High Proper Motion Star           |11 03 36.5918764464 -00 00 02.990493144|254.8116280086808 +52.4932381992729|  -60.211 1.978   |5.927    |K2III                |    ~     ~    |    1|  151.153   pc  |  -1.0007     +1.0007    |paral   |2020yCat.1350....0G
3   |HD 95771                                                                                                                                    |High Proper Motion Star           |11 03 14.5404867024 -00 45 08.430102576|255.5066589045746 +51.8674625434805|-20.417 -111.785  |6.117    |A8/9IV               |    ~     ~    |    1|   53.043   pc  |  -0.0869     +0.0869    |paral   |2020yCat.1350....0G
4   |BD-00 2395                                                                                                                                  |Star                              |11 01 10.8710650344 -01 03 00.478962180|255.1965126845216 +51.3044327911823| 12.063 -18.027   |9.25     |K5                   |    ~     ~    |    1|  435.578   pc  |  -3.9653     +3.9653    |paral   |2020yCat.1350....0G
5   |HD 95694                                                                                                                                    |High Proper Motion Star           |11 02 41.4332516904 -01 32 55.182748776|256.1730292688148 +51.1737507890697| -85.507 36.903   |9.40     |F5V                  |    ~     ~    |    1|  192.023   pc  |  -0.8776     +0.8776    |paral   |2020yCat.1350....0G
6   |HD 95739                                                                                                                                    |Star                              |11 03 02.1454474272 -01 34 30.138696984|256.3051522954802 +51.2095496690172|   -3.408 8.946   |8.66     |F0V                  |    ~     ~    |    1|  153.553   pc  |  -1.5821     +1.5821    |paral   |2020yCat.1350....0G
7   |BD-00 2398                                                                                                                                  |Star                              |11 03 21.2920978152 -00 55 31.697994288|255.7242912101822 +51.7549416060924|   8.431 -2.068   |9.39     |K2                   |    ~     ~    |    1| 1194.600   pc  | -31.3955    +31.3955    |paral   |2020yCat.1350....0G
8   |HD 95832                                                                                                                                    |Star                              |11 03 30.8905983672 -01 29 08.019534696|256.3585895145603 +51.3552343876854|   -0.530 2.643   |8.70     |K0III                |    ~     ~    |    1|  389.287   pc  |  -4.3796     +4.3796    |paral   |2020yCat.1350....0G
9   |BD-00 2400                                                                                                                                  |Star                              |11 03 41.4171011688 -01 37 21.961626600|256.5538793685369 +51.2787515254566|  -35.939 1.809   |10.733   |F8                   |    ~     ~    |    1|  284.503   pc  |  -5.6720     +5.6720    |ST-L    |2020AJ....160...83S
10  |BD-01 2470                                                                                                                                  |High Proper Motion Star           |11 01 50.2731481296 -02 03 27.792429408|256.4380045456456 +50.6478018002049| -68.214 15.879   |10.65    |G0                   |    ~     ~    |    1|  105.239   pc  |  -0.1827     +0.1827    |paral   |2020yCat.1350....0G
11  |BD-01 2472                                                                                                                                  |High Proper Motion Star           |11 02 26.8742639328 -01 48 26.825302872|256.3661417165532 +50.9372875834144|-47.213 -14.308   |9.980    |G5                   |    ~     ~    |    1|  152.673   pc  |  -1.4470     +1.4470    |ST-L    |2020AJ....160...83S
12  |HD 95772                                                                                                                                    |High Proper Motion Star           |11 03 14.1255992256 -01 53 00.630008556|256.6828599011605 +51.0060671313984| -87.448 77.917   |9.33     |F6V                  |    ~     ~    |    1|  118.310   pc  |  -0.3849     +0.3849    |paral   |2020yCat.1350....0G
13  |BD-01 2469                                                                                                                                  |Spectroscopic Binary              |11 01 20.1551661192 -02 27 44.170600968|256.6970216108725 +50.2576916862710| -10.058 13.503   |8.86     |M0                   |    ~     ~    |    1|  657.722   pc  | -12.3723    +12.3723    |paral   |2020yCat.1350....0G
14  |* p02 Leo                                                                                                                                   |Variable Star                     |11 01 49.6762854745 -02 29 04.525646926|256.8668652988132 +50.3195328991135|  9.014 -35.370   |4.75     |M0III                |    ~     ~    |    1|  181.99    pc  |  -6.9917     +6.9917    |paral   |2020yCat.1350....0G
15  |HD 95740                                                                                                                                    |Star                              |11 02 57.9443272152 -02 38 07.264155012|257.3604352914914 +50.3850988963322| -30.801 -4.726   |7.18     |K0III                |    ~     ~    |    1|  176.916   pc  |  -0.8513     +0.8513    |paral   |2020yCat.1350....0G
16  |BD-00 2394                                                                                                                                  |Horizontal Branch Star            |11 00 23.0621506752 -00 49 53.768792892|254.7262186448058 +51.3366916854101| -3.734 -24.884   |10.2     |~                    |    ~     ~    |    1|  672.812   pc  |  -7.9671     +7.9671    |paral   |2020yCat.1350....0G
17  |TYC 4924-1231-1                                                                                                                             |Star                              |11 00 27.4125921624 -02 38 30.350268132|256.6152531570264 +49.9790013437786|   8.588 11.681   |10.72    |~                    |    ~     ~    |    1|  199.731   pc  |  -3.2510     +3.2510    |ST-L    |2020AJ....160...83S
18  |BD-01 2468                                                                                                                                  |Star                              |11 00 37.9482152832 -02 00 03.193538940|256.0189005808719 +50.4958795017721|  -1.405 -6.112   |10.202   |~                    |    ~     ~    |    1|  663.841   pc  | -27.9200    +27.9200    |ST-L    |2020AJ....160...83S
19  |TYC 4921-60-1                                                                                                                               |Star                              |11 00 45.5709460008 -02 14 56.878710612|256.3095662507276 +50.3275853645427| -35.738 -7.935   |10.564   |~                    |    ~     ~    |    1|  316.834   pc  |  -7.2570     +7.2570    |ST-L    |2020AJ....160...83S
20  |TYC 4921-706-1                                                                                                                              |Star                              |11 01 46.0121810928 -00 20 10.127604048|254.6123340902788 +51.9366287081435| -23.578 -4.130   |10.6     |~                    |    ~     ~    |    1|  302.489   pc  |  -2.0770     +2.0770    |paral   |2020yCat.1350....0G
21  |TYC 4921-232-1                                                                                                                              |Star                              |11 02 26.1303081312 -01 34 00.761395296|256.1145638029305 +51.1185310752566| -40.291 -0.701   |10.382   |~                    |    ~     ~    |    1|  216.273   pc  |  -4.6950     +4.6950    |ST-L    |2020AJ....160...83S
22  |GPM 165.824866-00.289217                                                                                                                    |Star                              |11 03 17.9806012992 -00 17 21.413203512|255.0288514311440 +52.2256210417489|  -0.244 -5.493   |10.0     |~                    |    ~     ~    |    1| 1179.106   pc  | -23.7740    +23.7740    |paral   |2020yCat.1350....0G
23  |TYC 4921-79-1                                                                                                                               |Star                              |11 03 22.5644470872 -02 24 58.811407272|257.2654438910950 +50.6192355212959|   4.064 -4.837   |10.330   |~                    |    ~     ~    |    1|  825.436   pc  | -30.1800    +30.1800    |ST-L    |2020AJ....160...83S
24  |TYC 4921-231-1                                                                                                                              |Star                              |11 00 49.0949874120 -00 12 56.742308208|254.1958005371702 +51.8681913511015|  12.028 -0.449   |10.7     |~                    |    ~     ~    |    1|  362.739   pc  |  -2.8290     +2.8290    |paral   |2020yCat.1350....0G
25  |TYC 4921-349-1                                                                                                                              |Star                              |11 00 03.4087463280 -00 16 33.939678180|254.0326540880963 +51.6958865420022|  9.956 -41.321   |10.9     |~                    |    ~     ~    |    1|  260.485   pc  |  -1.3095     +1.3095    |paral   |2020yCat.1350....0G
26  |TYC 4921-656-1                                                                                                                              |High Proper Motion Star           |11 03 23.5182001512 -01 09 50.298053508|255.9862795171088 +51.5801132101508| -64.493 -5.085   |10.910   |~                    |    ~     ~    |    1|  134.573   pc  |  -1.1420     +1.1420    |ST-L    |2020AJ....160...83S
27  |TYC 4921-1047-1                                                                                                                             |High Proper Motion Star           |11 00 51.7041668832 -00 22 15.265747236|254.3765422571590 +51.7600104791050|-52.464 -69.538   |10.872   |~                    |    ~     ~    |    1|  198.168   pc  |  -2.8240     +2.8240    |ST-L    |2020AJ....160...83S
28  |HD 95561                                                                                                                                    |Star                              |11 01 50.2981028088 -02 56 08.045640096|257.3197921776807 +49.9743559743797|  -10.383 0.875   |9.08     |F5V                  |    ~     ~    |    1|  116.156   pc  |  -0.2361     +0.2361    |paral   |2020yCat.1350....0G
29  |BD-02 3275                                                                                                                                  |Star                              |11 03 04.8406939296 -02 57 42.769097496|257.7192064623154 +50.1508869213235|   22.038 6.503   |10.90    |~                    |    ~     ~    |    1|  340.750   pc  |  -2.1597     +2.1597    |paral   |2020yCat.1350....0G
30  |BD-02 3273                                                                                                                                  |Star                              |11 02 57.5158977264 -02 48 20.672043660|257.5278298113088 +50.2523882243505|  1.387 -17.714   |10.432   |~                    |    ~     ~    |    1|  820.808   pc  | -41.0900    +41.0900    |ST-L    |2020AJ....160...83S
31  |HD 95280                                                                                                                                    |Double or Multiple Star           |11 00 02.05459 -03 28 16.7467          |257.31082713 +49.27451876          |    65.77 39.96   |8.76     |G1V                  |    ~     ~    |    0|                |                         |        |                   
32  |HD 95695                                                                                                                                    |Star                              |11 02 36.7919748096 -03 30 45.417348504|258.1176640427871 +49.6498323879274|-21.510 -15.017   |6.82     |K0II/III             |    ~     ~    |    1|  232.423   pc  |  -1.3883     +1.3883    |paral   |2020yCat.1350....0G
33  |HD 95741                                                                                                                                    |High Proper Motion Star           |11 02 58.2816893184 -03 22 52.993424856|258.0976113083503 +49.8080774770410|134.049 -164.620  |9.40     |K1III/IV+A/F         |    ~     ~    |    1|   45.725   pc  |  -0.0408     +0.0408    |paral   |2020yCat.1350....0G
34  |HD 95790                                                                                                                                    |Star                              |11 03 19.7335800144 -03 03 42.751008792|257.8926767838067 +50.1124961873094|  1.279 -26.929   |8.83     |K1III                |    ~     ~    |    1|  378.215   pc  |  -4.9065     +4.9065    |paral   |2020yCat.1350....0G
35  |HD 95553                                                                                                                                    |Star                              |11 01 40.6144785432 -03 48 50.772973788|258.1296476625977 +49.2685182612642|    4.030 3.670   |9.479    |F3/5V                |    ~     ~    |    1|  195.007   pc  |  -2.4810     +2.4810    |ST-L    |2020AJ....160...83S
36  |V* SX Leo                                                                                                                                   |Long-Period Variable              |11 03 38.1784421640 -03 12 15.542805708|258.1253185478108 +50.0501082426407|  -4.189 -4.201   |9.18     |M5III                |    ~     ~    |    1|  561.356   pc  | -18.5921    +18.5921    |paral   |2020yCat.1350....0G
