C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:58:03

dec< 0&rah >=11.25&rah< 11.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5885

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+00 2762                                                                                                                                                                     |Star                                  |11 15 54.1586886360 -00 06 01.491085512|258.8791547481474 +54.3877748616984|   -9.468 2.974   |10.1     |K5             |    ~     ~    |    1| 1836.547   pc  | -63.4106    +63.4106  |paral   |2020yCat.1350....0G
2   |BD+00 2765                                                                                                                                                                     |High Proper Motion Star               |11 16 55.4021062536 -00 03 16.759011204|259.1761710881485 +54.5812690517460|-15.568 -80.258   |10.493   |K0             |    ~     ~    |    1|   89.562   pc  |  -0.4857     +0.4857  |ST-L    |2020AJ....160...83S
3   |BD+00 2763                                                                                                                                                                     |Star                                  |11 16 09.8580524448 -00 32 48.357906468|259.4375248480794 +54.0763360035821|   0.340 -0.491   |10.6     |F5             |    ~     ~    |    1|  298.918   pc  |  -1.5279     +1.5279  |paral   |2020yCat.1350....0G
4   |HD 97779                                                                                                                                                                       |Star                                  |11 15 04.2067926312 -00 58 22.823010228|259.5131943635705 +53.5718557594971|  -17.677 1.747   |8.80     |K2III          |    ~     ~    |    1|  608.939   pc  |  -7.9353     +7.9353  |paral   |2020yCat.1350....0G
5   |HD 97990                                                                                                                                                                       |Star                                  |11 16 10.1064563808 -01 44 48.639885216|260.6639269717405 +53.1220757525969|-33.361 -28.246   |8.98     |F3V            |    ~     ~    |    1|  112.324   pc  |  -0.2750     +0.2750  |paral   |2020yCat.1350....0G
6   |BD-00 2426                                                                                                                                                                     |Horizontal Branch Star                |11 16 40.4194841064 -00 48 45.275702904|259.8851669545580 +53.9434048433795|  -3.016 -9.055   |10.227   |G5             |    ~     ~    |    1|  868.553   pc  | -34.8400    +34.8400  |ST-L    |2020AJ....160...83S
7   |HD 98057                                                                                                                                                                       |Star                                  |11 16 45.0442651488 -01 04 17.934304260|260.1772326423774 +53.7489814353926|  1.663 -11.458   |9.56     |F2V            |    ~     ~    |    1|  358.112   pc  | -12.6500    +12.6500  |ST-L    |2020AJ....160...83S
8   |HD 98102                                                                                                                                                                       |Star                                  |11 17 05.2562197104 -02 00 41.438325456|261.2335307479945 +53.0462821603685| -39.274 -5.388   |9.05     |F6V            |    ~     ~    |    1|  203.616   pc  |  -0.7919     +0.7919  |paral   |2020yCat.1350....0G
9   |BD-01 2505                                                                                                                                                                     |High Proper Motion Star               |11 17 13.6639950829 -01 58 54.674999195|261.2512459993061 +53.0909138023853|-568.300 -14.310  |9.878    |K4/5V          |    ~     ~    |    1|   33.1803  pc  |  -0.0258     +0.0258  |paral   |2020yCat.1350....0G
10  |HD 97917                                                                                                                                                                       |Star                                  |11 15 48.3222887400 -02 17 57.526930284|261.0893252386557 +52.6245556947597|  -9.174 -2.990   |8.90     |B8IV/V         |    ~     ~    |    1|  699.350   pc  | -20.0038    +20.0038  |paral   |2020yCat.1350....0G
