C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:59:55

dec< 0&rah >=11.5&rah< 11.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5947

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |BD+00 2800                                                                                               |Star                                  |11 32 13.4374776552 -00 05 40.101069084|264.7288563348120 +56.7829477475082| -9.238 -27.980   |10.16    |F8                  |    ~     ~    |    1|  162.734   pc  |  -0.5164     +0.5164    |paral   |2020yCat.1350....0G
2   |BD+00 2795                                                                                               |High Proper Motion Star               |11 30 44.8289385024 -00 18 43.384966704|264.3882888908712 +56.3976104568276|-71.802 -28.674   |10.5     |K0                  |    ~     ~    |    1|  124.830   pc  |  -0.2930     +0.2930    |paral   |2020yCat.1350....0G
3   |BD+00 2797                                                                                               |Variable Star                         |11 31 36.8871783048 -00 37 28.250775192|265.0251747551228 +56.2562438578582|  -11.432 0.234   |10.53    |K0                  |    ~     ~    |    1|  939.320   pc  | -18.7935    +18.7935    |paral   |2020yCat.1350....0G
4   |HD 100269                                                                                                |Spectroscopic Binary                  |11 32 18.5920806216 -00 24 53.101262592|265.0809879767899 +56.5268729154687|44.874 -157.942   |9.20     |F8V                 |    ~     ~    |    1|   66.086   pc  |  -0.8892     +0.8892    |paral   |2020yCat.1350....0G
5   |TYC 4930-309-1                                                                                           |Variable Star                         |11 32 39.2946487104 -00 24 23.428410120|265.2040149103856 +56.5808240431703|  -25.036 5.259   |10.29    |K                   |    ~     ~    |    1|  592.803   pc  |  -8.2934     +8.2934    |paral   |2020yCat.1350....0G
6   |BD+00 2804                                                                                               |Star                                  |11 33 34.4342952600 -00 19 17.921567928|265.4713431507841 +56.7768309339846|    0.851 3.447   |10.5     |K0                  |    ~     ~    |    1|  412.099   pc  |  -3.1418     +3.1418    |paral   |2020yCat.1350....0G
7   |BD+00 2805                                                                                               |Star                                  |11 34 27.2756986728 -00 28 28.872582312|265.9602854848400 +56.7663695860231| -12.372 -1.579   |10.1     |K0                  |    ~     ~    |    1|  804.052   pc  | -10.4087    +10.4087    |paral   |2020yCat.1350....0G
8   |BD+00 2807                                                                                               |Variable Star                         |11 35 16.4558196984 -00 33 10.199338632|266.3528751993740 +56.8094243318910|-17.372 -18.208   |10.21    |F8                  |    ~     ~    |    1|  246.039   pc  |  -1.0836     +1.0836    |paral   |2020yCat.1350....0G
9   |HD 100810                                                                                                |Star                                  |11 36 07.4144413296 -00 41 24.026374752|266.8145233160722 +56.8048891143218|  -48.320 2.046   |9.28     |G0V                 |    ~     ~    |    1|  264.075   pc  |  -2.1269     +2.1269    |paral   |2020yCat.1350....0G
10  |HD 100975                                                                                                |Star                                  |11 37 16.7615611824 -00 34 40.906483896|267.1587725936006 +57.0513241872017|   -9.286 1.160   |7.73     |K0/1III             |    ~     ~    |    1|  269.491   pc  |  -2.1715     +2.1715    |paral   |2020yCat.1350....0G
11  |BD-00 2446                                                                                               |Spectroscopic Binary                  |11 31 44.7748850688 -00 53 37.962605652|265.3381734847259 +56.0482913711862|-31.813 -24.969   |10.42    |G0                  |    ~     ~    |    1|  206.907   pc  |  -5.6082     +5.6082    |paral   |2020yCat.1350....0G
12  |HD 100237                                                                                                |High Proper Motion Star               |11 31 59.7816292944 -01 46 56.568648216|266.2786445917391 +55.3324998691088|  -66.770 6.829   |7.34     |A0V                 |    ~     ~    |    1|  244.367   pc  |  -2.3170     +2.3170    |paral   |2020yCat.1350....0G
13  |BD-00 2450                                                                                               |High Proper Motion Star               |11 32 44.5572490608 -01 26 47.464854360|266.2421654402257 +55.7161088048559|-43.675 -34.453   |9.78     |G0                  |    ~     ~    |    1|  117.145   pc  |  -0.2333     +0.2333    |paral   |2020yCat.1350....0G
14  |BD-00 2451                                                                                               |Variable Star                         |11 33 18.8210939616 -01 39 15.189363540|266.6517802425580 +55.6154505189332|  10.192 -7.920   |10.85    |G0                  |    ~     ~    |    1|  324.265   pc  |  -2.1871     +2.1871    |paral   |2020yCat.1350....0G
15  |BD-00 2453                                                                                               |Star                                  |11 33 58.9953886536 -00 56 09.072218652|266.2259134638221 +56.3134798568801|-27.309 -17.382   |10.4     |K2                  |    ~     ~    |    1|  527.093   pc  |  -5.0842     +5.0842    |paral   |2020yCat.1350....0G
16  |BD-00 2455                                                                                               |Variable Star                         |11 35 06.9427757952 -01 37 06.011678568|267.3005218086380 +55.8814616544219|  -0.798 -9.762   |10.534   |G0                  |    ~     ~    |    1|  267.923   pc  |  -4.1600     +4.1600    |ST-L    |2020AJ....160...83S
17  |BD-00 2457                                                                                               |Variable Star                         |11 35 37.6035886560 -01 34 33.238315056|267.4563492674363 +55.9838810779903| -9.436 -11.953   |9.53     |K0                  |    ~     ~    |    1|  519.130   pc  |  -5.2821     +5.2821    |paral   |2020yCat.1350....0G
18  |* ups Leo                                                                                                |Star                                  |11 36 56.9308590 -00 49 25.496304      |267.2633959499 +56.7984519957      |     1.76 43.37   |4.30     |G9IIIbFe-0.5        |    ~     ~    |    1|   52.6485  pc  |  -0.9061     +0.9061    |paral   |2018yCat.1345....0G
19  |BD-00 2460                                                                                               |High Proper Motion Star               |11 37 16.7563624728 -01 04 57.191248236|267.6358416608508 +56.6195406044020|-113.313 -130.006 |9.53     |G0                  |    ~     ~    |    1|  144.400   pc  |  -0.4400     +0.4400    |paral   |2020yCat.1350....0G
20  |HD 100995                                                                                                |Star                                  |11 37 27.0112138152 -01 29 05.649902088|268.0747837981655 +56.2956791856294| 11.745 -31.328   |8.09     |F3/5V               |    ~     ~    |    1|  201.988   pc  |  -1.0812     +1.0812    |paral   |2020yCat.1350....0G
21  |HD 100140                                                                                                |Star                                  |11 31 26.0415019992 -02 13 19.102017648|266.4780133579095 +54.8853130786485|  4.416 -22.072   |9.91     |F2V                 |    ~     ~    |    1|  240.489   pc  |  -1.3302     +1.3302    |paral   |2020yCat.1350....0G
22  |BD-01 2537                                                                                               |Variable Star                         |11 32 18.1579130136 -02 05 49.462253052|266.6843524896923 +55.1059438651591| -1.396 -16.398   |10.33    |F8                  |    ~     ~    |    1|  255.669   pc  |  -2.0394     +2.0394    |paral   |2020yCat.1350....0G
23  |HD 100645                                                                                                |Star                                  |11 34 52.7599910232 -02 13 48.861278148|267.7696712263089 +55.3267738169087|  -23.947 5.475   |7.90     |M1III               |    ~     ~    |    1|  544.722   pc  | -10.3556    +10.3556    |paral   |2020yCat.1350....0G
24  |TYC 4933-14-1                                                                                            |Star                                  |11 30 44.2408448136 -02 35 25.007977500|266.5594017500087 +54.4806923709615|  -15.970 6.933   |10.61    |~                   |    ~     ~    |    1|  914.662   pc  | -11.7125    +11.7125    |paral   |2020yCat.1350....0G
25  |BD-01 2535                                                                                               |Variable Star                         |11 31 21.4833663936 -02 17 27.994131492|266.5135669642566 +54.8166030094879|  12.971 -4.528   |10.11    |F8                  |    ~     ~    |    1|  120.341   pc  |  -1.0460     +1.0460    |ST-L    |2020AJ....160...83S
26  |BD-01 2539                                                                                               |High Proper Motion Star               |11 33 49.9292507688 -02 32 45.454688664|267.6608179052067 +54.9215298216940| -49.464 10.734   |10.574   |F8                  |    ~     ~    |    1|  307.680   pc  | -40.3900    +40.3900    |ST-L    |2020AJ....160...83S
27  |HD 100629                                                                                                |High Proper Motion Star               |11 34 47.4317887800 -02 29 27.569878476|267.9701135567806 +55.0913938934814| -36.881 40.372   |8.880    |K0III               |    ~     ~    |    1|  242.170   pc  |  -3.6480     +3.6480    |ST-L    |2020AJ....160...83S
28  |HD 100741                                                                                                |Star                                  |11 35 35.4267235896 -02 36 12.170020824|268.3706080467612 +55.0960597101191| -39.037 13.175   |9.342    |F0V                 |    ~     ~    |    1|  176.485   pc  |  -4.8110     +4.8110    |ST-L    |2020AJ....160...83S
29  |BD-01 2545                                                                                               |Star                                  |11 36 57.0085203432 -02 42 32.821505172|268.9772807232771 +55.1748826736953|    1.754 6.905   |9.861    |K0                  |    ~     ~    |    1|  416.085   pc  | -10.7100    +10.7100    |ST-L    |2020AJ....160...83S
30  |AG-02 669                                                                                                |Spectroscopic Binary                  |11 30 22.9353957000 -02 29 28.134026124|266.3394462071193 +54.5177996471635|-38.681 -15.154   |10.798   |~                   |    ~     ~    |    1|  224.140   pc  |  -3.1670     +3.1670    |ST-L    |2020AJ....160...83S
31  |ASAS J113033-0226.9                                                                                      |High Proper Motion Star               |11 30 34.0173138840 -02 27 08.575418232|266.3713697942644 +54.5751414078172|-36.263 -87.803   |10.79    |~                   |    ~     ~    |    1|   91.962   pc  |  -0.3324     +0.3324    |paral   |2020yCat.1350....0G
32  |BD+00 2796                                                                                               |High Proper Motion Star               |11 31 27.4959106752 -00 18 47.119387572|264.6573258537375 +56.4950447793529|-55.325 -42.538   |10.3     |~                   |    ~     ~    |    1|  146.716   pc  |  -0.4090     +0.4090    |paral   |2020yCat.1350....0G
33  |TYC 4933-403-1                                                                                           |Star                                  |11 32 43.6215473880 -02 36 33.839985276|267.3075317736163 +54.7246078126549|-45.557 -15.917   |10.01    |~                   |    ~     ~    |    1|  503.373   pc  |  -4.5102     +4.5102    |paral   |2020yCat.1350....0G
34  |TYC 4930-39-1                                                                                            |Star                                  |11 33 32.0725510872 -01 15 26.945851248|266.3620342190091 +55.9814006365342|   -9.531 1.374   |10.78    |~                   |    ~     ~    |    1|  673.038   pc  |  -8.9690     +8.9690    |paral   |2020yCat.1350....0G
35  |2MASS J11350495-0040084                                                                                  |Spectroscopic Binary                  |11 35 04.9627181328 -00 40 08.455448964|266.3911621839031 +56.6855269352269|  -1.252 -8.009   |10.3     |~                   |    ~     ~    |    1| 1643.926   pc  | -60.5358    +60.5358    |paral   |2020yCat.1350....0G
36  |BD-00 2456                                                                                               |Star                                  |11 35 27.8479298760 -01 14 32.068187988|267.0834242055994 +56.2479888258604| 11.143 -13.170   |10.73    |~                   |    ~     ~    |    1|  748.335   pc  | -10.9761    +10.9761    |paral   |2020yCat.1350....0G
37  |TYC 4930-758-1                                                                                           |Spectroscopic Binary                  |11 35 38.7782353776 -02 26 02.371098372|268.2415395777372 +55.2492058250366|  -12.956 0.942   |10.151   |~                   |    ~     ~    |    1| 1807.540   pc  |-210.7000   +210.7000    |ST-L    |2020AJ....160...83S
38  |TYC 4930-979-1                                                                                           |Spectroscopic Binary                  |11 36 01.2545425344 -02 17 44.012440572|268.2599963585625 +55.4159664138619|  -37.010 5.717   |10.41    |~                   |    ~     ~    |    1|  716.510   pc  | -30.1000    +30.1000    |ST-L    |2020AJ....160...83S
39  |TYC 4930-64-1                                                                                            |Variable Star                         |11 32 42.1856156472 -01 12 36.465182028|266.0028963974677 +55.9107946379240|  6.704 -24.437   |10.81    |~                   |    ~     ~    |    1|  193.502   pc  |  -0.9323     +0.9323    |paral   |2020yCat.1350....0G
40  |TYC 4930-93-1                                                                                            |Star                                  |11 35 09.4879578240 -00 47 19.440995964|266.5354324164373 +56.5939083612358|  -0.286 -9.236   |10.847   |~                   |    ~     ~    |    1|  401.277   pc  | -16.4500    +16.4500    |ST-L    |2020AJ....160...83S
41  |TYC 4930-206-1                                                                                           |High Proper Motion Star               |11 30 53.1785406768 -01 35 08.382186204|265.6814672570185 +55.3501957356657|  -70.775 3.854   |10.75    |~                   |    ~     ~    |    1|  142.731   pc  |  -0.3484     +0.3484    |paral   |2020yCat.1350....0G
