C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:01:49

dec< 0&rah >=11.75&rah< 12.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5766

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 102265                                                                                                |Star                              |11 46 16.1429951616 -00 10 18.870606984|270.4313107066548 +58.5260050693021| -30.172 -0.277    |9.392    |F3/5V               |    ~     ~          |    1|  249.447   pc  |  -3.7230     +3.7230  |ST-L    |2020AJ....160...83S
2   |HD 102421                                                                                                |Variable Star                     |11 47 15.9301549776 -00 09 32.591686176|270.8400885876306 +58.6557721500993|  -27.909 1.614    |9.645    |G1V                 |    ~     ~          |    1|  181.510   pc  |  -2.3140     +2.3140  |ST-L    |2020AJ....160...83S
3   |HD 102096                                                                                                |High Proper Motion Star           |11 45 01.3825831728 -00 31 04.265779692|270.2268358702970 +58.0730571794486|-33.759 -99.024    |7.32     |G8III               |    ~     ~          |    1|  107.154   pc  |  -0.2526     +0.2526  |paral   |2020yCat.1350....0G
4   |BD+00 2832                                                                                               |Star                              |11 46 03.1563929928 -00 45 11.890640124|270.8661496979564 +57.9887762110932| 15.525 -33.985    |10.465   |K0                  |    ~     ~          |    1|  832.845   pc  | -39.1000    +39.1000  |ST-L    |2020AJ....160...83S
5   |BD+00 2834                                                                                               |Red Giant Branch star             |11 46 50.6211641616 -00 28 01.968163572|270.9406476895754 +58.3343355171737| 15.691 -33.360    |10.63    |K0                  |    ~     ~          |    1|  435.733   pc  | -15.6800    +15.6800  |ST-L    |2020AJ....160...83S
6   |HD 102485                                                                                                |Star                              |11 47 46.6319737512 -00 19 56.187957504|271.2132479949860 +58.5630821946973|-17.238 -22.204    |9.36     |K2III               |    ~     ~          |    1|  413.257   pc  |  -3.2278     +3.2278  |paral   |2020yCat.1350....0G
7   |BD-00 2484                                                                                               |Star                              |11 46 08.5532108664 -00 58 50.061620928|271.1048592483630 +57.7988794574200|  -9.556 -5.850    |10.246   |G0                  |    ~     ~          |    1|  839.391   pc  | -32.8200    +32.8200  |ST-L    |2020AJ....160...83S
8   |BD-00 2487                                                                                               |High Proper Motion Star           |11 46 39.0163943472 -00 57 18.109927548|271.2930781714370 +57.8808653728612|-45.274 -21.546    |10.2     |K0V                 |    ~     ~          |    1|  195.609   pc  |  -2.4220     +2.4220  |ST-L    |2020AJ....160...83S
9   |BD-00 2488                                                                                               |Star                              |11 46 45.1247171280 -00 56 52.498811328|271.3291740560287 +57.8990333687155|   2.817 -1.645    |10.852   |F2                  |    ~     ~          |    1|  428.471   pc  | -11.1800    +11.1800  |ST-L    |2020AJ....160...83S
10  |HD 102377                                                                                                |Star                              |11 47 00.0295116360 -01 37 45.621866424|272.0195960624523 +57.3233365449804| -25.467 20.556    |8.71     |F2V                 |    ~     ~          |    1|  147.239   pc  |  -0.5203     +0.5203  |paral   |2020yCat.1350....0G
11  |BD-00 2493                                                                                               |Star                              |11 47 47.1183648840 -01 25 47.681387364|272.1748461902417 +57.5902921480160| -10.935 10.842    |10.048   |K0                  |    ~     ~          |    1|  629.041   pc  | -24.1800    +24.1800  |ST-L    |2020AJ....160...83S
12  |BD-01 2564                                                                                               |Star                              |11 45 00.4028747376 -02 07 06.852588888|271.6208685447110 +56.6597480645598| -24.078 -1.155    |9.98     |K0                  |    ~     ~          |    1|  692.844   pc  | -30.4400    +30.4400  |ST-L    |2020AJ....160...83S
13  |HD 102244                                                                                                |High Proper Motion Star           |11 45 57.8120677248 -02 26 53.364871752|272.2806906466607 +56.4764283169390|  -53.410 8.621    |10.06    |F3V                 |    ~     ~          |    1|  213.447   pc  |  -0.8975     +0.8975  |paral   |2020yCat.1350....0G
